name,poc,designation,email,website,tel,fax,address,online,categories,profile
B D E Enterprise,,,,,(+65) 6337-5096,(+65) 6338-0816,10 Anson Rd #03-09 International Plaza  Singapore 079903,Offline,"Furniture, Furnishings, Household  Appliances, Wholesalers, Furniture Trading Company","Singapore Wholesalers of Furniture, Furnishings & Household Appliances Furniture, Furniture Trading Company"
Ban Seng Heng Handicrafts Trading,,,,,(+65) 67424489,,621 Aljunied Road #02-10 Lipo Building  Singapore 389834,Offline,"Handicrafts, Furniture, Furnishings, Electrical  Appliances","Singapore Trading Company, Wholesalers of Furniture, Handicrafts, Interior Decorations, Furnishings & Electrical Appliances"
Banos 100,,,,,(+65) 6747-5828,,517C Jurong West Street 52 #05-569  Singapore 643517,Offline,"Furniture, Furnishings, Wholesalers","Singapore Wholesalers of Furniture, Furnishings & Domestic Appliances, This luxury lifestyle emporium offer great choice of lifestyle products inspired by renowned interior architect, Stefanie Hauger."
Barang Barang Interiors Pte Ltd,,,customersvc@furn2.com,,(+65) 6338-2353 (+65) 9191-8800,(+65) 6338-2627,6 Raffles Boulevard #03-321/329 Marina Square  Singapore 039594,Online,"Interior Decorators, Interior Decoration  Contractors, Interior Decorators","Singapore Interior Decorators, Interior Decoration Contractors, Interior Designers. Outdoors, interior design services for residential, commercial and retail premises. Garden and landscaping design services, Design and manufacturing of furniture and furnishings, Contract manufacturing of wood products, Distributor of furnishing accessories and lifestyle products, Distributor of laminate floor boards"
Basic Necessities International,,,,,(+65) 6251-9339,(+65) 6256-1277,"13, Toa Payoh Lorong 8 #07-02  Singapore 319261",Offline,"Furniture, Furnishings, Beds, Mattresses,  Sofas, Cabinets","Singapore Furniture Store, Wholesaler of Furniture, Furnishings & Appliances. Dynasty Furniture Centre retails a wide variety of home furniture such as Mattresses, Cabinets Furnishings, Beds, Sofas, Cabinets"
Bean Bag Mart,,,beanbagmart@pacific.net.sg,,(+65) 6337-4238,(+65) 66+65-1660,9 Penang Road #B1-17 Park Mall  Singapore 238459,Online,"Furniture, Beanbag Resters, Beads","Singapore Beanbag Company Manufacturing & Selling Beanbag Furniture, Beanbag Furnishings, Beanbag Resters, Beads for Beanbags, casual interior furniture for modern homes, top-up beads"
Bedding Saloon,,,,,(+65) +6567-2980,(+65) +6567-6422,2 Jurong East St 21 #02-08  Singapore,Offline,"Mattresses, Bedding, Beds, Furniture","Singapore Bedding Company Suppliers of Mattresses, Bedding, Beds, Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers"
Belno Design & Contracts,,,,,(+65) 6752-2862,(+65) 6752-8969,30 Woodlands Loop  Singapore,Offline,"Furniture, Home Furnishings, Interior  Designers, Interior Design Consultants","Singapore Interior Design Consultants Suppliers of Furniture, Home Furnishings"
Benel Singapore Pte Ltd,,,,,(+65) 6873-1118,,59 Loyang Way  Singapore 508750,Offline,Office Furniture Manufacturers,Singapore Office Furniture Manufacturers. One of the leading manufacturers of office chairs in the region. Has plants in Singapore & Malaysia and a distribution network that covers the Asia-Pacific region as well as Europe
Berten Trading (S) Pte Ltd,,,info@bertenliving.com,,(+65) 6743-6722,,9010 Tampines Street 93  Singapore 528844,Online,"Furniture Recycled Plastic Lumber,  Fibreglass, Laminate, Tables, Chairs, Playground Equipment","Singapore Furniture Trading Company Suppliers of Recycled Plastic Lumber, Fibreglass, Laminate, Tables, Chairs, Playground Equipment. Specialising in public furniture; products include outdoor tables, benches and bins made from recycled plastic lumber, fibreglass or laminate tables and chairs, playground equipment, Umbrellas, Sunloungers"
Best (Spring Mattress) Manufacturers Pte Ltd,,,,,(+65) 6748-9963,(+65) 6748-9392,12 Lor Bakar Batu #03-04/06  Singapore,Offline,"Mattresses, Beds, Bedding, Bedroom  Furniture","Singapore Mattress Manufacturer Suppliers of Beds, Bedding, Bedroom Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers"
Bines Buana Pte Ltd,,,,,(+65) 6455-9483,,8 Angklong Lane #05-03  Singapore,Offline,"Rattan Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings","Singapore Rattan Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings, Rattan Furniture, Reed Furniture, Willow Furniture"
