Absolutely Thai,Paphutsorn Wongratanapitak ,,info@absolutelythai.com,,(+65) 8135-6325,,Paphutsorn Wongratanapitak  10 Anson Road #05-17 International Plaza Singapore 079903,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Music, Education",Singapore Arts Training Company providing instruction in Thai classical music and Thai dance. Instructors available for non-Thai dance and music students
Alcyon Creations Pte Ltd,,,,,(+65) 6327-8505,,3 Pickering Street Singapore 048660,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Galleries, Art Dealers","Singapore Art Galleries, Singapore Art Dealers in Oil Paintings, Design, Modern Art"
Antz@work,Rosman  Bin Mohd Shahid ,,Antz@work,,(+65) 6348-4588,(+65) 6221-0904,Rosman  Bin Mohd Shahid  1 Singapore,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education & Training, Schools","Singapore Education Company provides training services for art education with niche in Cartooning, Animation and Fundamental and Creative drawing skills for students in primary, secondary, ITE and special schools and is assisted by a select group of qualified practicing artists and designers."
Art and Crafts,Ivey Poh  Block,,artofcrafts@singnet.com.sg,,(+65) 6235-6267,(+65) 6235-9039,Ivey Poh  Block 71 Bedok South Road #15-260 Singapore 460071,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education","Singapore Art of Crafts Training Company offers decorative painting, miniature clay products, Decoupage and online shopping, hand painted decorative pieces for gifts and home decor."
Art N I,Mohd Zaheed ,,promotion-marketing@artni.com.sg,,(+65) 9270-0407,(+65) 6299-3384,Mohd Zaheed  23 A Bussorah Street Singapore 199481,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education, Arts Classes, Painting  Classes","Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Bring your family and friends and get together to paint. Bond with one another and have fun. There is no better way than to spend time with your family and friends in this wholesome activity. Bring your family or friends and we will provide the rest."
Art Friend (BBC) Pte Ltd,Bras Basah,,,,(+65) 6336-8338,,Bras Basah Complex-blk 231 #03-33 Singapore 180231,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Artists Materials, Art Supplies","Singapore Art Supplies Company suppliers of Artists Materials, Architectural Design Materials, Craft Hobby Materials, Fine Art Materials, Paints, Display Stands, Easels"
Art Genius Studio,Tang Tak Seng ,,yamyoklun@yahoo.com,,(+65) 9687-8185,(+65) 6848-1375,Tang Tak Seng  1 Singapore,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education","Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Art Genius Studio wish to develop and groom young artists through the workshop and courses we have. All courses and workshops are conducted by expert Singapore artists"
Art Glass Solutions,Dominic Fonde ,,dominic@artglasssolutions.com,,(+65) 6440-4957,,Dominic Fonde  30 Kuo Chuan Avenue Singapore 426926,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education, Glass Making","Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture."
Art In Space Pte Ltd,,,emalinesze@artinspace.com.sg,,(+65) 6584-2453,(+65) 6585-3837,3 Raffles Place # 07-01 Bharat Building Singapore 048617,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Consultants, Interior Designers,  Interior Design Consultants","Singapore Art Consultants providing art consultancy services and solutions to a broad base of clients including the property development and hospitality industries, architects, interior design consultants and commercial and public space planners"
Art Materials Supply,,,,,(+65) 6441-3858,,725 East Coast Rd Singapore,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Picture Frames, Artists Supplies","Singapore Artist Supplies Company Picture Frames Manufacturers, Picture Frames, Wholesalers, Picture Frames Distributors"
Art Zone Pte Ltd,GL Kwok  No.,,,,(+65) 6333-8203,(+65) 6472-2410,GL Kwok  No. 81 Clemenceau Ave #02-25 UE Shopping Mall Singapore 239917,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education","Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. We also conduct short-term flexi-time art & craft workshops such as paper, woodcraft, canvas, pottery and mural painting, clay work, collage, papier mache, origami, craft work using recycled/waste materials, team projects."
Art Glass Solutions,Dominic Fonde ,,dominic@artglasssolutions.com,,(+65) 6440-4957,,Dominic Fonde  30 Kuo Chuan Avenue Singapore 426926,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Arts, Education, Glass Making","Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture."
Arty Art Gallery,,,aag@artyartgallery.com,,(+65) 6729-9203,(+65) 6491-5207,55 Verde View Singapore 688684,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Galleries, Myanmar Paintings, Myanmar  Art, Burmese Paintings, Burmese Art, Fine Art","Houses Myanmar Paintings, Myanmar Art, Burmese Paintings, Burmese Art, Fine Art. Hosts and organizes incessant art events and art exchange programmes to get maximum global exposure for the artists."
Bali Connection,,,furnmanu@pacific.net.sg,,(+65) 6235-7202,,71 Cavenagh Rd #10-332  Singapore,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Furniture Manufacturers, Furniture  Stores, Furniture Dealers","Bali Connection specialises in the design and production of stone artworks and the manufacture of custom-made furniture and accessories for both interior and land. Collaborating with Interior Design, Architects & Landscape companies in the region and beyond, Bali Connection produces a wide range of customised interior and hardscape products. Some of these include furniture, decorative and functional artworks and accessories for hotels, resorts, golf clubs, condominiums and residential sites."
