name,poc,designation,email,website,mobile,fax,address,online,category,sub-category,categories,profile
Aamor Pte Ltd,120 Lower Delta Rd #01-13 Singapore 169208,,,,(+65) 6878-0200,E-mail:,,Online,Furniture,Bath,"Sanitaryware, Bathroom Fittings, Bathtubs, Whirlpools,  Toilets, Wash Basins, Mixers, Taps, Faucets","Singapore Bathroom Fittings Supplier of Bathtubs, Whirlpools, Jacuzzis, Toilets, Wash Basins, Mixers, Taps, Faucets, Ceramic Sanitary Ware"
Advanced Electronic Products Pte Ltd,Andrew Lai  48 Toh Guan Road East #02-140 Enterprise Hub Singapore 608586,,andrew@advancedep.com,,(+65) 6795-2668,"(+65) 6795-2663  E-mail: ,andrew@advancedep.com",,Online,Furniture,Bath,"Wires & Cables, Electrical & Electronics,  Fibre Optics","Singapore Electrical Equipment Company Suppliers of Telecommunication: Cat 5e, Cat 6, Cat 7 LAN Cable, Coaxial Cable, HDMI, USB Cable, Patch Cord, Patch Panel, Keystone Jack, Fiber Optic, 19 Cabinet Series, Outdoor LED Lighting, Solar Panels, LAN Cables, HDMI Cables, Fiber Optic Cables, Coaxial Cables, Mount Boxes, Hand Tools, LED Faucet Taps, LED Faucet Shower Heads"
Aos Building Materials,457 Macpherson Rd Singapore 368175,,,,(+65) 6288-0600,E-mail:,,Online,Furniture,Bath,"Sanitaryware, Bathroom  Accessories,  Bathroom Fittings","Singapore Building Supplies Company Suppliers of Sanitaryware, Bathroom Accessories, Bathroom Fittings, Bathroom Accessories, Sanitary Ware, Water Heaters, Steam Baths"
Aqualite Trading Pte Ltd,Claudia  Blk 302 Ubi AVe 1 #01-13 Singapore 400302,,claudia@aqualite.com.sg,,(+65) 9682-0660,"E-mail: ,claudia@aqualite.com.sg",,Online,Furniture,Bath,"Bathroom Fittings, Bathroom Accessories","Singapore Building Materials Company, Suppliers of Bathroom Fittings, Bathroom Accessories, Building Materials, Construction Materials"
Asia Excel Marketing,2 Jurong East St 21 #04-32D1 IMM BUILDING Singapore 609601,,sales@asiaexcel.com.sg,,(+65) 66+65-0107,"(+65) 6287-9287  E-mail: ,sales@asiaexcel.com.sg",,Online,Furniture,Bath,"Bathroom Fittings, Electric Equipment  Services, Electric Appliances, Sanitaryware, Kitchen  Appliances","Singapore Bathroom Fittings Company Suppliers of Electric Equipment Services, Electric Appliances, Sanitaryware, Kitchen Appliances, Bath & Toilet Appliances, Gas Appliances, Plumbing Products, Water Heaters"
Atom International (S) Pte Ltd,Michael  30 Jurong Port Road Jalan Buroh Warehouse Complex Singapore 619103,,michael@atom.international.com,,(+65) 6316-1274,"(+65) 6316-1275  E-mail: ,michael@atom.international.com",,Online,Furniture,Bath,"Sanitary Products, Building Materials,  Construction Materials","Singapore Building Materials Supply Company Suppliers of Sanitary Products, Building Materials, Construction Materials"
Bath Essential,,,,,(+65) 6353-0282,,13 Braddell Tech Toa Payoh Lorong 8  Singapore 319261,Online,Furniture,Bath,"Steam Shower Cabins, Sauna Cabins,  Hydrotherapy, Spa Solutions","Singapore Bathroom Fittings Manufacturer of hydrotherapy and spa solutions such as Steam Shower Cabins, Sauna Cabins, Hydrotherapy, Spa Solution, electronic-controlled steam shower cabins, sauna cabins, hydro-massage baths, general bath tubs, shower panels and other spa equipment, bathroom accessories, designer tap fittings & sanitaryware"
BathWorld,,,sales@bathworld.net,,(+65) 6355-0055,,530 Balestier Road  Singapore 329857,Online,Furniture,Bath,"Bathtubs, Basins, Kitchen Sinks, Bidets,  Urinal Bowls, Water Closets, Shower Fittings, Taps, Mixers","Singapore Bathroom Fittings Suppliers of Bathroom Fixtures & Bathroom Accessories, Bathtubs, Basins, Kitchen Sinks, Bidets, Urinal Bowls, Water Closets, Shower Fittings, Taps, Mixers"
Bretz & Co Pte Ltd,,,info@bretzco.com,,(+65) 6336-9926,,9 Penang Rd  Singapore 238459,Online,Furniture,Bath,"Plumbing Products, Hardware, Bathroom  Accessories, Kitchen Units, Security Products","Singapore Retailers & wholesalers of Plumbing Products, Hardware, Bathroom Accessories, Kitchen Units, Security Products, sanitaryware, bathroom faucets & accessories, modular bathroom furniture, kitchen sinks, door handles, locksets, window ironmongery"
Chuan Heng Building Products Pte Ltd,,,,,(+65) 6294-2397,(+65) 6293-1891,130 Jalan Besar  Singapore 208848,Online,Furniture,Bath,"Building Materials, Construction  Materials, Bathroom Fittings, Accessories","Singapore Company Suppliers of Building Materials, Construction Materials, Bathroom Fittings, Accessories, Bathroom Doors, Bathroom Doors, Bathroom Fittings, Bathroom Accessories, Bathroom Sinks, Bathrooms, Baths, Commercial Kitchen Equipment, Dispensing Systems, Domestic Appliances, Domestic Refrigerators, Domestic Stoves"
Chuan-Fa Trading Pte Ltd,Ong Mah Tiong,Managing Director,chuanfa@pacific.net.sg,,(+65) 6743-5449,(+65) 6743-5421,554B MacPherson Road  Singapore 368230,Online,Furniture,Bath,"Architectural Glass, Building Materials,  Construction Materials","Singapore Building Materials Company. Trading, retail & wholesale of building materials, hardware, sanitary ware, Building Materials, Construction Materials, Architectural Glass, Glass, Glass Blocks or Bricks, Glass Working Equipment, Glass Working Tools, Structural Glass"
