Adremat Pte Ltd,Ricky Teo ,,,,(+65) 6385-7238,(+65) 6745-7333,"Ricky Teo  5 Buangkok Green, #04-06 Singapore 539748",Offline,Other Lifestyle (All categories),Potteries,"Photo Frames, Metal Vases, Candles with  Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oil","Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils"
Aky Marketing,No,,jason@akyweb.com,,(+65) 9687-7748,,No 105 The Octagen #13-02 Singapore,Online,Other Lifestyle (All categories),Potteries,"Printers, Ceramics Printing,  GlassPrinting, Metal Printing, Plastic Printing","Singapore Printing Company, Printers, Ceramics Printing, Glass, Printing, Metal Printing, Plastic Printing. Printers of Ceramics, Glass, Metal, Plastic"
Ansari & Associates,"Tamim Ansari  317B Anchorvale Road,",,enquiry@ansari.com.sg,,(+65) 9850-2979,,"Tamim Ansari  317B Anchorvale Road, # 06-240 Singapore 542317",Online,Other Lifestyle (All categories),Potteries,"Wooden Furniture, Hotel Furniture","Singapore international export company specialized in Home and Hotel furniture, Furnishings. Suppliers of: Hotel Furniture, Home Furniture, Wooden Doors, frames, LCD TV, DVD Players, Porcelain, Ceramics (table wares), PVC windows and doors, Laundry Systems and Mini Bars"
Appropriate Holdings Pte Ltd,"Christina  No. 1, Clementi Loop",,christina@appropriate.com.sg,,(+65) 6469-5466,(+65) 6469-5512,"Christina  No. 1, Clementi Loop #03-07 Clementi West Logis Park Singapore 129808",Online,Other Lifestyle (All categories),Potteries,"Management Consultants, Green Environment  Technology, Ceramics Engineering","Singapore Management Consultants, Green Environment Technology, Ceramics Engineering. We are a privately held Management Consultancy and Investment Holding company specialising in very niche Research and Development in the area of Ceramics Technology as well as Green Environment Technology."
Asia Ancient,,,,,(+65) 6734-0318,(+65) 6734-0318,19 Tanglin Rd #03-28 Tanglin Shopping Centre Singapore 247909,Offline,Other Lifestyle (All categories),Potteries,"Antiques, Stone Statues, Ceramics","Singapore Antiques Company Suppliers of Antiques, Stone Statues, Ceramics, Antiques, Sandstone Statues, Antique Ceramics"
Asia Dynasty Pte Ltd,"No.8 Boon Lay Way @Tradehub 21,",,dla@asiadynasty.com.sg,,(+65) 6896-8525,(+65) 6896-6462,"No.8 Boon Lay Way @Tradehub 21, #01-13 Singapore 207629",Online,Other Lifestyle (All categories),Potteries,"Ceramic Tiles, Crystal Glass, Marble","Singapore Ceramic Tile Company Suppliers of Ceramic Tiles, Crystal Glass, Marble Tiles. A Singapore Company. We are a trustworthy, prominent supplier and manufacturer of a wide and varied range of good quality decorative tiles in Crystal Glass, Ceramic and marble. In the last two years we have also developed our own marble products."
Builders Shop,,,info@buildersshop.com.sg,,(+65) 6545-5225,(+65) 6545-5665,11 Changi South Street  Singapore 486122,Online,Other Lifestyle (All categories),Potteries,"Flooring, Building Supplies, Granite  Tiles, Marble Tiles, Porcelain Tiles, Ceramic Tiles","Singapore Building Materials Company Suppliers of Flooring, Building Supplies, Granite Tiles, Marble Tiles, Porcelain Tiles, Ceramic Tiles. Building Supplies Importers, Building Supplies Retailers, Building Supplies Distributors, Building Supplies Suppliers"
Ceramic House,,,ceramic_house@yahoo.com.sg,,(+65) 6784-0024,(+65) 6784-0024,Blk 9004 Tampines St 93 #02-102  Singapore 528838,Online,Other Lifestyle (All categories),Potteries,"Pottery Studio, Pottery Courses","Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level"
Ceramics Gallery Pte Ltd,,,,,(+65) 6742-2848,(+65) 6742-2848,No. 1 Kakit Bukit Road # 01-09 Enterprise One  Singapore 415934,Offline,Other Lifestyle (All categories),Potteries,"Ceramic Tiles, Wall Tiles, Quartz Tiles,  Building Materials, Construction Materials","Singapore Tiles Distributor, Tiles Wholesalers, Suppliers of Ceramic Tiles, Wall Tiles, Quartz Tiles, Building Materials, Construction Materials"
China Union Co Pte Ltd,nan,,nan,nan,nan,nan,nan,Offline,Other Lifestyle (All categories),Potteries,nan,"Singapore Retailers, Wholesalers of crockery, kitchenware, porcelain ware"
