Alton Flowers N Gifts,,,,,(+65) 748-1128,(+65) 748-1128,"2 Joo Chiat Road #01-111, Joo Chiat Complex, Singapore 420002",Offline,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers","Singapore Florists, Singapore Flower Suppliers, Singapore Plant Retailers"
Angelflorist Services,,,links1@angelflorist.com,,(+65) 6820-3338,,"20 ayer rajah crescent, #08-01 Singapore",Online,Other Lifestyle (All categories),Floral Shops,Florists,"Singapore Florists' Supplies Company. Offer only the finest floral arrangements and gifts, supported by a dynamic and qualified team of professional Flower Designers and a dedicated group of Customer Service Officers."
Apple Green Florist,,,sales@applegreen.com.sg,,(+65) 6532-6533,(+65) 6438-2386,133 New Bridge Road #01-42 Chinatown Point Singapore 059413,Online,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers","Singapore Florists, Flower Suppliers, Plant Retailers. Suppliers of Floral Arrangements, Hand Bouquets, Corporate Gifts, Baby Gifts"
Asia Flora (S) Pte Ltd,,,info@universeflora.com,,(+65) 6744-1206,(+65) 6744-1207,85 Genting Lane Singapore 349569,Online,Other Lifestyle (All categories),Floral Shops,"Florists, Plants, Flowers","Singapore Florists.You simply won't find a better place to order flowers online for any occasion: birthday roses, get well, gift basket, Love & Romance"
B & N Orchid Nursery,,,,,(+65) 6793-7687,,51 (plot LCK 55) Lim Chu Kang Lane 9  Singapore 719531,Offline,Other Lifestyle (All categories),Floral Shops,"Orchids Farms, Flower Suppliers, Plant  Retailers","Singapore Orchids Farms, Flower Suppliers, Plant Retailers, Exotic Orchid Species"
Ban Nee Chen Pte Ltd,,,enquiry@banneechen.com.sg,,(+65) 6345-5515,(+65) 6345-6729,45 Amber Road  Singapore 439886,Online,Other Lifestyle (All categories),Floral Shops,"Landscape Designers, Landscaping  Contractors, Garden Landscapers","Singapore Landscape Designers, Landscaping Contractors, Garden Landscapers, Suppliers of Air Purifiers, Aquarium, BBQ's, Camping Equipment, Chemicals, Christmas Trees, Christmas Lighting, Festive Lighting, Doctor Fish Spa Systems, Floral Gifts, Bouquets, Wreaths, Fresh Flowers, Garden Furniture, Gardening Tools, Home Care, Humidifiers & Dehumidifiers, Indoor & Outdoor Wood Treatment, Mesh, Mosquito Control, Plant Stands, Playgrounds, Pots & Planter Boxes, Rubber Tiles, Tools (Hardware), Slab & Pebbles, Soil & Compost, Solar Lighting, Water Features, Plants"
Bedok Garden Landscape Construction Pte Ltd,,,bedok_gdn@pacific.net.sg,,(+65) 6246-0511,(+65) 6446-5233,2 Bedok South Road Nursery Plot 1  Singapore 469268,Online,Other Lifestyle (All categories),Floral Shops,"Landscaping, Landscape Gardeners,  Nurseries, Flowers, Plants","Singapore Landscaping Company, Landscape Gardeners, Building Contractors, Construction Contractors Suppliers of Nursery Plant Stock, Flowers, Plants"
Benelux Flowers & Food Pte Ltd,,,info@beneluxproduce.com,,(+65) 6779-6890,(+65) 6779-7203,"230A, Pandan Loop  Singapore 128416",Online,Other Lifestyle (All categories),Floral Shops,"Food, Flower Suppliers, Plant Retailers,  Fruits & Vegetables Wholesalers &  Traders, Fruits & Vegetables Importers & Exporters","Singapore Importer and exporter of fresh food and fresh flowers with HACCP-SAC2 certification in storing, distribution and packing of fresh fruits and vegetables. Supplies to wholesalers, supermarkets, hotels and catering services. Also exporting to ASEAN countries; Malaysia, Brunei, Indonesia, Myanmar and Thailand."
Boenga Flowers & Designs,,,info@boenga.net,,(+65) 6423-1400,,"40 Harding Road,  Singapore 249548",Online,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers","Singapore Florists, Flower Suppliers, Plant Retailers. Does Flower arrangements for weddings, exhibitions"
Bollywood Veggies Pte Ltd,Ivy Singh-Lim,,bollyveg@singnet.com.sg,,(+65) 6898-5001,(+65) 6898-2013,"100, Neo Tiew Rd  Singapore 719026",Online,Other Lifestyle (All categories),Floral Shops,"Organic Health Food, Florists, Fruit,  Flower Suppliers, Plant Retailers, Agricultural  Products","Singapore Health Food Company, Organic Farm Suppliers of Organic Health Food, Florists, Fruit, Flower Suppliers, Plants, Agricultural Products. Produces vegetables & fruits without chemical fertilisers, pesticides, & growth hormones. Offers tours & horticultural courses. Sells 20 types of bananas, medicinal plants. We grow uncommon fruit trees such as crystal fruit, breadfruit and butterfruit, and medicinal trees such as Horse Radish tree, West Indian Pea Tree, basil and gingers"
