Angsana Resorts & Spa,,,corporate@angsana.com,,(+65) 6849-5888,(+65) 6462-2463,211 Upper Bukit Timah Road Singapore 588182,Online,Travel,Hotels,"Hotels & Resorts, Spas, Wellness Centres",Angsana is a hotel brand that caters to the modern traveler seeking style and authenticity. Comprising contemporary and chic retreats.
Aqueen Hotels Pte Ltd,Albert Leong ,,sales@aqueenhotels.com,,(+65) 6488-4688,,Albert Leong  23 Tai Seng Drive Singapore 535224,Online,Travel,Hotels,Singapore Hotels,"Singapore Hotels, A Singapore-owned chain of hotels, offers executive class hospitality to business and leisure travelers, with its comfortably appointed rooms in a choice of four convenient locations near the main business and shopping belts."
Ask School Of Management (S) Pte Ltd,Steven Ang ,,info@askedu.com.sg,,(+65) 6339-9204,,Steven Ang  103 Beach Rd #07-01 Singapore 189704,Online,Travel,Hotels,"Education, Schools","Singapore Hotel Training Company providing quality hospitality and hotel education, and it takes great pride in offering an industry based curriculum that is supported by and innovative teaching methods."
Balestier Students' Hostel (S) Pte Ltd,,,admin@bshostel.com,,(+65) 6251-8588,(+65) 6352-4668,"12, Boon Teck Rd Shaw Corner  Singapore 329586",Online,Travel,Hotels,"Education, Accommodation","Singapore Student Accommodation. A 4-storey building situated at the junction of Boon Teck Road and Balestier Road. It was founded more than 30 years ago and is registered with the Government of Singapore. The Hostel is very spacious, well-equipped and professionally managed to cater to the needs of foreign students from countries in this region."
Bayview Hotel Singapore,,,,,(+65) 6337-2882,,30 Bencoolen Street  Singapore 189621,Offline,Travel,Hotels,Singapore Hotels,"Singapore Hotel close to Singapore's central business district; has 131 guest rooms with IDD phones, voice mail, TV, minibar, safe & Internet facilities; facilities: sauna, gym, rooftop swimming pool, six function rooms"
Beach Hotel Pte Ltd,JENNIFER TAY,,sales@beachhotel.com.sg,,(+65) 6336-7712,(+65) 6336-7713,"95, Beach Rd  Singapore 189699",Online,Travel,Hotels,Singapore Hotels,"Singapore Hotel within walking distance of Suntec City, Raffles City & Bugis Junction. Standard, superior & deluxe rooms, with airconditioning, TV, fridges, IDD phones"
Berjaya Hotel Singapore,JOCELYN GWEE,,berhotel@berjayahotel.com.sg,www.berjaya.com.sg,(+65) 6227-7678,(+65) 6227-1232,83 Duxton Road  Singapore 089540,Online,Travel,Hotels,Hotels In Singapore,"Luxury Singapore Hotel in the heart of Chinatown with the elegance and opulence of the colonial era; has around 50 rooms with individually controlled air-conditioning, minibar. Facilities include Italian-Mediterranean restaurant, business centre"
Betel Box Backpackers Hostel,,,info@betelbox.com,,(+65) 6247-7340,,200 Joo Chiat Road  Singapore 427471,Online,Travel,Hotels,"Hostels, Guesthouses, Hotels In Singapore","Singapore Hostel offers dormitory accommodation & double rooms; facilities: large & cosy communal areas with kitchen, sound system, library, hot & cold showers, airconditioning, organises tours, entertainment"
Bintan Lagoon Resort,,,mice@bintanlagoon.com,,(+65) 6750-2280,(+65) 6534-5157,600 North Bridge Road #08-08 Parkview Square  Singapore 188778,Online,Travel,Hotels,"Hotels, Resorts, Spas, Tourism","Bintan Resorts is an idyllic getaway located just a 45 minute catamaran ride away from Singapore. With extensive meeting facilities and a variety of outdoor locations, Bintan Lagoon Resort offers the perfect setting for private parties, corporate meetings, conferences, incentive trips and teambuilding events."
Bintan Resorts International Pte Ltd,Jimmy Tan Executive - Destination Marketing,,bintan@bintan-resorts.com,,(+65) 6389-3899,(+65) 6296-5665,991B Alexandra Road #04-08  Singapore 119970,Online,Travel,Hotels,"Hotels, Resorts, Spas, Tourism","Bintan Resorts Indonesia, an ideal twinning destination for a business meeting in one and an idyllic island retreat in the other, without the hassle of additional flights. exclusive top-level management meeting, company event or function, rejuvenating spa treats, challenging golf games and a host of outdoor activities and nature and heritage tours."
Bonvests Holdings Limited,,,,,(+65) 6732-5533,,541 Orchard Road  Singapore 238881,Offline,Travel,Hotels,"Builders, Hotels, Waste, Management,  Cleaning, Restaurants, Food Services,  Caterers, Catering","Singapore Business group involved in Construction, Waste, Management, Cleaning, Restaurants, Food Services, Caterers, Catering property development and investment, F&B ownership & management, Burger King Franchise, hotel ownership and management (Sheraton Towers Singapore Hotel), contract cleaning of buildings"
Bugis Backpackers,nan,,nan,nan,nan,nan,nan,Offline,Travel,Hotels,nan,"Singapore Hostel, Guesthouse offering affordable accommodation to backpackers in mixed dorms, 8-bed ladies' dormitory, & private rooms, single, double, triple, & quad. Provides lockers, laundrette, and travel brochures"
Cameron Hotel,Christine Tan/Mr Nicholas Ong,,info@cameronhotel.com.sg,,(+65) 6545-1816,(+65) 6545-6605,393F Upper Changi Road  Singapore 486917,Online,Travel,Hotels,Hotels In Singapore,"Singapore Hotel on Upper Changi Road amidst lush, tropical surroundings; has standard, deluxe rooms with air-conditioning, attached bath, TV's"
