A & P Maintenance Services Pte Ltd,Christabel Wee Secretary ,,christabel@ap-group.com.sg,,(+65) 6747-3538,(+65) 6744-3108,Christabel Wee Secretary  50 Genting Lane #04-01 Cideco Industrial Complex Singapore 349558,Online,Furniture,Laundry & Cleaning Equipment,"Janitorial  Services, Janitors Supplies, Cleaning Company, Housekeeping,  Cleansing","Singapore Janitorial Services, Janitors Supplies, Cleaning Company, Housekeeping, Cleansing Company Profile: Cleaning company, Housekeeping, Cleansing, Desilting & Conservancy Services"
Absolute Maintenance Services Pte Ltd,,,abs@absolute-ms.com.sg,,(+65) 6742-0308,(+65) 6742-3680,37 Lorong 23 Geylang #08-03 Yu Li Industrial Building Singapore 388371,Online,Furniture,Laundry & Cleaning Equipment,"Janitorial Services, Housekeeping,  Cleansing, Cleaning Services, Conservancy Service","Singapore Janitorial Services, Housekeeping, Cleansing, Cleaning Services, Conservancy Service"
Acteff Cleaning Specialists Pte Ltd,,,anp@ap-group.com.sg,,(+65) 6747-7778,(+65) 6749-1753,50 Genting Lane #04-01 Cideco Industrial Complex Singapore 349558,Online,Furniture,Laundry & Cleaning Equipment,"Janitorial Services, Janitors Supplies,  Housekeeping, Cleaning Services","Singapore Janitorial Services Company Suppliers of Janitors Supplies, Housekeeping, Cleaning Services, Janitor Services, Housekeeping, Cleansing, Desilting & Conservancy Services"
Aik Chuan Construction (Pte) Ltd,,,contact@evanlim.com,,(+65) 6505-6022,(+65) 6505-6066,11 Mandai Estate Singapore 729908,Online,Furniture,Laundry & Cleaning Equipment,"Concrete Repairs, Janitorial Services,","Singapore Building Contractors, Concrete Repairs, Janitorial Services, Housekeeping, Cleansing, Desilting & Conservancy Service, Construction Contractors"
Aj Jetting Pte Ltd,,,ajjetting@gmail.com,,(+65) 6396-8935,(+65) 6396-8936,56 Upper Weld Road Singapore 207411,Online,Furniture,Laundry & Cleaning Equipment,"Janitorial Services, Cleaning Services","Singapore Janitorial Services, Cleaning Services, Housekeeping, Cleansing, Desilting & Conservancy Service"
Al Eng. & Construction Service,,,rajaziee@hotmail.com,,(+65) 6392-2041,(+65) 6392-2041,1 Sophia Road #03-K44 Peace Centre Singapore 228149,Online,Furniture,Laundry & Cleaning Equipment,"Building Contractors, Construction  Contractors","Singapore Building Contractors, Construction Contractors, Janitorial Services, Janitors Supplies, Housekeeping, Cleaning Services"
Aledo Investment Pte Ltd,,,,,(+65) 6665-2157,,12 International Business Pk Singapore,Offline,Furniture,Laundry & Cleaning Equipment,"Fertilizers Manufacturers, Wholesalers,  Distributors","Fertilizers Manufacturers, Agricultural Supplies, Agricultural Chemicals, Fertilizers Wholesalers, Fertilizers Distributors"
Alto Danmark A/S,,,,,(+65) 6836-6455,(+65) 6836-6462,271 Bt Timah Rd #04-11 Singapore,Offline,Furniture,Laundry & Cleaning Equipment,"Cleaning Equipment Manufacturers,  Wholesalers, Distributors","Singapore Cleaning Equipment Manufacturers, Wholesalers, Distributors, Janitorial Services, Cleaning Services"
Anergy Building Services Pte Ltd,,,sales@anergy.com.sg,,(+65) 6738-4989,(+65) 6738-1231,1003 Bukit Merah Central #01-06 Technopreneur Centre Singapore 159836,Online,Furniture,Laundry & Cleaning Equipment,"Janitorial Services, Janitors Supplies,  Cleaning Contractors","Singapore Janitorial Services, Janitors Supplies, Cleaning Contractors, Contract Cleaning, General House Cleaning, Painting, Carpets Cleaning, Housekeeping, Cleansing, Desilting & Conservancy Service"
Ao Servicepro Pte Ltd,,,sales@aoservices.com.sg,,(+65) 6287-0177,(+65) 6287-3177,"58 Lorong 1, Realty Park Singapore 536967",Online,Furniture,Laundry & Cleaning Equipment,Landscape Gardeners,"Singapore Landscape Gardeners, Landscaping, Housekeeping, Cleansing, Desilting & Conservancy Services"
