A-Power Engineering Pte Ltd,Chua Seng Cheong  51 Bukit Batok Crescent #06-28 Unity Centre Singapore 658077,,general@apower.com.sg,,(+65) 6765-1378,(+65) 6791-7628,Chua Seng Cheong  51 Bukit Batok Crescent #06-28 Unity Centre Singapore 658077,Online,Furniture,Lighting,"Real  Estate & Construction, Electrical Contractors,  Construction and Remodeling, Fire  Prevention & Protection Systems, Building Automation,  Industrial & Process Control Systems","Singapore Engineering Company engaged in the design, installation, testing, and commissioning of electrical power, lighting, air conditioning, mechanical and heating ventilation, fire protection, plumbing and sanitary, telephone, and data networking systems. It provides its project management and maintenance management services to commercial buildings, industrial buildings, and condominiums."
Acronman Electronics,Chee Leong Goh  Blk 2024 Bukit Batok St 23 #02-44 Singapore 659529,,sales@circuitdiy.com,,(+65) 6425-0110,(+65) 6561-4688,Chee Leong Goh  Blk 2024 Bukit Batok St 23 #02-44 Singapore 659529,Online,Furniture,Lighting,"Electrical & Electronics, Led Lightings,  Electronic Components, Electronic Dictionary, Lcd, Sporting  Goods, Rf Components, Obselete Components, Notebook Fans, Rf  Module","Singapore Electronics Trading Company, Electrical Equipment, Electrical Equipment, Electrical Components Trading Company. Specializing in buying and selling excess electronic components, electronic parts, test equipment, consumer electronics products, electronic kit sets, Led Lightings, Electronic Components, Electronic Dictionary, Rf Modules, Rf Components, Obsolete Electronic Components, Computer Notebook Fans."
Advance Synergy Pte Ltd,,,avsynergy@pacific.net.sg,,(+65) 337-0081,,1 Coleman Street #02-27 The Adelphi Singapore 179803,Online,Furniture,Lighting,"Video Equipment, Automation Systems,  Lighting, TV System Equipment, Closed Circuits,  Architectural Stainless Steel, Sound Systems Audio Equipment","Singapore Electrical Equipment Company Suppliers of Video Equipment, Automation Systems, Lighting, TV System Equipment, Closed Circuits, Architectural Stainless Steel, Sound Systems Audio Equipment"
Aifa (S) Pte Ltd,,,aifas@singnet.com.sg,,(+65) 6747-2166,(+65) 6741-5924,9 Kaki Bukit Rd 2 #04-10 Gordon Warehouse Building Singapore 417842,Online,Furniture,Lighting,"Electrical Appliances, Curtains, Home  Furnishings","Singapore Furnishings Company Suppliers of Lighting, Lamps, Electrical Appliances, Curtains, Home Furnishings"
Akira Singapore Pte Ltd,,,marketing@myakira.com,,(+65) 6793-0110,(+65) 6862-8921,10 Toh Guan Rd #10-00 Singapore 608838,Online,Furniture,Lighting,"Electric Appliances Manufacturers,  Electric Appliances Wholesalers","Singapore Electric Appliances Manufacturers, Electric Appliances Wholesalers. Color TV,DVD/DVR/VCP/VCR, Air-Conditioners, Small Appliances, Kitchen Appliances, Plasma TV's, LCD TV's, Projection TV, Audio Hi-Fi Products, Lightings, Toys, Communications Equipment, Recording Media, Digital Imaging, Massage Chairs, Water -based Vacuum Cleaners, Car Audio Systems"
Allmaster Enterprise,Jessie Foo  3011 Bedok Industrial Park E #03-2014 Singapore 489977,,felix.chew@allmaster.com.sg,,(+65) 6445-5301,(+65) 6241-8884,Jessie Foo  3011 Bedok Industrial Park E #03-2014 Singapore 489977,Online,Furniture,Lighting,"Lighting Poles, Queuing Equipment &  Systems","Singapore Lighting Company Suppliers of Lighting Poles, Queuing Equipment & Systems, Signcraft Installation"
Almanach Lamps & Luminaires Pte Ltd,,,hr@almanach.com.sg,,(+65) 6294-6303,(+65) 6294-6335,"41, Tessensohn Rd Singapore 217660",Online,Furniture,Lighting,"Lamps, Lighting","Singapore Lighting Company Suppliers of Lamps, Lighting, photo lighting applications. Almanach Lamps & Luminaires Pte Ltd has a history counting back to more than fifteen years in the lighting industry."
American Flagpole Lighting Pole International,,,,,(+65) 6246-4283,(+65) 6246-3686,91 Up Changi Rd East Singapore 486183,Offline,Furniture,Lighting,"Flag Poles, Signage, Banners, Lighting  Poles","Singapore Suppliers of Flag Poles, Signage, Banners, Lighting Poles"
Amico Technology International Pte Ltd,,,amico_tech@pacific.net.sg,,(+65) 6442-0828,(+65) 6449-6588,"3011, Bedok Ind Pk E #01-2006 Singapore 489977",Online,Furniture,Lighting,"Signs, Sign Makers, Lighting Poles, Flag  Poles","Singapore Sign making Company Suppliers of Signs, Lighting Poles, Flag Poles, Silkscreen Printing"
ASP Engineering,Sean Lee  151 Chin Swee Road # 14-01 Manhattan House Singapore 169876,,,,(+65) 6754-3243,(+65) 6754-3243,Sean Lee  151 Chin Swee Road # 14-01 Manhattan House Singapore 169876,Offline,Furniture,Lighting,"Semiconductors, Automation, Precision  Machining, Energy Saving Lamp","Singapore Suppliers of Energy Saving Lamps. T5 Converter is a retrofit conversion pack for both switch start and quick start luminaries. Almost all of the raw materials including mercury, glass and metal can be decomposed and 100% recycled. The doubling of service life means the tubes are replaced less frequently. All in all, T5 converter is the optimum eco-friendly solution."
Atco Control (S) Pte Ltd,,,,,(+65) 6749-1880,(+65) 6742-9886,39 Kaki Bukit View #03-00 Singapore,Offline,Furniture,Lighting,Lighting,"Singapore Lighting Fixtures Lighting Fixtures Manufacturers, Lighting Fixtures Wholesalers, Lighting Fixtures Distributors"
Audio Light Asia Pte Ltd,,,info@audiolight.com.sg,,(+65) 6742-6387,(+65) 6742-7514,50 KAllang Pudding Rd #03-05 Singapore,Online,Furniture,Lighting,"Lighting, Audio & Visual Equipment","Singapore Lighting Equipment, Audio Equipment Company Suppliers of Lighting, Audio & Visual Equipment, Lighting System & Lighting Equipment"
AVR Impex,"John A  10 Anson Road, #16-16 International Plaza Singapore 079903",,,,(+65) 9387-0311,,"John A  10 Anson Road, #16-16 International Plaza Singapore 079903",Offline,Furniture,Lighting,"Soda Ash Light, Black Matpe, Red Kidney  beans, Green Mung Beans, Auto parts","Singapore Trading Company, Importers, Exporters of Black Matpe Beans Mercury LED Lights, LED Lamps, Paraffin Wax, Soda Ash, Caustic Soda, Cloves, Green Mung Beans"
Ban Nee Chen Pte Ltd,,,enquiry@banneechen.com.sg,,(+65) 6345-5515,(+65) 6345-6729,45 Amber Road  Singapore 439886,Online,Furniture,Lighting,"Landscape Designers, Landscaping  Contractors, Garden Landscapers","Singapore Landscape Designers, Landscaping Contractors, Garden Landscapers, Suppliers of Air Purifiers, Aquarium, BBQ's, Camping Equipment, Chemicals, Christmas Trees, Christmas Lighting, Festive Lighting, Doctor Fish Spa Systems, Floral Gifts, Bouquets, Wreaths, Fresh Flowers, Garden Furniture, Gardening Tools, Home Care, Humidifiers & Dehumidifiers, Indoor & Outdoor Wood Treatment, Mesh, Mosquito Control, Plant Stands, Playgrounds, Pots & Planter Boxes, Rubber Tiles, Tools (Hardware), Slab & Pebbles, Soil & Compost, Solar Lighting, Water Features, Plants"
Base Pte Ltd,,,,,(+65) 6273-9911,(+65) 6272-9742,1200 Depot Rd #06-25  Singapore,Offline,Furniture,Lighting,Lighting Fixture Suppliers,"Singapore Lighting Fixtures Company Suppliers of Lights, Lamps, Lighting Fixtures Parts"
Beng Hui Marine Electrical Pte Ltd,,,,,(+65) 6291-4444,,No. 8 Penjuru Lane  Singapore 609189,Offline,Furniture,Lighting,"Marine Supplies, Electrical Supplies,  Marine Equipment","Singapore Marine Supplies Company, Electrical Supplies, Fire Prevention Equipment, Fire Alarms, Navigation Lights, Electrical Transformers"
