A & J Child Care Centre,,,,,(+65) 6287-3364,,434 Hougang Ave 8 #01-904 Singapore 530434,Offline,Education,Nursery,"Child Care  Centres, Nurseries, Schools, Education Facilities","Singapore Child Care Centre, Singapore Nurseries, Schools, Education Facilities"
Anglo-Asian Learning Centre,,,,,(+65) 6762-9500,,"8, Chu Lin Rd Bamboo Grove Park Singapore 669898",Offline,Education,Nursery,"Child Care Centres, Nurseries, Schools,  Education Facilities","Singapore Child Care Centre, Nurseries, Schools, Education Facilities, Singapore Nursery School"
Antioch Edu-Works Centre,Victor Chew ,,victorchew2004@yahoo.com.sg,,(+65) 6781-1979,(+65) 6789-5833,"Victor Chew  Block 488B #B1-147, Tampines Street 45 Singapore 521488",Online,Education,Nursery,"Arts, Education & Training, Schools","Singapore Education Company Suppliers of courses at various centers all over the island. These centers include certain PCF Education Centers, Childcare Centers, Private Preschools and Childcare Development Centers"
Association for Early Childhood Educators,,,,,(+65) 6281-4989,(+65) 6281-4328,18 Hougang Ave 3 #01-159 Singapore 530018,Offline,Education,Nursery,Associations & Organizations,"AECES promotes professional development through accredited professional development programmes, lifelong learning workshops and courses, practicum supervision, mentorship, research"
Babies Inc Montessori Pte Ltd,,,enquiries@babiesinc.com.sg,,(+65) 6467-7600,,"8, Cherry Ave  Singapore 279862",Online,Education,Nursery,"Child Care Centres, Nurseries, Schools,  Education Facilities","Singapore Nursery School offers Montessori certified teachers, A nurturing atmosphere, A challenging core curriculum, Mandarin Language study, Music and Movement Sessions, Art Sessions, Gym Sessions, Physical Education, Horse riding, Capoeira, Yoga sessions, Field trips"
Barker Road Methodist Church Kindergarten,,,,,(+65) 6255-8430,,70 Barker Road  Singapore 309936,Offline,Education,Nursery,Early Childhood Nursery School,Singapore Kindergarten offers bilingual International Baccalaureate-inspired inquiry-based curriculum; in partnership with Methodist Church in Singapore & ACS family of schools
BestCare Montessori Kindergarten & Child Development Centre,,,,,(+65) 6299-0818,,45 Boon Keng Road  Singapore,Offline,Education,Nursery,Early Childhood Nursery,"Singapore Early Childhood Nursery, Early childhood centre in Kallang Community Centre, offering Montessori curriculum to students in nursery 1 & 2 and Kindergarten 1 & 2"
Bethesda (Ang Mo Kio) Kindergarten,,,bethkindamk@gmail.com,,(+65) 6453-6134,,"601, Ang Mo Kio Ave 4  Singapore 569898",Online,Education,Nursery,"Kindergartens, Nurseries, Nursery Schools","Singapore Christian Kindergarten providing a holistic education built on Christian principles. Offers Chinese lessons, Chinese word rapid recognition, music and movement, outdoor play, & Bible story sessions"
Brainy Child Montessori Learning Centre,,,,,(+65) 6733-7669,,"150, Orchard Rd #05-21/22/23 Orchard Plaza Singapore 238841",Offline,Education,Nursery,"Children's Development Schools, Education  Facilities, Early Childhood","Singapore Children's Development Schools, Education Facilities, Early Childhood Centre. Montessori learning centre at Orchard Plaza; caters to children between the age of 18 months to 12 years"
Buttercups Montessori Kindergarten Pte Ltd,,,,,(+65) 6462-4838,,"37, Grove Lane  Singapore 279029",Offline,Education,Nursery,"Kindergartens, Nurseries, Nursery Schools","Singapore Kindergarten, Nursery School catering to children below 6 years; students grouped into Play Club (2 years) and Montessori Preschool (3-6 years); also offers Montessori Enrichment classes (4-6 years)"
Cambridge @ Hougang,,,enquiries@mseeds.com.sg,,(+65) 6288-0083,,"8 St Xavier's Lane,  Singapore 535736",Online,Education,Nursery,"Education, Tuition Centres, Tutoring  Services, Child Development","Singapore Child Development Centre provides early childhood education to kids aged 18 months to 6 years (playgroup to KG2), & full & half-day care. Provides a holistic approach to your child’s development by providing a dynamic and conducive environment to guide them through their growth and learning experience. We place importance on a stimulating and safe environment for your child to learn and explore."
Canossa Convent Primary School (CCPS),Grace Tan Principal,,ccps@moe.edu.sg,,(+65) 6844-1418,,"1 Sallim Road,  Singapore 387621",Online,Education,Nursery,"Schools, Education","Singapore Catholic mission school on Sallim Road, amidst the old Aljunied Estate; part of the Canossian Eduplex, which comprises Canossa Convent, Canossaville Children's Home, Canossa Convent Primary School , Magdalene's Kindergarten"
Canossian School,,,admin@canossian.edu.sg,,(+65) 6749-8971,(+65) 6749-8976,"1 Sallim Road,  Singapore 387621",Online,Education,Nursery,"Special Needs School, Education","Singapore Special Needs School located in Sallim Road; part of the Canossian Eduplex; provides education for children with hearing impairment from birth to primary school leaving age, using the Natural Auditory Oral Approach"
Care Corner Child Development Centre (Yishun),,,yishun.cdc@carecorner.org.sg,,(+65) 6756-0729,(+65) 6755-1776,Blk 270 Yishun St 22 #01-58 Singapore  Singapore 760270,Online,Education,Nursery,"Child Care Centres, Nurseries, Schools,  Education Facilities","Singapore Child Care Centre. Activities and programmes for children aged between 18 months to 6 years old, Infant Care accepts infants and toddlers aged between 2 to 18 months, Daily programmes include language enrichment (Mandarin & English), Math & Science, art & craft activities as well as computer lessons, Comprehensive indoor and outdoor activities"
