Adidas Singapore Pte Ltd,,,,,(+65) 6538-6200,(+65) 6538-6400,3 ANSON ROAD #27-01 Singapore 150168,Offline,Active Lifestyle,Men & Women activewear,"Sports Equipment, Sport Supplies,  Sporting Goods","Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle"
Arms Enterprise (Singapore) Pte Ltd,,,sales@revo.com.sg,,(+65) 6861-0256,,271 Kakit Bukit Avenue 1 Singapore 416070,Online,Active Lifestyle,Men & Women activewear,"Garments, Sportswear, Golfing Apparels,  Golf T shirts","Singapore Garments, Sportswear Manufacturers, Suppliers of golfing apparels & t-shirts, company T-shirts and uniform apparels. Made from various kinds of quality textile materials, our fabric range includes 100% cotton, cotton-polyester mixed as well as anti-static & anti-flaming textile materials."
Banroy Sportswear Trading Pte Ltd,,,,,(+65) 6337-9228,(+65) 6745-5670,"3, Coleman St Peninsula Hotel  Singapore 179804",Offline,Active Lifestyle,Men & Women activewear,"Sportswear, Sports Equipment, Sport  Supplies, Sporting Goods","Singapore Sports Clothes Trading Company Suppliers of Sportswear, Sports Equipment, Sport Supplies, Sporting Goods"
Bob's Golf,,,,,(+65) 6297-6171,,"227, Rangoon Rd Golf Equipment, Golfing Supplies  Singapore 218462",Offline,Active Lifestyle,Men & Women activewear,"Golf Equipment, Golfing Supplies","Singapore Golf Shop Suppliers of Golf Equipment, Golfing Supplies, Golf Sports Goods"
Bodynits International Pte Ltd,,,enquiries@bodynits.com,,(+65) 6545-5885,(+65) 6545-5361,"12, Changi Sth Lane  Singapore 486353",Online,Active Lifestyle,Men & Women activewear,"Sportswear, Garments, Textiles, Clothing,  Fashion Wholesalers, Fashion Garments  Manufacturers","Singapore Sportswear Company, Garments, Textiles, Clothing, Fashion Wholesalers, Fashion Garments. Specialises in the production of active lifestyle apparel for stretch knitted and technical fabrics; manufactures from 3 different locations and ships products worldwide; clients include Adidas, Champion, Fila, Nike and Puma"
Cannasia Pte Ltd,,,,,(+65) 6441-4772,(+65) 6441-4772,101 Frankel Avenue  Singapore 458224,Offline,Active Lifestyle,Men & Women activewear,"Bicycles, Bicycle Parts, Bike Accessories","Singapore Bicycle distributor of road bikes, triathlon bikes, mountain bikes, bike components, bike apparel for men"
G S Gill (Pte) Ltd,,,,,(+65) 67335555,(+65) 67335575,"554 Havelock Road, #06-00 Ganges Centre  Singapore 169639",Offline,Active Lifestyle,Men & Women activewear,"Golf Equipment, Golfing Supplies, Golf  Sports Goods, Sports Equipment","Singapore Sports Goods Company Suppliers of Golf Equipment, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services"
H & P Marketing,,,,,(+65) 6323-3027,(+65) 6323-3027,"20 Maxwell Road, #12-02a Maxwell House  Singapore 069113",Offline,Active Lifestyle,Men & Women activewear,"Sports Equipment, Sport Supplies,  Sporting Goods","Singapore Sport Supplies Company Suppliers of Sports Equipment, Sporting Goods, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services"
Chung Hsing Sports Company,,,,,(+65) 6291-2891,(+65) 6293-3053,"1 Rochor Road, #02-524  Singapore 790001",Offline,Active Lifestyle,Men & Women activewear,"Sports Equipment, Sport Supplies,  Sporting Goods, Clothing, Clothes, Garments, Manufacturers,","Singapore Sports Clothing Company Suppliers of Silk Screen Printing, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services, Sports T Shirts, Sports Sweatshirts"
Splash & Fun,nan,,nan,nan,nan,nan,nan,Offline,Active Lifestyle,Men & Women activewear,nan,"Singapore Suppliers of Sports Equipment, Sport Supplies, Swimming Equipment, Swimming Supplies, Sportswear, Diving Equipment"
