A-Star Maths,,,,,(+65) 6464-8331,,"2, Pandan Valley #01-207 Acacia Ct Singapore 597626",Offline,Education,Tuition,"Education,  Tuition Centres, Tutoring Services","Singapore Education Centre, Singapore Tuition Centre, Singapore Tutoring Services, Singapore Tutors"
AMM Services,,,,,(+65) 6858-9600,,"587, Up Serangoon Rd Singapore 534564",Offline,Education,Tuition,"Language Schools, Language Teachers","Singapore Language Training Company, Singapore Language Schools, Singapore Language Teachers"
Anova Education Centre Pte Ltd,,,admin@anovaeducation.com.sg,,(+65) 6346-4400,(+65) 6346-4412,"150, Changi Road Guthrie Building Singapore 419973",Online,Education,Tuition,"Education & Training, Language Schools,  Language Teachers","Singapore English Language Training School providing English Preparation Course, Tuition Enrichment Course, customised programmes, English Conversational Course for working adults"
Antioch Edu-Works Centre,Victor Chew ,,victorchew2004@yahoo.com.sg,,(+65) 6781-1979,(+65) 6789-5833,"Victor Chew  Block 488B #B1-147, Tampines Street 45 Singapore 521488",Online,Education,Tuition,"Arts, Education & Training, Schools","Singapore Education Company Suppliers of courses at various centers all over the island. These centers include certain PCF Education Centers, Childcare Centers, Private Preschools and Childcare Development Centers"
Art Zone Pte Ltd,GL Kwok  No.,,,,(+65) 6333-8203,(+65) 6472-2410,GL Kwok  No. 81 Clemenceau Ave #02-25 UE Shopping Mall Singapore 239917,Offline,Education,Tuition,"Arts, Education","Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. We also conduct short-term flexi-time art & craft workshops such as paper, woodcraft, canvas, pottery and mural painting, clay work, collage, papier mache, origami, craft work using recycled/waste materials, team projects."
Asian School Of Education Pte Ltd,Andy Chai ,,info@ase.edu.sg,,(+65) 6338-3373,(+65) 6338-7877,Andy Chai  192 Waterloo Street #06-01 Skyline Building Singapore 187966,Online,Education,Tuition,"Education, Language Training","Asian School of Education, formerly known as Asian Language School, offers the following services: English for Foreign Learners, Phonics and Phonetics for Adults and Children, Grammar workshop, Writing workshop, Preparatory Course for Foreign Students who are seeking admission to Government schools"
Beam the Science,,,beamthescience@rocketmail.com,,(+65) 9665-3664,,"Hougang Ave 8, Blk 437, #B1-1521  Singapore 530437",Online,Education,Tuition,"Education, Tuition Centres, Tutoring  Services","Singapore Tuition Centres, Tutoring Services Company. Beam the Science is an educational centre specialized in Sciences and Mathematics, especially for secondary school students. Provides small group tuition classes (max 5) for intensive coaching following the requirements of MOE syllabus and O'level exams"
BMC Academy,,,biz@bmc.edu.sg,,(+65) 6782-6357,(+65) 6782-7366,"506, Tampines Central 1 #01-361  Singapore 520506",Online,Education,Tuition,"Training, Education, Schools","Singapore Commercial Training Institution. Provides business training, academic training, commercial training, computer training, technical training, professional training and child development courses to both individuals and Singapore Companies"
Cambridge School of Education,,,,,(+65) 6336-4556,,111 North Bridge Road  Singapore 179098,Offline,Education,Tuition,"English Language Teaching, Educational  Services, Tuition Centres, Tutoring Services","Singapore English Language Teaching, Educational Services, Tuition Centres, Tutoring Services. Singapore Language School offering 2-month business classes, international classes, conversational English classes, preparatory classes for Singapore government schools, IELTS, TOEFL, Chinese & part-time Arabic, English, French courses"
Campus Tutors,,,admin@campustutors.com.sg,,(+65) 9760-4771,(+65) 9760-4771,Blk111 Bishan St12  Singapore 570111,Online,Education,Tuition,"Education, Training, Tuition Centres,  Tutoring Services","Singapore Tuition Agency, Quality Tuition. Experienced Tutors. Professional Tuition Agency. Matches the tutor that is able to cater to your child’s learning pace. Other than 1-to-1 home tuition, our tuition agency also matches tuition teachers for group tuition assignments"
Canact Pte Ltd,,,huey@canact.asia,,(+65) 6269-9805,(+65) 6269-9805,32 Marsiling Lane  Singapore 739151,Online,Education,Tuition,"Education, Tuition Centres, Tutoring  Services","Singapore Tuition Centres, Tutoring Services offering Progressive Reading Programmes Literacy Series, Comprehension Skills, Creative Writing Skills, English Bridging for International Students, Social Studies, History, Current Affairs"
Caraven Tuition Agency,,,,,(+65) 6734-0765,(+65) 6733-5498,150 Orchard Rd #05-30 Orchard Plaza  Singapore 238841,Offline,Education,Tuition,"Education, Chinese Tuition Centres,  Tutoring Services","Singapore Tuition Agency, a reputed tuition school offering classes in Phonetics, reading and Chinese. Education, Family & Parenting Services, Tuition Centre, Tutorial Centres - Tutoring Centres"
Carol Edunational Pte Ltd,,,,,(+65) 6748-3863,,789A Geylang Rd  Singapore,Offline,Education,Tuition,"Education, Chinese Tuition Centres,  Tutoring Services","Singapore Chinese Tuition Centres, Tutoring Services. Adult Chinese Classes, Chinese course on practical commercial Mandarin, Chinese lessons on conversational Mandarin, Chinese classes on legal language, Mandarin lessons on mass media language, Tutorials on breathing & pronunciation, Courses on side comment, Chinese classes on speech writing"
Center For American Education,"Chris Hamilton Dean, Undergraduate Programs",,,,(+65) 6223-4566 (+65) 6320-2320,(+65) 6223-4533 (+65) 6223-4566,12 Prince Edward Road #01-03 Podium A Bestway  Building  Singapore 079212,Offline,Education,Tuition,"University, College, Educational  Organisations",Singapore Center provides preparatory courses for American tertiary entrance examinations and other continuing education training and enrichment courses.
CES Group Pte Ltd,Richard Kwok,,hqsvc@cesgroup.com.sg,,(+65) 6323-2742,(+65) 6323-5513,100A Eu Tong Sen Street #06-02/03 Yangtze Building  Singapore 059813,Online,Education,Tuition,"Business Courses, Accounting, Language,  Hotel Tourism, Vocational Training","Singapore educational provider specializing in educating both international and local students. providing tuition, vocational and higher education training. Business Courses, Accounting, Language, Hotel Tourism, Vocational Training"
Chuangxin School of Education,Ma Li,,chuangxin_edu@yahoo.com.sg,,(+65) 6887-3873,(+65) 6887-0111,271 Bukit Timah Road #02-09/10 Balmoral Plaza  Singapore 259708,Online,Education,Tuition,"Chinese Language School, Education, Schools, Tuition Centres,  Tutoring Services","Chinese Language School in Singapore. Our school characteristics is Chinese writing and oral teaching, as the school hired professional Chinese teachers from China"
E & P Training Centre Pte Ltd,Amanda Lian,,amanda_lian@enpgroup.com.sg,www.enpgroup.com.sg,(+65) 6737-2588,(+65) 6734-4988,402 Orchard Road #04-07/13 Delfi Orchard  Singapore 238876,Online,Education,Tuition,"Education, Schools, Learning Disability  Courses, Tuition Centres, Tutoring Services, Educational  Consultants","Singapore Education Centre, Schools, Learning Disability Courses, Tuition Centres, Tutoring Services, Educational Consultants"
