name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
A Lee International Pte Ltd;Singapore manufacturer of T-Shirts, Fashion Jewelry, Silver Jewelry & Amber Jewelry, Semi-precious Stones Jewelry. The company makes personalized t-shirts with own factory support.;http://singapore-companies-directory.com/Company_Profiles/A6/a_lee_international.htm;;;;;;;;;Mens Fasion;Clothes
Aceplas Pte Ltd;Singapore Trading Companies, Importers, Exporters. Manufacturer providing direct sales with premium services for all your needs in Cleanroom and ESD safe Packaging products and Clean room Garments. We are also a distributor for Cleanroom materials, ESD Workstations, Laboratory Flooring, ESD Flooring and Equipment.;http://singapore-companies-directory.com/Company_Profiles/A27/aceplas.htm;;;;;;;;;Mens Fasion;Clothes
Actually Pte Ltd;Singapore Boutiques, Fashion Retailers, Fashion Wholesalers, Fashion Manufacturers. An independent Singapore retail store, currently operating 3 concept outlets.;http://singapore-companies-directory.com/Company_Profiles/A34/actually.htm;;;;;;;;;Mens Fasion;Clothes
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;;;;;;;;;Mens Fasion;Clothes
Adults Only Private Limited;Singapore Lingerie Company Suppliers of Sexy, Lingerie, Sexy Underwear, Adult Garments, Sleepwear, Playwear;http://singapore-companies-directory.com/Company_Profiles/A41/adults_only_private.htm;;;;;;;;;Mens Fasion;Clothes
Advance Apparel Pte Ltd;Singapore Apparel Manufacturer of Dresses, Clothes, Dress Manufacturers, Garment Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A42/advance_apparel.htm;;;;;;;;;Mens Fasion;Clothes
Advance Development Pte Ltd;Singapore Garments Manufacturer of Clothes, Garments, Garments Manufacturers, Garments Wholesalers, Garments Retailers;http://singapore-companies-directory.com/Company_Profiles/A42/advance_development.htm;;;;;;;;;Mens Fasion;Clothes
Advanced Textiles International Pte Ltd;Singapore Garments Company Manufacturers of Tee Shirts Wholesalers, T-Shirt Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A45/advanced_textiles.htm;;;;;;;;;Mens Fasion;Clothes
Agas Trading Pte Ltd;Singapore Garments Trading Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/A52/agas_trading.htm;;;;;;;;;Mens Fasion;Clothes
AGE Singapore Pte Ltd;Singapore Trading Company Suppliers of Canned food, olive oil, sugar, denim-woven-knitted garments, socks, home textile, Trading Company. Local offices in Turkey, Latvia and Brazil specialized in bulk commodities and olive oil, textile - denim garments, woven garments, knitted garments, socks, home textiles.;http://singapore-companies-directory.com/Company_Profiles/A52/age_singapore.htm;;;;;;;;;Mens Fasion;Clothes
