name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Absolutely Thai;Singapore Arts Training Company providing instruction in Thai classical music and Thai dance. Instructors available for non-Thai dance and music students;http://singapore-companies-directory.com/Company_Profiles/A20/absolutely_thai.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Alcyon Creations Pte Ltd;Singapore Art Galleries, Singapore Art Dealers in Oil Paintings, Design, Modern Art;http://singapore-companies-directory.com/Company_Profiles/A72/alcyon_creations.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Antz@work;Singapore Education Company provides training services for art education with niche in Cartooning, Animation and Fundamental and Creative drawing skills for students in primary, secondary, ITE and special schools and is assisted by a select group of qualified practicing artists and designers.;http://singapore-companies-directory.com/Company_Profiles/A112/antz_work.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art and Crafts;Singapore Art of Crafts Training Company offers decorative painting, miniature clay products, Decoupage and online shopping, hand painted decorative pieces for gifts and home decor.;http://singapore-companies-directory.com/Company_Profiles/A129/art_and_crafts.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art N I;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Bring your family and friends and get together to paint. Bond with one another and have fun. There is no better way than to spend time with your family and friends in this wholesome activity. Bring your family or friends and we will provide the rest.;http://singapore-companies-directory.com/Company_Profiles/A130/art.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Friend (BBC) Pte Ltd;Singapore Art Supplies Company suppliers of Artists Materials, Architectural Design Materials, Craft Hobby Materials, Fine Art Materials, Paints, Display Stands, Easels;http://singapore-companies-directory.com/Company_Profiles/A130/art_friend.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Genius Studio;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. Art Genius Studio wish to develop and groom young artists through the workshop and courses we have. All courses and workshops are conducted by expert Singapore artists;http://singapore-companies-directory.com/Company_Profiles/A130/art_genius_studio.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Glass Solutions;Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture.;http://singapore-companies-directory.com/Company_Profiles/A130/art_glass_solutions.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art In Space Pte Ltd;Singapore Art Consultants providing art consultancy services and solutions to a broad base of clients including the property development and hospitality industries, architects, interior design consultants and commercial and public space planners;http://singapore-companies-directory.com/Company_Profiles/A130/art_in_space.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Materials Supply;Singapore Artist Supplies Company Picture Frames Manufacturers, Picture Frames, Wholesalers, Picture Frames Distributors;http://singapore-companies-directory.com/Company_Profiles/A130/art_materials_supply.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Zone Pte Ltd;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. We also conduct short-term flexi-time art & craft workshops such as paper, woodcraft, canvas, pottery and mural painting, clay work, collage, papier mache, origami, craft work using recycled/waste materials, team projects.;http://singapore-companies-directory.com/Company_Profiles/A130/art_zone.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Art Glass Solutions;Singapore glass art and design business based. Large sculptural installations for public and commercial clients to unique items for private clients and exhibitions. Creates high quality artworks with a contemporary and empathic aesthetic which is derived from a deep understanding of glass as a material, visual art and design history as well as culture.;http://singapore-companies-directory.com/Company_Profiles/A130/art_glass_solutions.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Arty Art Gallery;Houses Myanmar Paintings, Myanmar Art, Burmese Paintings, Burmese Art, Fine Art. Hosts and organizes incessant art events and art exchange programmes to get maximum global exposure for the artists.;http://singapore-companies-directory.com/Company_Profiles/A133/arty_art_gallery.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Bali Connection;Bali Connection specialises in the design and production of stone artworks and the manufacture of custom-made furniture and accessories for both interior and land. Collaborating with Interior Design, Architects & Landscape companies in the region and beyond, Bali Connection produces a wide range of customised interior and hardscape products. Some of these include furniture, decorative and functional artworks and accessories for hotels, resorts, golf clubs, condominiums and residential sites.;http://singapore-companies-directory.com/Company_Profiles/B8/bali_connection.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Benaka Art Conservation;"Singapore Art Conservationists, Picture Frames, Art Storage Boxes. Singapore-based specialist in conservation & restoration of works of art on paper, & paintings; offers preventive conservation, survey & documentation of art collections, training programmes, acid-free frames & storage boxes";http://singapore-companies-directory.com/Company_Profiles/B30/benaka_art_conservation.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Blue Lotus Fine Art;"Singapore Art gallery promoting local & South East Asian artists; sells & exhibits ceramics, paintings, prints, photographs, sculpture, & specialised handicrafts; conducts art appreciation classes. Offers art framing services";http://singapore-companies-directory.com/Company_Profiles/B54/blue_lotus_fine.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Bodhi Art Pte Ltd;Singapore Art Gallery, Art Dealers, Antiques Dealers. Singapore Promoters of contemporary fine arts with galleries in Singapore and India;http://singapore-companies-directory.com/Company_Profiles/B58/bodhi_art.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Ceramic House;Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level;http://singapore-companies-directory.com/Company_Profiles/C28/ceramic_house.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Christie's International Singapore;Singapore Auctioneers, Singapore Art Auction Services, Singapore Asset Appraisers, Singapore Valuers;http://singapore-companies-directory.com/Company_Profiles/C66/christies_international_singapore.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Alkem Company (Singapore) Pte. Ltd;Singapore Publishing Company, Book Dealers, Book Shops, Book Stores, Book Retailers, Publishers. A leading publisher of educational books, training kits, e-learning and educational materials and digital contents distributor.;http://singapore-companies-directory.com/Company_Profiles/A76/alkem_company.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
All-star Publishing (Singapore);Singapore publishing firm which produces Mathematics and Science Assessment books. Our aim is to produce quality educational resources mainly for schools as well as the general public to enhance the learning experience of school students.;http://singapore-companies-directory.com/Company_Profiles/A77/all_star_publishing.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Alliance Advanced Sales Distributor;Singapore Suppliers of Bookbinders Equipment, Bookbinding Supplies, Bookbinding Equipment Bookbinding Supplies;http://singapore-companies-directory.com/Company_Profiles/A78/alliance_advanced_sales.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Anata Solutions Pte Ltd;Singapore Book Publishers, Publishing Consultants;http://singapore-companies-directory.com/Company_Profiles/A100/anata_solutions.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Andalus Corporation Company;Singapore Book Publishers, Singapore Publishing Consultants;http://singapore-companies-directory.com/Company_Profiles/A101/andalus_corpn.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Angel Book Centre;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers. Unpretentious Rental Book Store;http://singapore-companies-directory.com/Company_Profiles/A106/angel_book_centre.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
APAC Publishers Services Pte Ltd;Singapore Book Publishers, Publishing Consultants. Wholesale distributor for major academic and professional publishers from USA, UK, Germany, Switzerland, Australia and South Africa.;http://singapore-companies-directory.com/Company_Profiles/A113/apac_publishers_services.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Asia Book Company;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers;http://singapore-companies-directory.com/Company_Profiles/A200/asia_book_company.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Asia City Publishing Pte Ltd;Singapore Book Publishers, Publishing Consultants. Publishers of Newspapers, Books and Periodicals;http://singapore-companies-directory.com/Company_Profiles/A201/asia_city_publishing.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Asiawide Print Holdings Pte Ltd;Singapore Printers, Printing Services, Graphic Designers, Translators, Advertising and Creative Graphics Design, Corporate Logo Creation and Identity Branding, Copyrighting, Translation, Editorial Services, Books Publishing, Booklets;http://singapore-companies-directory.com/Company_Profiles/A148/asiawide_print_holdings.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Attributes Pte Ltd;Singapore Book Dealers, Book Shops, Book Stores, Book Retailers;http://singapore-companies-directory.com/Company_Profiles/A160/attributes.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Bible Society of Singapore;"Singapore Supplier of Bibles & scriptures in many languages to churches & Christian bookshops; distributes the Bible at subsidised rates for evangelistic purposes & to the poor in Singapore; part of United Bible Societies";http://singapore-companies-directory.com/Company_Profiles/B42/bible_society.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Blangah Books & Stationery Centre;Singapore Book Shop Suppliers of Books, Magazines, Stationery Supplies, Office Supplies;http://singapore-companies-directory.com/Company_Profiles/B51/blangah_books_stationery.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Bookaburra Books Pte Ltd;"Singapore Book Shop, Book Dealers, Children's bookseller having retail outlet at Forum The Shopping Mall; has a wide selection of children's books, particularly a fine range from Australian publishers and organises regular book fairs in the local schools and international schools in Singapore";http://singapore-companies-directory.com/Company_Profiles/B61/bookaburra_books.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
Books & More Pte Ltd;Singapore Book Distribution Company. Distributors of adult and high quality children's library books in Singapore. Also distributes a wide range of products, including books, audio, video, multimedia CD-ROM's and related services to retail stores and libraries.;http://singapore-companies-directory.com/Company_Profiles/B61/books_more.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
BooksActually;Singapore bookstore and Book Publishers specialising in literature. Publishes and distributes books. Also hand-stitches notebooks & produces stationery products;http://singapore-companies-directory.com/Company_Profiles/B61/booksactually.htm;;;;;;;;;Other Lifestyle (All categories);Art Galleries, Bookshops
