name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Achieve Print N Pack Pte Ltd;Singapore Printing Company, Printers, Packaging Printing Services, Printing of Paper Bags, Plastic Carrier Bags, Labels, Cartons, Plastic Boxes, Cardboard Boxes;http://singapore-companies-directory.com/Company_Profiles/A29/achieve_print_pack.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Advance Approach (S) Pte Ltd;Singapore Luggage Manufacturer of Luggage, Suitcases, Travel Bags;http://singapore-companies-directory.com/Company_Profiles/A42/advance_approach.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Aik Seng Leather Goods;Singapore Leather Company Suppliers of Leather Goods, Leather Products, Leather Bags, Leather Accessories;http://singapore-companies-directory.com/Company_Profiles/A60/aik_seng_leather.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Aiwah Bag Manufacturer;Singapore Bags Company Suppliers of Carrier Bags, Conference Bags, Pouches, Children Bags, Specialty Bags, Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A65/aiwah_bag_manufacturer.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Aldiab Trading Co;Singapore Handbags Trading Company, Handbag Repairs, Leather Handbag Exporters;http://singapore-companies-directory.com/Company_Profiles/A72/aldiab_trading.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
All Bags Store;Singapore Leather Bags Shop Suppliers of Leather Goods, Leather Products, Leather Accessories, Leather Bags;http://singapore-companies-directory.com/Company_Profiles/A76/all_bags_store.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Alley Handbag Industries;Singapore Handbag Manufacturers, Handbag Wholesalers, Distributors, Handbags Wholesalers, Distributors, Fashion Accessories;http://singapore-companies-directory.com/Company_Profiles/A78/alley_handbag_industries.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Anvisage Gifts;Singapore Corporate Gifts Suppliers of Leather Products, Leather Bags, Leather Pouches, Leather Computer Accessories;http://singapore-companies-directory.com/Company_Profiles/A112/anvisage_gifts.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Art Paper Bag Company;Singapore Packaging Company suppliers of Paper Bags, Packaging, Gift Boxes, Custom-made Paper Bags, Name Cards, Paper Gift Boxes, Plain Paper Bags;http://singapore-companies-directory.com/Company_Profiles/A130/art_paper_bag.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Auling Ventures Singapore Plc;We are a China, Singapore joint venture involved in the development and marketing of tea and coffee filter paper. Suppliers of Heat Seal Tea bags, Filter Papers;http://singapore-companies-directory.com/Company_Profiles/A162/auling_ventures_singapore.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Bags Trading;Singapore Trading Company Suppliers of Leather Bags, Leather Handbags, Leather Luggage, Leather Goods, Leather Products, Leather Accessories;http://singapore-companies-directory.com/http://singapore-companies-directory.com/SCD%20New/Company_Profiles/B6/bags_trading.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Ban Teck Hin Pte Ltd;Singapore Bags Company Suppliers of Bags, Handbags, Luggage, Burlap Bags, Canvas Bags, Cotton Bags;http://singapore-companies-directory.com/Company_Profiles/B13/ban_teck_hin.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Bee Lian Plastic Industries Pte Ltd;Singapore Plastic Packaging Manufacturers of Plastic Products, Plastic Carrier Bags, Vest Type Carriers, Shoppers Bags, T-Shirts Bags, Punched Hole Carriers, Merchandise Bags, Cascade Bags, - Layflat tubings, Centrefold Sheets;http://singapore-companies-directory.com/Company_Profiles/B26/bee_lian_plastic.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
BHG (Singapore) Pte Ltd;"Singapore Department Store Chain with four stores in Bugis, Choa Chu Kang, Bishan & Tampines. Owned by the Beijing Hualian Group; product categories include apparel, beauty, shoes & bags, fashion accessories, health & sports goods";http://singapore-companies-directory.com/Company_Profiles/B42/bhg_singapore.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
C & K Marketing Pte Ltd;Singapore providers of corporate gifts and souvenirs, Advertising & Promotion Products, Arts & Crafts, Bags, Pouches, Books, Organisers, Business Gifts, Calendars, Car Accessories, Clocks & Watches, Computer & IT Products, Drinkware, Electronic Devices, Festive Gifts Food baskets, Games, Toys, Playing Cards, Inflatables, Golf Products, Healthy Life Products, Housewares, Tools, Jewellery, Keychains, Purses, Photo frames, Recognition Awards, Trophies, Sporting Goods, ravel Accessories, Umbrellas, Wedding Gifts, Writing Instruments;http://singapore-companies-directory.com/Company_Profiles/C1/c_k_marketing.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Caline Leather Products Pte Ltd;Singapore Leather Company Specialists in customizing, designing and manufacturing PU and Leather, mainly cow hide, products. Suppliers of Leather Gifts, Leather Bags, Leather Souvenirs, Leather Coin Pouches, Leather Key Holders, Leather Folders, Leather Overnighters;http://singapore-companies-directory.com/Company_Profiles/C9/caline_leather.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Celeste Fashion International Pte Ltd;Singapore Fashion Products Company Suppliers of Fashion Fabrics, Fashion Accessories, Leather, Fur, Fashion Dresses, Fashion Blouses Fashion Skirts, Fashion Bags;http://singapore-companies-directory.com/Company_Profiles/C24/celeste_fashion_international.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Champion Shoe Company;Singapore Suppliers of Bags, Clothing, Belts, Fashion Accessories, Handbags, Shoes, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/C30/champion_shoe.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Chan Yew Leather Bags Manufacturers;Singapore Suppliers of Reptile Skin Products, Wholesalers, Manufacturers, Distributors, Crocodile Skin Products, Fashion Services, Leather Goods, Leather Goods Repair, Reptile Skin Products, Snakeskin Products;http://singapore-companies-directory.com/Company_Profiles/C32/chan_yew_leather_bags.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Charles & Keith (Singapore) Pte Ltd;"Singapore Chain of concept stores that retail shoes and bags; has stores in Singapore, Australia, Japan, Indonesia, India, Thailand, UAE, Brunei Darassalum, Mauritius, Myanmar, Taiwan, Turkey, New Zealand, Greece, Egypt, and Saudi Arabia. Retailers of Footwear, Shoes, Bags, Fashion Accessories";http://singapore-companies-directory.com/Company_Profiles/C36/charles_keith.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
Cheong Meng Plastic Manufacturers Pte Ltd;Singapore Plastics Company Suppliers of Plastic Bags, Plastics Fabrics, Plastic Films, Plastic Packaging;http://singapore-companies-directory.com/Company_Profiles/C45/cheong_meng_plastic.htm;;;;;;;;;Other Lifestyle (All categories);Bags and Travel Accessories
