name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Adremat Pte Ltd;Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils;http://singapore-companies-directory.com/Company_Profiles/A41/adremat.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Aky Marketing;Singapore Printing Company, Printers, Ceramics Printing, Glass, Printing, Metal Printing, Plastic Printing. Printers of Ceramics, Glass, Metal, Plastic;http://singapore-companies-directory.com/Company_Profiles/A68/aky_marketing.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Ansari & Associates;Singapore international export company specialized in Home and Hotel furniture, Furnishings. Suppliers of: Hotel Furniture, Home Furniture, Wooden Doors, frames, LCD TV, DVD Players, Porcelain, Ceramics (table wares), PVC windows and doors, Laundry Systems and Mini Bars;http://singapore-companies-directory.com/Company_Profiles/A110/ansari_associates.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Appropriate Holdings Pte Ltd;Singapore Management Consultants, Green Environment Technology, Ceramics Engineering. We are a privately held Management Consultancy and Investment Holding company specialising in very niche Research and Development in the area of Ceramics Technology as well as Green Environment Technology.;http://singapore-companies-directory.com/Company_Profiles/A118/appropriate_holdings.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Asia Ancient;Singapore Antiques Company Suppliers of Antiques, Stone Statues, Ceramics, Antiques, Sandstone Statues, Antique Ceramics;http://singapore-companies-directory.com/Company_Profiles/A200/asia_ancient.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Asia Dynasty Pte Ltd;Singapore Ceramic Tile Company Suppliers of Ceramic Tiles, Crystal Glass, Marble Tiles. A Singapore Company. We are a trustworthy, prominent supplier and manufacturer of a wide and varied range of good quality decorative tiles in Crystal Glass, Ceramic and marble. In the last two years we have also developed our own marble products.;http://singapore-companies-directory.com/Company_Profiles/A201/asia_dynasty.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Builders Shop;Singapore Building Materials Company Suppliers of Flooring, Building Supplies, Granite Tiles, Marble Tiles, Porcelain Tiles, Ceramic Tiles. Building Supplies Importers, Building Supplies Retailers, Building Supplies Distributors, Building Supplies Suppliers;http://singapore-companies-directory.com/Company_Profiles/B76/builders_shop.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Ceramic House;Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level;http://singapore-companies-directory.com/Company_Profiles/C28/ceramic_house.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
Ceramics Gallery Pte Ltd;Singapore Tiles Distributor, Tiles Wholesalers, Suppliers of Ceramic Tiles, Wall Tiles, Quartz Tiles, Building Materials, Construction Materials;http://singapore-companies-directory.com/Company_Profiles/C28/ceramics_gallery.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
China Union Co Pte Ltd;Singapore Retailers, Wholesalers of crockery, kitchenware, porcelain ware;http://singapore-companies-directory.com/Company_Profiles/C55/china_union.htm;;;;;;;;;Other Lifestyle (All categories);Potteries
