name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Alton Flowers N Gifts;Singapore Florists, Singapore Flower Suppliers, Singapore Plant Retailers;http://singapore-companies-directory.com/Company_Profiles/A87/alton_flowers.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Angelflorist Services;Singapore Florists' Supplies Company. Offer only the finest floral arrangements and gifts, supported by a dynamic and qualified team of professional Flower Designers and a dedicated group of Customer Service Officers.;http://singapore-companies-directory.com/Company_Profiles/A106/angelflorist_services.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Apple Green Florist;Singapore Florists, Flower Suppliers, Plant Retailers. Suppliers of Floral Arrangements, Hand Bouquets, Corporate Gifts, Baby Gifts;http://singapore-companies-directory.com/Company_Profiles/A116/apple_green_florist.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Asia Flora (S) Pte Ltd;Singapore Florists.You simply won't find a better place to order flowers online for any occasion: birthday roses, get well, gift basket, Love & Romance;http://singapore-companies-directory.com/Company_Profiles/A137/asia_flora.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
B & N Orchid Nursery;Singapore Orchids Farms, Flower Suppliers, Plant Retailers, Exotic Orchid Species;http://singapore-companies-directory.com/Company_Profiles/B1/b&n_orchid_nursery.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Ban Nee Chen Pte Ltd;Singapore Landscape Designers, Landscaping Contractors, Garden Landscapers, Suppliers of Air Purifiers, Aquarium, BBQ's, Camping Equipment, Chemicals, Christmas Trees, Christmas Lighting, Festive Lighting, Doctor Fish Spa Systems, Floral Gifts, Bouquets, Wreaths, Fresh Flowers, Garden Furniture, Gardening Tools, Home Care, Humidifiers & Dehumidifiers, Indoor & Outdoor Wood Treatment, Mesh, Mosquito Control, Plant Stands, Playgrounds, Pots & Planter Boxes, Rubber Tiles, Tools (Hardware), Slab & Pebbles, Soil & Compost, Solar Lighting, Water Features, Plants;http://singapore-companies-directory.com/Company_Profiles/B12/ban_nee_chen.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Bedok Garden Landscape Construction Pte Ltd;Singapore Landscaping Company, Landscape Gardeners, Building Contractors, Construction Contractors Suppliers of Nursery Plant Stock, Flowers, Plants;http://singapore-companies-directory.com/Company_Profiles/B25/bedok_garden_landscape.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Benelux Flowers & Food Pte Ltd;"Singapore Importer and exporter of fresh food and fresh flowers with HACCP-SAC2 certification in storing, distribution and packing of fresh fruits and vegetables. Supplies to wholesalers, supermarkets, hotels and catering services. Also exporting to ASEAN countries; Malaysia, Brunei, Indonesia, Myanmar and Thailand.";http://singapore-companies-directory.com/Company_Profiles/B31/benelux_flowers_food.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Boenga Flowers & Designs;Singapore Florists, Flower Suppliers, Plant Retailers. Does Flower arrangements for weddings, exhibitions;http://singapore-companies-directory.com/Company_Profiles/B58/boenga_flowers_designs.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
Bollywood Veggies Pte Ltd;Singapore Health Food Company, Organic Farm Suppliers of Organic Health Food, Florists, Fruit, Flower Suppliers, Plants, Agricultural Products. Produces vegetables & fruits without chemical fertilisers, pesticides, & growth hormones. Offers tours & horticultural courses. Sells 20 types of bananas, medicinal plants. We grow uncommon fruit trees such as crystal fruit, breadfruit and butterfruit, and medicinal trees such as Horse Radish tree, West Indian Pea Tree, basil and gingers;http://singapore-companies-directory.com/Company_Profiles/B59/bollywood_veggies.htm;;;;;;;;;Other Lifestyle (All categories);Floral Shops
