name,profile,url,categories,description,tel,fax,contact,email,website,address,data_source,designation,poc,online
B D E Enterprise,"Singapore Wholesalers of Furniture, Furnishings & Household Appliances Furniture, Furniture Trading Company",http://singapore-companies-directory.com/Company_Profiles/B2/b_d_e_enterprise.htm,"Furniture, Furnishings, Household  Appliances, Wholesalers, Furniture Trading Company",,(+65) 6337-5096,(+65) 6338-0816,,,,10 Anson Rd #03-09 International Plaza  Singapore 079903,singapore-companies-directory.com,,,Offline
Ban Seng Heng Handicrafts Trading,"Singapore Trading Company, Wholesalers of Furniture, Handicrafts, Interior Decorations, Furnishings & Electrical Appliances",http://singapore-companies-directory.com/Company_Profiles/B13/ban_seng_heng_handicrafts.htm,"Handicrafts, Furniture, Furnishings, Electrical  Appliances",,(+65) 67424489,,,,,621 Aljunied Road #02-10 Lipo Building  Singapore 389834,singapore-companies-directory.com,,,Offline
Banos 100,"Singapore Wholesalers of Furniture, Furnishings & Domestic Appliances, This luxury lifestyle emporium offer great choice of lifestyle products inspired by renowned interior architect, Stefanie Hauger.",http://singapore-companies-directory.com/Company_Profiles/B14/banos.htm,"Furniture, Furnishings, Wholesalers",,(+65) 6747-5828,,,,,517C Jurong West Street 52 #05-569  Singapore 643517,singapore-companies-directory.com,,,Offline
Barang Barang Interiors Pte Ltd,"Singapore Interior Decorators, Interior Decoration Contractors, Interior Designers. Outdoors, interior design services for residential, commercial and retail premises. Garden and landscaping design services, Design and manufacturing of furniture and furnishings, Contract manufacturing of wood products, Distributor of furnishing accessories and lifestyle products, Distributor of laminate floor boards",http://singapore-companies-directory.com/Company_Profiles/B15/barang_barang_interiors.htm,"Interior Decorators, Interior Decoration  Contractors, Interior Decorators",,(+65) 6338-2353 (+65) 9191-8800,(+65) 6338-2627,,customersvc@furn2.com,,6 Raffles Boulevard #03-321/329 Marina Square  Singapore 039594,singapore-companies-directory.com,,,Online
Basic Necessities International,"Singapore Furniture Store, Wholesaler of Furniture, Furnishings & Appliances. Dynasty Furniture Centre retails a wide variety of home furniture such as Mattresses, Cabinets Furnishings, Beds, Sofas, Cabinets",http://singapore-companies-directory.com/Company_Profiles/B17/basic_necessities_international.htm,"Furniture, Furnishings, Beds, Mattresses,  Sofas, Cabinets",,(+65) 6251-9339,(+65) 6256-1277,,,,"13, Toa Payoh Lorong 8 #07-02  Singapore 319261",singapore-companies-directory.com,,,Offline
Bean Bag Mart,"Singapore Beanbag Company Manufacturing & Selling Beanbag Furniture, Beanbag Furnishings, Beanbag Resters, Beads for Beanbags, casual interior furniture for modern homes, top-up beads",http://singapore-companies-directory.com/Company_Profiles/B21/beam_bag_mart.htm,"Furniture, Beanbag Resters, Beads",,(+65) 6337-4238,(+65) 66+65-1660,,beanbagmart@pacific.net.sg,,9 Penang Road #B1-17 Park Mall  Singapore 238459,singapore-companies-directory.com,,,Online
Bedding Saloon,"Singapore Bedding Company Suppliers of Mattresses, Bedding, Beds, Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers",http://singapore-companies-directory.com/Company_Profiles/B24/bedding_saloon.htm,"Mattresses, Bedding, Beds, Furniture",,(+65) +6567-2980,(+65) +6567-6422,,,,2 Jurong East St 21 #02-08  Singapore,singapore-companies-directory.com,,,Offline
Belno Design & Contracts,"Singapore Interior Design Consultants Suppliers of Furniture, Home Furnishings",http://singapore-companies-directory.com/Company_Profiles/B30/beno_design_contracts.htm,"Furniture, Home Furnishings, Interior  Designers, Interior Design Consultants",,(+65) 6752-2862,(+65) 6752-8969,,,,30 Woodlands Loop  Singapore,singapore-companies-directory.com,,,Offline
Benel Singapore Pte Ltd,Singapore Office Furniture Manufacturers. One of the leading manufacturers of office chairs in the region. Has plants in Singapore & Malaysia and a distribution network that covers the Asia-Pacific region as well as Europe,http://singapore-companies-directory.com/Company_Profiles/B31/benel_singapore.htm,Office Furniture Manufacturers,,(+65) 6873-1118,,,,,59 Loyang Way  Singapore 508750,singapore-companies-directory.com,,,Offline
Berten Trading (S) Pte Ltd,"Singapore Furniture Trading Company Suppliers of Recycled Plastic Lumber, Fibreglass, Laminate, Tables, Chairs, Playground Equipment. Specialising in public furniture; products include outdoor tables, benches and bins made from recycled plastic lumber, fibreglass or laminate tables and chairs, playground equipment, Umbrellas, Sunloungers",http://singapore-companies-directory.com/Company_Profiles/B35/berten_trading.htm,"Furniture Recycled Plastic Lumber,  Fibreglass, Laminate, Tables, Chairs, Playground Equipment",,(+65) 6743-6722,,,info@bertenliving.com,,9010 Tampines Street 93  Singapore 528844,singapore-companies-directory.com,,,Online
Best (Spring Mattress) Manufacturers Pte Ltd,"Singapore Mattress Manufacturer Suppliers of Beds, Bedding, Bedroom Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers",http://singapore-companies-directory.com/Company_Profiles/B36/best_spring_mattress.htm,"Mattresses, Beds, Bedding, Bedroom  Furniture",,(+65) 6748-9963,(+65) 6748-9392,,,,12 Lor Bakar Batu #03-04/06  Singapore,singapore-companies-directory.com,,,Offline
Bines Buana Pte Ltd,"Singapore Rattan Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings, Rattan Furniture, Reed Furniture, Willow Furniture",http://singapore-companies-directory.com/Company_Profiles/B45/bines_buana.htm,"Rattan Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6455-9483,,,,,8 Angklong Lane #05-03  Singapore,singapore-companies-directory.com,,,Offline
Blinds Gallery (S) Pte Ltd,"Singapore Furnishings Company Suppliers of Curtains, Drapes, Furnishings, Blinds, Awnings. Showroom in New World Centre, displaying Window Blinds, Roman Blinds, Venetian Blinds, Wooden Blinds, Roller Blinds, Vertical Blinds & outdoor products such as Umbrellas, Chairs, Awnings, Canopies.",http://singapore-companies-directory.com/Company_Profiles/B52/blinds_gallery.htm,"Curtains, Drapes, Furnishings, Blinds,  Awnings",,(+65) 6297-0506,,,,,"1, Jln Berseh #01-04  Singapore 209037",singapore-companies-directory.com,,,Offline
Boh Song Furniture Contractor,"Singapore Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers",http://singapore-companies-directory.com/Company_Profiles/B59/boh_song_furnture_contractor.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6281-8975,,,,,60 Defu Lane 1  Singapore,singapore-companies-directory.com,,,Offline
