name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Aik Hin Hardware Company;Singapore Hardware Company Suppliers of Hardware, Keys & Locks, Fasteners;http://singapore-companies-directory.com/Company_Profiles/A58/aik_hin_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Aik Lee Industries Supply Pte Ltd;Singapore Industrial Supplies Company Suppliers of Hardware, Keys & Locks, Fasteners. Leading exporters, distributors and suppliers with distributing rights to numerous premium products and brands that include VIRO Refuse Chute, ALDEK FRP Grating. RAMSET Products (Ramset Mechanical and Chemical Anchors, Ramset Rotary Hammers, Ramset TrakMaster Automatic Fastening Systems, HELLER drill Bits, Talbor Hand Tools, BOSCH Power Tools, LPS Chemicals, Chemical Aerosols, SAKURA Solid Pait & Paint Markers;http://singapore-companies-directory.com/Company_Profiles/A58/aik_lee_industries.htm;;;;;;;;;Furniture;DIY Hardware
Aik Soon Hardware Pte Ltd;Singapore Hardware Suppliers of Hardware, Keys & Locks, Fasteners. Our products complies with BS, ANSI, JIS, DIN & API standards. We are EPPU registered supplier to the Singapore Government.;http://singapore-companies-directory.com/Company_Profiles/A60/aik_soon_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Ajax Sinmal Co;Singapore Hardware Supplies Company Suppliers of Bolts & Nuts, Fasteners, Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A65/ajax_sinmal.htm;;;;;;;;;Furniture;DIY Hardware
Alicon Engineering And Supply;Singapore Marine Hardware Company Suppliers of Locks, Hardware, Digital Door Locks, Ship's Door Locks & Ship's Hardware, Door Handles;http://singapore-companies-directory.com/Company_Profiles/A75/alicon_engineering.htm;;;;;;;;;Furniture;DIY Hardware
All-Wares Supply;Singapore Hardware Company Suppliers of Keys & Locks, Fasteners Hardware Wholesalers, Hardware Distributors;http://singapore-companies-directory.com/Company_Profiles/A77/all_wares_supply.htm;;;;;;;;;Furniture;DIY Hardware
Ang Hoe Seng Hardware;Singapore Hardware Supplies Company Suppliers of Hardware, Fasteners, Nuts, Bolts;http://singapore-companies-directory.com/Company_Profiles/A103/ang_hoe_seng.htm;;;;;;;;;Furniture;DIY Hardware
Aoba Security Technology Pte Ltd;Singapore Lock Systems, Security Systems. AOBA is the sole manufacturer of a revolutionary lock system which allows for reprogramming of any security locks. Product range consists of cam locks, padlocks, office furniture locks, rim locks, cylinders for different types of mortise locks, and other high security products.;http://singapore-companies-directory.com/Company_Profiles/A112/aoba_security.htm;;;;;;;;;Furniture;DIY Hardware
Aureus Pte Ltd;Singapore Trading Company Suppliers of Clothes, Computers, Bitumen, Electronics, Hardware;http://singapore-companies-directory.com/Company_Profiles/A162/aureus.htm;;;;;;;;;Furniture;DIY Hardware
AWS Bloss Marketing;Singapore Hardware Company Suppliers of Furniture Hardware, Wardrobe Accessories, Cabinet Handles, Castor Wheels, Furniture Legs;http://singapore-companies-directory.com/Company_Profiles/A174/aws_bloss_marketing.htm;;;;;;;;;Furniture;DIY Hardware
Ban Gee Choon;Singapore Building Supplies Company Suppliers of Hardware, Keys, Locks, Fasteners, Security Equipment, Security Systems;http://singapore-companies-directory.com/Company_Profiles/B10/ban_gee_choon.htm;;;;;;;;;Furniture;DIY Hardware
Ban Lee Paints & Hardware Supplier;Singapore Company Suppliers of Paints, Coatings, Hardware, Paint Wholesalers, Manufacturers, Paint Distributors, Paint Suppliers, Hardware, Keys & Locks, Fasteners;http://singapore-companies-directory.com/Company_Profiles/B12/ban_lee_paints_hardware_supplier.htm;;;;;;;;;Furniture;DIY Hardware
Black & Decker Asia Pacific Pte Ltd;Singapore Pneumatic Tools, Power Tools Manufacturer of power, pneumatic tools, household electrical equipment & electronic products, hardware ironmongery & faucets;http://singapore-companies-directory.com/Company_Profiles/B50/black_decker_asia.htm;;;;;;;;;Furniture;DIY Hardware
Bossard Pte Ltd;Singapore Industrial Fasteners Company Suppliers of Hexalobular socket screws, Bolts, Plugs, Washers, Wood screws, Fasteners made of plastic, Hex cap screws and bolts, Slotted machine screws, Cross recessed machine screws, Dowel pins, Rivets, Split pins, Fasteners and locking elements in stainless steel, Adhesives, Nuts, Hex lock nuts, Threaded rods, Slotted set screws, Stud bolts, Self-tapping screws, Self-drilling screws, Thread forming screws, Fasteners made of Brass, Copper, Bronze, Aluminium, Operating elements, Spring loaded ball plungers;http://singapore-companies-directory.com/Company_Profiles/B64/bossard.htm;;;;;;;;;Furniture;DIY Hardware
Century Marine Supply Pte Ltd;Singapore Marine Equipment Company Suppliers of a large range of marine hardware: Steel wire rope, P.P & nylon rope, bottlescrews & turnbuckles, shackles, anchors, anchor chain & fitting, hand winches, cargo blocks, navigation lights, container fittings and lashing equipment, fibre rope or synthetic rope including cargo nets, helicopter nets, gangway net, climbing nets;http://singapore-companies-directory.com/Company_Profiles/C28/century_marine.htm;;;;;;;;;Furniture;DIY Hardware
Chee Cheong Trading Pte Ltd;Singapore Hardware Company Suppliers of Heavy Duty Industrial Castors, Medium Duty Industrial Castors, Light Industrial Castors, Castors for Installation to Tubes, Castors for Special Institutions Hospitals, research centres, steel office equipment and serving trolleys;http://singapore-companies-directory.com/Company_Profiles/C38/chee_cheong_trading.htm;;;;;;;;;Furniture;DIY Hardware
Chee Fatt Co Pte Ltd;Singapore Importers, exporters of engineering hardware & tools, Marine Equipment, Marine Supplies, Offshore Equipment, Logistics Services, Power Tools;http://singapore-companies-directory.com/Company_Profiles/C38/chee_fatt.htm;;;;;;;;;Furniture;DIY Hardware
Cheung Fat Engineers & Supplies;Singapore Hardware Company Suppliers of Marine Equipment, Marine Locks, Marine Services, Engineering Equipment, Engineering Supplies;http://singapore-companies-directory.com/Company_Profiles/C46/cheung_fat_engineers.htm;;;;;;;;;Furniture;DIY Hardware
Cheung Woh Metal Works (Pte) Ltd;Singapore Hardware Company Ironmongers, Suppliers of Hardware, Metalwork, Electroplating Equipment, Metal Shaping, Metal Stamping, Architectural Hardware, Ironmongers, Metalwork, Electroplating Equipment, Metal Shaping, Metalworking Services, Nickel Chrome Electroplating, Stainless Steel Passivation Services;http://singapore-companies-directory.com/Company_Profiles/C46/cheung_woh_metal.htm;;;;;;;;;Furniture;DIY Hardware
Cheung Woh Technologies Ltd;Singapore Ironmongers, Suppliers of Metalwork, Electroplating Equipment, Metal Shaping, Architectural Hardware, Ironmongers, Metalwork, Electroplating Equipment, Metal Shaping, Metalworking, Nickel Chrome Electroplating, Stainless Steel Passivation Services;http://singapore-companies-directory.com/Company_Profiles/C46/cheung_woh_technologies.htm;;;;;;;;;Furniture;DIY Hardware
