name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
A & P Maintenance Services Pte Ltd;Singapore Janitorial Services, Janitors Supplies, Cleaning Company, Housekeeping, Cleansing Company Profile: Cleaning company, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A2/a&p_maintenance_services.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Absolute Maintenance Services Pte Ltd;Singapore Janitorial Services, Housekeeping, Cleansing, Cleaning Services, Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A20/absolute_maintenance.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Acteff Cleaning Specialists Pte Ltd;Singapore Janitorial Services Company Suppliers of Janitors Supplies, Housekeeping, Cleaning Services, Janitor Services, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A32/acteff_cleaning_specialists.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Aik Chuan Construction (Pte) Ltd;Singapore Building Contractors, Concrete Repairs, Janitorial Services, Housekeeping, Cleansing, Desilting & Conservancy Service, Construction Contractors;http://singapore-companies-directory.com/Company_Profiles/A58/aik_chuan_construction.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Aj Jetting Pte Ltd;Singapore Janitorial Services, Cleaning Services, Housekeeping, Cleansing, Desilting & Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A65/aj_jetting.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Al Eng. & Construction Service;Singapore Building Contractors, Construction Contractors, Janitorial Services, Janitors Supplies, Housekeeping, Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/A68/al_design_renovation.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Aledo Investment Pte Ltd;Fertilizers Manufacturers, Agricultural Supplies, Agricultural Chemicals, Fertilizers Wholesalers, Fertilizers Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/aledo_investment.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Alto Danmark A/S;Singapore Cleaning Equipment Manufacturers, Wholesalers, Distributors, Janitorial Services, Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/A87/alto_donmark.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Anergy Building Services Pte Ltd;Singapore Janitorial Services, Janitors Supplies, Cleaning Contractors, Contract Cleaning, General House Cleaning, Painting, Carpets Cleaning, Housekeeping, Cleansing, Desilting & Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A102/anergy_building.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Ao Servicepro Pte Ltd;Singapore Landscape Gardeners, Landscaping, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A112/ao_servicepro.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
ARK Property Maintenance & Services;Singapore Property Services Company, Property Management, Property Maintenance;http://singapore-companies-directory.com/Company_Profiles/A127/ark_property_maintenance.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Asia Mole Indco Pte Ltd;Singapore Company Suppliers of Marine Chemicals, Marine Equipment, Marine Supplies, Chemicals, Packaging Machinery;http://singapore-companies-directory.com/Company_Profiles/A139/asia_mole_indco.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Asia Paint Singapore;Singapore Paint and Coatings Company Supplies a comprehensive range of coatings, such as Heavy Duty Coatings, Automotive Coatings, Marine Coatings, Architectural Coatings, Waterborne Coatings, Furniture Spray, Varnishes, Aerosol and Floor Coatings;http://singaporecompanieslist.blogspot.com/2013/02/asia-paint-singapore-heavy-duty.html;;;;;;;;;Furniture;Laundry & Cleaning Equipment
ATL Maintenance Pte Ltd;Singapore Janitorial Services, Janitors Supplies, Landscaping, Pest Control, Housekeeping, Cleansing, Desilting & Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A157/atl_maintenance.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Atoz Performance Pte Ltd;Singapore Cleaning Equipment Company Suppliers of Floor Cleaning Equipment, Janitorial Equipment, Janitors Supplies, Housekeeping, Cleaning Equipment;http://singapore-companies-directory.com/Company_Profiles/A159/atoz_performance.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Avon Cleaning Services Pte Ltd;Singapore Commercial Cleaning Services, Office Disinfection Through Misting (ULV Cold Fogging), Office Disinfection Through Steam Cleaning, Sanitization Of Cold Rooms, Warehouses, Food Premises Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/A171/avon_cleaning_services.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Biotech Creations Pte Ltd;Singapore Chemicals Company Suppliers of Industrial Cleaning Chemicals, Industrial Supplies, Industrial Services;http://singapore-companies-directory.com/Company_Profiles/B47/biotech_creations.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Bonvests Holdings Limited;Singapore Business group involved in Construction, Waste, Management, Cleaning, Restaurants, Food Services, Caterers, Catering property development and investment, F&B ownership & management, Burger King Franchise, hotel ownership and management (Sheraton Towers Singapore Hotel), contract cleaning of buildings;http://singapore-companies-directory.com/Company_Profiles/B61/bonvests_holdings.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
Boon Poh Refuse Disposal Pte Ltd;Singapore Janitorial Services, Landscaping, Pest Control, Housekeeping, Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/B63/boon_poh_refuse_disposal.htm;;;;;;;;;Furniture;Laundry & Cleaning Equipment
