name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
A & A Kitchen Equipment Pte Ltd;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/A1/a&a_kitchen_equipment.htm;;;;;;;;;Furniture;Kitchen & Dining
A T A Marketing Pte Ltd;Singapore Kitchen Equipment Wholesaler and Retailer of Refrigeration Equipment, Domestic Kitchen Refrigerators Refrigeration Supplies - Commercial Refrigerating Equipment -Commercial Refrigeration Parts, Industrial Refrigeration Equipment;http://singapore-companies-directory.com/Company_Profiles/A8/ata_marketing.htm;;;;;;;;;Furniture;Kitchen & Dining
Adremat Pte Ltd;Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils;http://singapore-companies-directory.com/Company_Profiles/A41/adremat.htm;;;;;;;;;Furniture;Kitchen & Dining
Advanced Kitchen Equipment Pte Ltd;Singapore Hotel Equipment, Hotel Supplies Company Suppliers of Commercial Kitchen Equipment, Commercial Kitchen Supplies;http://singapore-companies-directory.com/Company_Profiles/A44/advanced_kitchen.htm;;;;;;;;;Furniture;Kitchen & Dining
Alco Corporation Pte Ltd;Singapore Furniture Company Suppliers of Kitchen Furniture, Office Furniture, Trading Companies, Furniture Importers, Furniture Exporters;http://singapore-companies-directory.com/Company_Profiles/A72/alco_corporation.htm;;;;;;;;;Furniture;Kitchen & Dining
Ali Spa;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets, Kitchen Equipment & Supplies - Commercial Kitchen Equipment;http://singapore-companies-directory.com/Company_Profiles/A74/ali_spa.htm;;;;;;;;;Furniture;Kitchen & Dining
Allied Catering Equipment;Singapore Kitchen Equipment Company Suppliers of Refrigeration Equipment, Catering Equipment, Snack Equipment, Bakery Equipment, Pizza Equipment, Kitchen Equipment & Supplies - Commercial, Caterers Equipment & Supplies;http://singapore-companies-directory.com/Company_Profiles/A80/allied_catering_equipment.htm;;;;;;;;;Furniture;Kitchen & Dining
Allwell Enterprise Pte Ltd;Singapore Kitchenware Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/A82/allweell_enterprise.htm;;;;;;;;;Furniture;Kitchen & Dining
Annex Automation;Singapore Suppliers of Weight Scales, Weighing Balances, Weighing Scales, Weighing Balances, Scales Repair, Scales Calibration;http://singapore-companies-directory.com/Company_Profiles/A109/annex_automation.htm;;;;;;;;;Furniture;Kitchen & Dining
Annex Microsystems;Singapore Suppliers of Weighing Scales, Weighing Balances, Scales Repair, Scales Calibration, Bench Platform Weighing Counting Scales, Load cells, Weights Indicators;http://singapore-companies-directory.com/Company_Profiles/A110/annex_microsystems.htm;;;;;;;;;Furniture;Kitchen & Dining
Apexlink Pte Ltd;Singapore Kitchen Equipment Company Suppliers of Kitchen Supplies, Combi Ovens, Dishwashers, Food Cutters, Commercial Kitchen Equipment;http://singapore-companies-directory.com/Company_Profiles/A115/apexlink.htm;;;;;;;;;Furniture;Kitchen & Dining
APF Engineering (S) Pte Ltd;Singapore Kitchen Equipment Company Air Conditioning Contractors, Air Conditioner Services, Fire Prevention, Fire Protection Systems, Air Conditioning Contractors, Plumbing & Sanitary Works;http://singapore-companies-directory.com/Company_Profiles/A115/apf_engineering.htm;;;;;;;;;Furniture;Kitchen & Dining
Arox Singapore Pte Ltd;Singapore Marine Supplies Company suppliers of Household Appliances, Marine Supplies, Kitchen Equipment. The company began small, marketing kitchen, galley, and laundry equipment to ship owners, shipyards, and commercial kitchens.;http://singapore-companies-directory.com/Company_Profiles/A129/arox_singapore.htm;;;;;;;;;Furniture;Kitchen & Dining
Astrabon (Singapore) Pte Ltd;Singapore Hotel Supplies Company Suppliers of Hotel Supplies, Drinkware, Chafing Dishes, Kitchen Baking Equipment, Flatware.Tango (Australia) Unbreakable Drinkware, Spring (Switzerland) Chafing Dishes, Matfer (France) Kitchen Baking Equipment, Astrabon (Flatware);http://singapore-companies-directory.com/Company_Profiles/A154/astrabon_singapore.htm;;;;;;;;;Furniture;Kitchen & Dining
Bi&L Pte Ltd;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/B42/bi_l.htm;;;;;;;;;Furniture;Kitchen & Dining
Boon Tong Kee Food Processing Industry Pte Ltd;Singapore Suppliers of Food Processing Equipment, Food Packaging, Central Kitchen, Food Products;http://singapore-companies-directory.com/Company_Profiles/B63/boon_tong_kee_food.htm;;;;;;;;;Furniture;Kitchen & Dining
Chuan Guan Electrical Trading;Singapore Electrical Goods Trading Company Suppliers of Domestic Appliances, Small Electrical Appliances, Electrical Appliances, Domestic Appliances, Refrigerators, Vacuum Cleaners, Microwave Ovens, Televisions;http://singapore-companies-directory.com/Company_Profiles/C69/chuan_guan_electrical_trading.htm;;;;;;;;;Furniture;Kitchen & Dining
Chuan Heng Building Products Pte Ltd;Singapore Company Suppliers of Building Materials, Construction Materials, Bathroom Fittings, Accessories, Bathroom Doors, Bathroom Doors, Bathroom Fittings, Bathroom Accessories, Bathroom Sinks, Bathrooms, Baths, Commercial Kitchen Equipment, Dispensing Systems, Domestic Appliances, Domestic Refrigerators, Domestic Stoves;http://singapore-companies-directory.com/Company_Profiles/C69/chuan_heng_building_products.htm;;;;;;;;;Furniture;Kitchen & Dining
Fabristeel Private Limited;Singapore Company Suppliers of Fire Protection Equipment, Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets, Custom Fabrication, Burger Chutes, Drawer Warmers, Fries Stations, Heated Counter Warmers, Holding Cabinets, Preparation Tables, Beverage Stations, Breading Tables, Chest Freezers, Make Tables, Marinators, Pack Tables, Proofers, Retarders, Sandwich Stations, Meal Delivery Systems, Integrated Systems, Line Systems;http://singapore-companies-directory.com/Company_Profiles/F1/fabristeel.htm;;;;;;;;;Furniture;Kitchen & Dining
G.C.E Engineering Pte Ltd;Singapore Engineering Company Manufacturers of Stainless Steel Commercial Kitchen Equipment, Fiberglass Fabricators, Foodservice Equipment, Gratings, Handrails, Kitchen Extraction Canopies, Kitchen Sinks, Railings;http://singapore-companies-directory.com/Company_Profiles/G1/gce_engineering.htm;;;;;;;;;Furniture;Kitchen & Dining
A T A Marketing Pte Ltd;Singapore Kitchen Equipment Wholesaler and Retailer of Refrigeration Equipment, Domestic Kitchen Refrigerators Refrigeration Supplies - Commercial Refrigerating Equipment -Commercial Refrigeration Parts, Industrial Refrigeration Equipment;http://singapore-companies-directory.com/Company_Profiles/A8/ata_marketing.htm;;;;;;;;;Furniture;Kitchen & Dining
Adremat Pte Ltd;Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils;http://singapore-companies-directory.com/Company_Profiles/A41/adremat.htm;;;;;;;;;Furniture;Kitchen & Dining
Advanced Kitchen Equipment Pte Ltd;Singapore Hotel Equipment, Hotel Supplies Company Suppliers of Commercial Kitchen Equipment, Commercial Kitchen Supplies;http://singapore-companies-directory.com/Company_Profiles/A44/advanced_kitchen.htm;;;;;;;;;Furniture;Kitchen & Dining
Alco Corporation Pte Ltd;Singapore Furniture Company Suppliers of Kitchen Furniture, Office Furniture, Trading Companies, Furniture Importers, Furniture Exporters;http://singapore-companies-directory.com/Company_Profiles/A72/alco_corporation.htm;;;;;;;;;Furniture;Kitchen & Dining
Ali Spa;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets, Kitchen Equipment & Supplies - Commercial Kitchen Equipment;http://singapore-companies-directory.com/Company_Profiles/A74/ali_spa.htm;;;;;;;;;Furniture;Kitchen & Dining
Allied Catering Equipment;Singapore Kitchen Equipment Company Suppliers of Refrigeration Equipment, Catering Equipment, Snack Equipment, Bakery Equipment, Pizza Equipment, Kitchen Equipment & Supplies - Commercial, Caterers Equipment & Supplies;http://singapore-companies-directory.com/Company_Profiles/A80/allied_catering_equipment.htm;;;;;;;;;Furniture;Kitchen & Dining
Allwell Enterprise Pte Ltd;Singapore Kitchenware Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/A82/allweell_enterprise.htm;;;;;;;;;Furniture;Kitchen & Dining
Apexlink Pte Ltd;Singapore Kitchen Equipment Company Suppliers of Kitchen Supplies, Combi Ovens, Dishwashers, Food Cutters, Commercial Kitchen Equipment;http://singapore-companies-directory.com/Company_Profiles/A115/apexlink.htm;;;;;;;;;Furniture;Kitchen & Dining
Astrabon (Singapore) Pte Ltd;Singapore Hotel Supplies Company Suppliers of Hotel Supplies, Drinkware, Chafing Dishes, Kitchen Baking Equipment, Flatware.Tango (Australia) Unbreakable Drinkware, Spring (Switzerland) Chafing Dishes, Matfer (France) Kitchen Baking Equipment, Astrabon (Flatware);http://singapore-companies-directory.com/Company_Profiles/A154/astrabon_singapore.htm;;;;;;;;;Furniture;Kitchen & Dining
Chew Bros Plastic Manufactory (Pte) Ltd;Singapore Plastics Manufacturing Company Suppliers of Disposable Plastic Cups, Disposable Plastic Forks, Disposable Plastic Knives, Disposable Plastic Plates, Disposable Plastic Spoons, Plastic Handles;http://singapore-companies-directory.com/Company_Profiles/C47/chew_bros_plastic.htm;;;;;;;;;Furniture;Kitchen & Dining
China Union Co Pte Ltd;Singapore Retailers, Wholesalers of crockery, kitchenware, porcelain ware;http://singapore-companies-directory.com/Company_Profiles/C55/china_union.htm;;;;;;;;;Furniture;Kitchen & Dining
