name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
A-Power Engineering Pte Ltd;Singapore Engineering Company engaged in the design, installation, testing, and commissioning of electrical power, lighting, air conditioning, mechanical and heating ventilation, fire protection, plumbing and sanitary, telephone, and data networking systems. It provides its project management and maintenance management services to commercial buildings, industrial buildings, and condominiums.;http://singapore-companies-directory.com/Company_Profiles/A10/a_power_engineering.htm;;;;;;;;;Furniture;Lighting
Acronman Electronics;Singapore Electronics Trading Company, Electrical Equipment, Electrical Equipment, Electrical Components Trading Company. Specializing in buying and selling excess electronic components, electronic parts, test equipment, consumer electronics products, electronic kit sets, Led Lightings, Electronic Components, Electronic Dictionary, Rf Modules, Rf Components, Obsolete Electronic Components, Computer Notebook Fans.;http://singapore-companies-directory.com/Company_Profiles/A31/acronman_electronics.htm;;;;;;;;;Furniture;Lighting
Advance Synergy Pte Ltd;Singapore Electrical Equipment Company Suppliers of Video Equipment, Automation Systems, Lighting, TV System Equipment, Closed Circuits, Architectural Stainless Steel, Sound Systems Audio Equipment;http://singapore-companies-directory.com/Company_Profiles/A43/advance_synergy.htm;;;;;;;;;Furniture;Lighting
Aifa (S) Pte Ltd;Singapore Furnishings Company Suppliers of Lighting, Lamps, Electrical Appliances, Curtains, Home Furnishings;http://singapore-companies-directory.com/Company_Profiles/A57/aifa.htm;;;;;;;;;Furniture;Lighting
Akira Singapore Pte Ltd;Singapore Electric Appliances Manufacturers, Electric Appliances Wholesalers. Color TV,DVD/DVR/VCP/VCR, Air-Conditioners, Small Appliances, Kitchen Appliances, Plasma TV's, LCD TV's, Projection TV, Audio Hi-Fi Products, Lightings, Toys, Communications Equipment, Recording Media, Digital Imaging, Massage Chairs, Water -based Vacuum Cleaners, Car Audio Systems;http://singapore-companies-directory.com/Company_Profiles/A67/akira_singapore.htm;;;;;;;;;Furniture;Lighting
Allmaster Enterprise;Singapore Lighting Company Suppliers of Lighting Poles, Queuing Equipment & Systems, Signcraft Installation;http://singapore-companies-directory.com/Company_Profiles/A81/allmaster_enterprise.htm;;;;;;;;;Furniture;Lighting
Almanach Lamps & Luminaires Pte Ltd;Singapore Lighting Company Suppliers of Lamps, Lighting, photo lighting applications. Almanach Lamps & Luminaires Pte Ltd has a history counting back to more than fifteen years in the lighting industry.;http://singapore-companies-directory.com/Company_Profiles/A82/almanach_lamps.htm;;;;;;;;;Furniture;Lighting
American Flagpole Lighting Pole International;Singapore Suppliers of Flag Poles, Signage, Banners, Lighting Poles;http://singapore-companies-directory.com/Company_Profiles/A93/american_flagpole_lighting.htm;;;;;;;;;Furniture;Lighting
Amico Technology International Pte Ltd;Singapore Sign making Company Suppliers of Signs, Lighting Poles, Flag Poles, Silkscreen Printing;http://singapore-companies-directory.com/Company_Profiles/A94/amico_technology_international.htm;;;;;;;;;Furniture;Lighting
ASP Engineering;Singapore Suppliers of Energy Saving Lamps. T5 Converter is a retrofit conversion pack for both switch start and quick start luminaries. Almost all of the raw materials including mercury, glass and metal can be decomposed and 100% recycled. The doubling of service life means the tubes are replaced less frequently. All in all, T5 converter is the optimum eco-friendly solution.;http://singapore-companies-directory.com/Company_Profiles/A150/asp_engineering.htm;;;;;;;;;Furniture;Lighting
Atco Control (S) Pte Ltd;Singapore Lighting Fixtures Lighting Fixtures Manufacturers, Lighting Fixtures Wholesalers, Lighting Fixtures Distributors;http://singapore-companies-directory.com/Company_Profiles/A156/atco_control.htm;;;;;;;;;Furniture;Lighting
Audio Light Asia Pte Ltd;Singapore Lighting Equipment, Audio Equipment Company Suppliers of Lighting, Audio & Visual Equipment, Lighting System & Lighting Equipment;http://singapore-companies-directory.com/Company_Profiles/A161/audio_light_asia.htm;;;;;;;;;Furniture;Lighting
AVR Impex;Singapore Trading Company, Importers, Exporters of Black Matpe Beans Mercury LED Lights, LED Lamps, Paraffin Wax, Soda Ash, Caustic Soda, Cloves, Green Mung Beans;http://singapore-companies-directory.com/Company_Profiles/A171/avr_impex.htm;;;;;;;;;Furniture;Lighting
