name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Ah Nam Optical Corporation Pte Ltd;Singapore Opticians, Optometrists, Optical Goods. Trading, retail & wholesale of optical frames & sunglasses;http://singapore-companies-directory.com/Company_Profiles/A55/ah_nam_optical.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Amo Singapore Pte Ltd;Singapore Medical Optics Company Suppliers of Optical Equipment. We offer the widest range of proven refractive technologies for myopia, hyperopia, astigmatism, presbyopia, cataract, spherical aberration and corneal health.;http://singapore-companies-directory.com/Company_Profiles/A96/amo_singapore.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Anco Optics & Contact Lenses;Singapore Opticians, Optometrists, Suppliers of Optical Goods, Contact Lenses;http://singapore-companies-directory.com/Company_Profiles/A100/anco_optics_contact.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Ban Chuan Pte Ltd;Singapore Importers & Exporters of Sunglasses, Reading Glasses, Spectacles;http://singapore-companies-directory.com/Company_Profiles/B10/bab_chuan.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Bausch & Lomb (S) Pte Ltd;Singapore Contact Lens Company Our contact lens offerings span the entire spectrum of wearing modalities and include such well-known brand names as PureVision, SofLens, Boston and Optima. Lens care products, Biotrue and Renu brand of chemical disinfectants for soft contact lenses, Boston line of products for cleaning GP contact lenses. Intraocular lenses and delivery systems featuring the Crystalens, SofPort and Akreos brands of IOLs, Stellaris and Millennium phacoemulsification equipment, surgical instruments, surgical devices;http://singapore-companies-directory.com/Company_Profiles/B18/bausch_lomb.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Carl Zeiss South East Asia;Singapore optical & opto-electronic Company. Consumer optics, ophthalmic products, sports optics, opto-electronics, camera lenses, spectral sensors, Industrial Metrology, Medical Systems, Microscopy;http://singapore-companies-directory.com/Company_Profiles/C17/carl_zeiss_south.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Cerium Technology (S) Pte Ltd;Singapore distributor, manufacturer of high-grade Optical Products, Abrasive Pads, Polishing Pads, Surfacing Products, Glazing Products, Optical product machinery, Pad guides;http://singapore-companies-directory.com/Company_Profiles/C28/cerium_technology.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Chai Ming Optical Pte Ltd;Singapore eyewear company designs, manufactures and distributes quality Optical Products, Optical Frames, Optical Lenses, sunglasses, clip-on lenses & ophthalmic frames to consumers via its wide reaching network in East Asia.;http://singapore-companies-directory.com/Company_Profiles/C29/chai_ming_optical.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Ciba Vision Asian Manufacturing And Logistics Pte;Singapore Biotechnology, Pharmaceutical, Research, Optical Products Company manufacturing, repackaging, sales and worldwide distribution of optic products. Biotechnology, Pharmaceutical, Research & Academic Organisations, Pharmaceutical Manufacturing;http://singapore-companies-directory.com/Company_Profiles/C76/ciba_vision_asian_manufacturing_and_logistics.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
Ciba Vision (Singapore) Pte Ltd;Singapore Manufacturing, trading and distribution of contact lenses and lens care products (LCP), Optical Goods, Contact Lenses, Lens Care Products;http://singapore-companies-directory.com/Company_Profiles/C76/ciba_vision_singapore.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
F.J. Isaacs Private Limited;Singapore Opticians, Optometrists, Pediatric vision assessment, vision therapy, Geriatric eye care Myopia control, LASIK management,Glaucoma screening, Diabetic Eye Care, Keratoconus contact lens fitting, Orthokeratology, Contact Lenses, Chromagen Lenses, Refractive Surgery, Z-Wave, Spectacle Frames, Spectacle Lenses, Corporate Eye Screening;http://singapore-companies-directory.com/Company_Profiles/F1/fj_isaacs.htm;;;;;;;;;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses)
