name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Arms Enterprise (Singapore) Pte Ltd;Singapore Garments, Sportswear Manufacturers, Suppliers of golfing apparels & t-shirts, company T-shirts and uniform apparels. Made from various kinds of quality textile materials, our fabric range includes 100% cotton, cotton-polyester mixed as well as anti-static & anti-flaming textile materials.;http://singapore-companies-directory.com/Company_Profiles/A128/arms_enterprise.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Banroy Sportswear Trading Pte Ltd;Singapore Sports Clothes Trading Company Suppliers of Sportswear, Sports Equipment, Sport Supplies, Sporting Goods;http://singapore-companies-directory.com/Company_Profiles/B14/banroy_sportswear_trading.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Bob's Golf;Singapore Golf Shop Suppliers of Golf Equipment, Golfing Supplies, Golf Sports Goods;http://singapore-companies-directory.com/Company_Profiles/B58/bob's_goft.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Bodynits International Pte Ltd;"Singapore Sportswear Company, Garments, Textiles, Clothing, Fashion Wholesalers, Fashion Garments. Specialises in the production of active lifestyle apparel for stretch knitted and technical fabrics; manufactures from 3 different locations and ships products worldwide; clients include Adidas, Champion, Fila, Nike and Puma";http://singapore-companies-directory.com/Company_Profiles/B58/bodynits_international.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Cannasia Pte Ltd;Singapore Bicycle distributor of road bikes, triathlon bikes, mountain bikes, bike components, bike apparel for men;http://singapore-companies-directory.com/Company_Profiles/C13/cannasia.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
G S Gill (Pte) Ltd;Singapore Sports Goods Company Suppliers of Golf Equipment, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/G1/g_s_gill.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
H & P Marketing;Singapore Sport Supplies Company Suppliers of Sports Equipment, Sporting Goods, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/H1/h_&_p_marketing.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Chung Hsing Sports Company;Singapore Sports Clothing Company Suppliers of Silk Screen Printing, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services, Sports T Shirts, Sports Sweatshirts;http://singapore-companies-directory.com/Company_Profiles/C73/chung_hsing_sports.htm;;;;;;;;;Active Lifestyle;Men & Women activewear
Splash & Fun;Singapore Suppliers of Sports Equipment, Sport Supplies, Swimming Equipment, Swimming Supplies, Sportswear, Diving Equipment;http://singaporecompanieslist.blogspot.com/2013/02/splash-fun-singapore-sports-equipment.html;;;;;;;;;Active Lifestyle;Men & Women activewear
