name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Abacus International Pte Ltd;Singapore Travel Industry Company. Abacus is the leading GDS in the Asia Pacific with more than 15,000 travel agency locations in 25 markets.;http://singapore-companies-directory.com/Company_Profiles/A15/abacus_international.htm;;;;;;;;;Travel;Agencies
advenTOUR Singapore;Singapore Travel Agents, Tour Agencies. At advenTOUR, we will do the hassling research and planning while all you simply need to do is pick from our list of outdoor activities and tours. We are here to help you to find the perfect Singapore experience. advenTOUR offers many packages with all the finest vendors in Singapore. We can organise a special day to thank your staff for the hard work they have done or motivate them to do better.;http://singapore-companies-directory.com/Company_Profiles/A46/adventour_singapore.htm;;;;;;;;;Travel;Agencies
Air Sino-Euro Associates Travel Pte Ltd;Singapore Travel Agency, Travel Bureaus, Travel Agents, Tour Agencies. Specially-planned quality tours, Incentive & corporate packages, Chartered flights, Affordable group packages, Affordable free & easy tours, Worldwide ticketing & hotel reservations, Worldwide cruises;http://singapore-companies-directory.com/Company_Profiles/A62/air_sino_euro_associates.htm;;;;;;;;;Travel;Agencies
Asia-Euro Holidays Pte Ltd;Singapore Travel Agency, Tour Operator, The World's Largest Travel Company for Young Adults & Students. Adventure Holidays, Budget Accommodation, Eco-travel, Grad Trips, Holiday Packages, Rail Passes, Short Getaways, Student Airfares, Working Holidays;http://singapore-companies-directory.com/Company_Profiles/A142/asia_euro_holidays.htm;;;;;;;;;Travel;Agencies
Bus Hub Services Pte Ltd;Singapore Bus Operators, Tour Operators. Transport Solutions, Premium Services. Premium Bus Services with innovative features for express travel between private estates, condominiums and the city. Sightseeing tours for locals and inbound tours for tourists, Chartered trips for corporate VIPs and private events;http://singapore-companies-directory.com/Company_Profiles/B79/bus_hub_services.htm;;;;;;;;;Travel;Agencies
Bus-Plus Services Pte Ltd;"Singapore Bus Operators. Provides Singapore with AC luxury mini-buses; ferries people from residential areas to the city and back, provides transportation for business and personal functions; has an online booking facility";http://singapore-companies-directory.com/Company_Profiles/B79/bus_plus_services.htm;;;;;;;;;Travel;Agencies
Carlson Wagonit Travel;Singapore Business Travel Agents, Tour Operators. Offers best-in-class services and assistance to travelers and optimizes the processing of simple and complex transactions online or offline.;http://singapore-companies-directory.com/Company_Profiles/C17/carlson_wagonit.htm;;;;;;;;;Travel;Agencies
Cashcor International Pte Ltd;Singapore Business Training, Franchising, Event Management, Seminars, Educational Travel, Company setup and structure, International marketing, Customised Management Training, Franchising, Event & Seminar Management, International Sourcing and Logistics;http://singapore-companies-directory.com/Company_Profiles/C20/cashcor_international.htm;;;;;;;;;Travel;Agencies
Cathay World Travel Pte Ltd;Singapore Travel Agents, Tour Operators, Accommodation, Air Ticketing, Sightseeing Tours, Travel Insurance, Visa Services;http://singapore-companies-directory.com/Company_Profiles/C22/cathay_world_travel.htm;;;;;;;;;Travel;Agencies
Centour Travel & Trading (S) Pte Ltd;Singapore Travel Agents, Singapore Tourism, Accommodation, Land Transportation, Air Ticketing, Ferry Ticketing, Sea Cruises, Sightseeing Tours, Travel Insurance, Visa Services;http://singapore-companies-directory.com/Company_Profiles/C25/centour_travel_trading.htm;;;;;;;;;Travel;Agencies
Centrako Business Centre Pte Ltd;Singapore Business Centre offers a flexible range of services tailored to meet your requirements. Serviced Offices, Business Services, Secretarial, Telephone Answering, Audio visual and visual aids, Catering Services, Courier services, Document handling, Individual telephone answering, LAN services, Photocopying, Postal services, Presentation equipment, Presentation materials, Secretarial Services, Translations, Travel itinerary planning and booking, Video conferencing, Word processing;http://singapore-companies-directory.com/Company_Profiles/C25/centrako_business_centre.htm;;;;;;;;;Travel;Agencies
Cez Travel Services;Singapore Travel Agents, Tour Operators, Travel Agencies, Singapore Tourism, Air Ticketing, Visa Services;http://singapore-companies-directory.com/Company_Profiles/C29/cez_travel_services.htm;;;;;;;;;Travel;Agencies
Chan Brothers Travel (Pte) Limited;Singapore Travel Agents, Tour Operators, Travel Agencies, Travel, Recreation, and Leisure, Accommodation, Air Ticketing, Sightseeing Tours;http://singapore-companies-directory.com/Company_Profiles/C31/chan_brothers_travel.htm;;;;;;;;;Travel;Agencies
Chariot Travels Pte Ltd;Singapore Travel Agents, Tour Operators, Air Ticketing, Sea Cruises, Sightseeing Tours, Accommodation, Land Transportation, Air Ticketing, Sea Cruises, Sightseeing Tours, Travel Insurance, Visa Services;http://singapore-companies-directory.com/Company_Profiles/C36/chariot_travels.htm;;;;;;;;;Travel;Agencies
Cheery Travel Pte Ltd;Singapore Charter Bus Operators, Bus Rental, Travel Agents, Travel Services, International Airfare Ticketing, Budget Airline Ticketing (e Ticketing), Travel Documents (VISA application), Ferry Tickets, Incentive Tours, Corporate Team Building, Hotel Resort Reservation, MICE events, Tour Packages, Local Tour attractions, Educational Tours, Transportation Services, Overland a/con coaches, Local Transport, Worker Transport, Shuttle bus service, Airport Transfer, Luxury Limo Wedding Service;http://singapore-companies-directory.com/Company_Profiles/C39/cheery_travel.htm;;;;;;;;;Travel;Agencies
China Express Travel (S) Pte Ltd;Singapore Travel Agents, Tour Operators, Travel Agencies, Singapore Tourism, Travel Insurance, Visa Services, Accommodation, Air Ticketing, Travel Insurance;http://singapore-companies-directory.com/Company_Profiles/C54/china_express_travel.htm;;;;;;;;;Travel;Agencies
OAG Worldwide Limited;OAG, a global leader in aviation information and intelligence, has been at the heart of the air transport industry. Source of flight schedule, flight status and aviation data for the world's global distribution systems. OAG serves the passenger, aviation, air cargo and business travel communities from its global network of offices in the UK, USA, Singapore, Japan and China.;http://singapore-companies-directory.com/Company_Profiles/O1/oag_worldwide.htm;;;;;;;;;Travel;Agencies
