name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
A-Star Maths;Singapore Education Centre, Singapore Tuition Centre, Singapore Tutoring Services, Singapore Tutors;http://singapore-companies-directory.com/Company_Profiles/A10/a_star_maths.htm;;;;;;;;;Education;Tuition
AMM Services;Singapore Language Training Company, Singapore Language Schools, Singapore Language Teachers;http://singapore-companies-directory.com/Company_Profiles/A95/amm_services.htm;;;;;;;;;Education;Tuition
Anova Education Centre Pte Ltd;Singapore English Language Training School providing English Preparation Course, Tuition Enrichment Course, customised programmes, English Conversational Course for working adults;http://singapore-companies-directory.com/Company_Profiles/A110/anova_education_centre.htm;;;;;;;;;Education;Tuition
Antioch Edu-Works Centre;Singapore Education Company Suppliers of courses at various centers all over the island. These centers include certain PCF Education Centers, Childcare Centers, Private Preschools and Childcare Development Centers;http://singapore-companies-directory.com/Company_Profiles/A111/antioch_edo_works.htm;;;;;;;;;Education;Tuition
Art Zone Pte Ltd;Singapore Arts Training Company offers Arts Education, Arts Classes, Painting Classes. We also conduct short-term flexi-time art & craft workshops such as paper, woodcraft, canvas, pottery and mural painting, clay work, collage, papier mache, origami, craft work using recycled/waste materials, team projects.;http://singapore-companies-directory.com/Company_Profiles/A130/art_zone.htm;;;;;;;;;Education;Tuition
Asian School Of Education Pte Ltd;Asian School of Education, formerly known as Asian Language School, offers the following services: English for Foreign Learners, Phonics and Phonetics for Adults and Children, Grammar workshop, Writing workshop, Preparatory Course for Foreign Students who are seeking admission to Government schools;http://singapore-companies-directory.com/Company_Profiles/A146/asian_school_of_education.htm;;;;;;;;;Education;Tuition
Beam the Science;Singapore Tuition Centres, Tutoring Services Company. Beam the Science is an educational centre specialized in Sciences and Mathematics, especially for secondary school students. Provides small group tuition classes (max 5) for intensive coaching following the requirements of MOE syllabus and O'level exams;http://singapore-companies-directory.com/Company_Profiles/B21/beam_the_science.htm;;;;;;;;;Education;Tuition
BMC Academy;Singapore Commercial Training Institution. Provides business training, academic training, commercial training, computer training, technical training, professional training and child development courses to both individuals and Singapore Companies;http://singapore-companies-directory.com/Company_Profiles/B56/bmc_academy.htm;;;;;;;;;Education;Tuition
Cambridge School of Education;Singapore English Language Teaching, Educational Services, Tuition Centres, Tutoring Services. Singapore Language School offering 2-month business classes, international classes, conversational English classes, preparatory classes for Singapore government schools, IELTS, TOEFL, Chinese & part-time Arabic, English, French courses;http://singapore-companies-directory.com/Company_Profiles/C11/cambridge_school_of_education.htm;;;;;;;;;Education;Tuition
Campus Tutors;Singapore Tuition Agency, Quality Tuition. Experienced Tutors. Professional Tuition Agency. Matches the tutor that is able to cater to your child’s learning pace. Other than 1-to-1 home tuition, our tuition agency also matches tuition teachers for group tuition assignments;http://singapore-companies-directory.com/Company_Profiles/C12/campus_tutors.htm;;;;;;;;;Education;Tuition
Canact Pte Ltd;Singapore Tuition Centres, Tutoring Services offering Progressive Reading Programmes Literacy Series, Comprehension Skills, Creative Writing Skills, English Bridging for International Students, Social Studies, History, Current Affairs;http://singapore-companies-directory.com/Company_Profiles/C12/canact.htm;;;;;;;;;Education;Tuition
Caraven Tuition Agency;Singapore Tuition Agency, a reputed tuition school offering classes in Phonetics, reading and Chinese. Education, Family & Parenting Services, Tuition Centre, Tutorial Centres - Tutoring Centres;http://singapore-companies-directory.com/Company_Profiles/C15/caraven_tuition.htm;;;;;;;;;Education;Tuition
Carol Edunational Pte Ltd;Singapore Chinese Tuition Centres, Tutoring Services. Adult Chinese Classes, Chinese course on practical commercial Mandarin, Chinese lessons on conversational Mandarin, Chinese classes on legal language, Mandarin lessons on mass media language, Tutorials on breathing & pronunciation, Courses on side comment, Chinese classes on speech writing;http://singapore-companies-directory.com/Company_Profiles/C18/carol_edunational.htm;;;;;;;;;Education;Tuition
Center For American Education;Singapore Center provides preparatory courses for American tertiary entrance examinations and other continuing education training and enrichment courses.;http://singapore-companies-directory.com/Company_Profiles/C25/center_for_american.htm;;;;;;;;;Education;Tuition
CES Group Pte Ltd;Singapore educational provider specializing in educating both international and local students. providing tuition, vocational and higher education training. Business Courses, Accounting, Language, Hotel Tourism, Vocational Training;http://singapore-companies-directory.com/Company_Profiles/C28/ces_group.htm;;;;;;;;;Education;Tuition
Chuangxin School of Education;Chinese Language School in Singapore. Our school characteristics is Chinese writing and oral teaching, as the school hired professional Chinese teachers from China;http://singapore-companies-directory.com/Company_Profiles/C72/chuangxin_school_of_education.htm;;;;;;;;;Education;Tuition
E & P Training Centre Pte Ltd;Singapore Education Centre, Schools, Learning Disability Courses, Tuition Centres, Tutoring Services, Educational Consultants;http://singapore-companies-directory.com/Company_Profiles/E1/e&p_training_centre.htm;;;;;;;;;Education;Tuition
