name,url,profile,categories,description,tel,fax,contact,email,website,address,data_source
B D E Enterprise,http://singapore-companies-directory.com/Company_Profiles/B2/b_d_e_enterprise.htm,"Singapore Wholesalers of Furniture, Furnishings & Household Appliances Furniture, Furniture Trading Company",,,,,,,,,
Ban Seng Heng Handicrafts Trading,http://singapore-companies-directory.com/Company_Profiles/B13/ban_seng_heng_handicrafts.htm,"Singapore Trading Company, Wholesalers of Furniture, Handicrafts, Interior Decorations, Furnishings & Electrical Appliances",,,,,,,,,
Banos 100,http://singapore-companies-directory.com/Company_Profiles/B14/banos.htm,"Singapore Wholesalers of Furniture, Furnishings & Domestic Appliances, This luxury lifestyle emporium offer great choice of lifestyle products inspired by renowned interior architect, Stefanie Hauger.",,,,,,,,,
Barang Barang Interiors Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B15/barang_barang_interiors.htm,"Singapore Interior Decorators, Interior Decoration Contractors, Interior Designers. Outdoors, interior design services for residential, commercial and retail premises. Garden and landscaping design services, Design and manufacturing of furniture and furnishings, Contract manufacturing of wood products, Distributor of furnishing accessories and lifestyle products, Distributor of laminate floor boards",,,,,,,,,
Basic Necessities International,http://singapore-companies-directory.com/Company_Profiles/B17/basic_necessities_international.htm,"Singapore Furniture Store, Wholesaler of Furniture, Furnishings & Appliances. Dynasty Furniture Centre retails a wide variety of home furniture such as Mattresses, Cabinets Furnishings, Beds, Sofas, Cabinets",,,,,,,,,
Bean Bag Mart,http://singapore-companies-directory.com/Company_Profiles/B21/beam_bag_mart.htm,"Singapore Beanbag Company Manufacturing & Selling Beanbag Furniture, Beanbag Furnishings, Beanbag Resters, Beads for Beanbags, casual interior furniture for modern homes, top-up beads",,,,,,,,,
Bedding Saloon,http://singapore-companies-directory.com/Company_Profiles/B24/bedding_saloon.htm,"Singapore Bedding Company Suppliers of Mattresses, Bedding, Beds, Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers",,,,,,,,,
Belno Design & Contracts,http://singapore-companies-directory.com/Company_Profiles/B30/beno_design_contracts.htm,"Singapore Interior Design Consultants Suppliers of Furniture, Home Furnishings",,,,,,,,,
Benel Singapore Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B31/benel_singapore.htm,Singapore Office Furniture Manufacturers. One of the leading manufacturers of office chairs in the region. Has plants in Singapore & Malaysia and a distribution network that covers the Asia-Pacific region as well as Europe,,,,,,,,,
Berten Trading (S) Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B35/berten_trading.htm,"Singapore Furniture Trading Company Suppliers of Recycled Plastic Lumber, Fibreglass, Laminate, Tables, Chairs, Playground Equipment. Specialising in public furniture; products include outdoor tables, benches and bins made from recycled plastic lumber, fibreglass or laminate tables and chairs, playground equipment, Umbrellas, Sunloungers",,,,,,,,,
Best (Spring Mattress) Manufacturers Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B36/best_spring_mattress.htm,"Singapore Mattress Manufacturer Suppliers of Beds, Bedding, Bedroom Furniture. Mattresses Wholesalers, Mattresses Manufacturers, Mattresses Distributors, Mattresses Suppliers",,,,,,,,,
Bines Buana Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B45/bines_buana.htm,"Singapore Rattan Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings, Rattan Furniture, Reed Furniture, Willow Furniture",,,,,,,,,
Blinds Gallery (S) Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/B52/blinds_gallery.htm,"Singapore Furnishings Company Suppliers of Curtains, Drapes, Furnishings, Blinds, Awnings. Showroom in New World Centre, displaying Window Blinds, Roman Blinds, Venetian Blinds, Wooden Blinds, Roller Blinds, Vertical Blinds & outdoor products such as Umbrellas, Chairs, Awnings, Canopies.",,,,,,,,,
Boh Song Furniture Contractor,http://singapore-companies-directory.com/Company_Profiles/B59/boh_song_furnture_contractor.htm,"Singapore Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers",,,,,,,,,
Business Equipment & Electrical Service,http://singapore-companies-directory.com/Company_Profiles/B80/business_equipment_electrical.htm,"Singapore Office Furniture & Office Equipment Dealers, Suppliers of Steel and Wooden Office Furniture, such as Computer Tables, Wooden Conference Tables, Lockers, Storage Systems, Cabinets, Filing Cabinets, Steel Racks, Office Desks, Steel Folding Tables, Steel Folding Chairs, Steel Beds, Office Seating, Executive Chairs, Task Chairs, Meeting Chairs, Visitor's Chairs, Bar Stools, Plastic Chairs, Executive Leather Chairs, Magnetic White Boards, Notice Boards",,,,,,,,,
C&R Interiors Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C5/c_r_interiors.htm,"Singapore office furnishing and renovation company, manufacturers and distributors of office furniture and fittings for industrial, commercial and residential users.",,,,,,,,,
C V Henri Rattan Industries,http://singapore-companies-directory.com/Company_Profiles/C5/c_v_henri_rattan.htm,"Singapore Rattan Furniture Company Suppliers of Rattan Furniture, Reed Furniture, Rattan Home Furnishings, Willow Furniture Manufacturers, Furniture Stores, Furniture Dealers",,,,,,,,,
C.S. Seating & Contract (S) Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C6/c_s_seating_contract.htm,"Singapore Office Furniture Company Suppliers of Ergonomic Office Chairs, Seating, Ergonomic Chairs, Leather Chairs, Classic Chairs, Executive Chairs, Secretary Chairs, PU Moulded Chairs, Public Seating",,,,,,,,,
Cards n Such Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C16/cards_n_such.htm,"Singapore Gift shop Suppliers of Baby Furniture, Cards n Such stock wide selection of gifts, home accessories, infant furniture, greeting cards and novelties.",,,,,,,,,
Carlmey Interior Furnishing Company,http://singapore-companies-directory.com/Company_Profiles/C17/carlmey_interior.htm,"Singapore Furnishings Company, furniture maker, specialising in upholstery products, project contracting, dealing mostly with interior upgrading of hospitality and F&B premises as well as hospitals and retail outlets.",,,,,,,,,
Carlo Hofmann Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C17/carlo_hofmann.htm,"Singapore Sofa Manufacturers, Our Sofas using solid plywood, meranti wood frames. Carlo Hofmann Sofas are from Europe, our Sofas fabric are made in Belgium origin, the tenderness of cloth is often the favorite of both designers and users.",,,,,,,,,
Carsten Ovesen Design,http://singapore-companies-directory.com/Company_Profiles/C19/carsten_ovesen_design.htm,"Singapore Furniture Designers, Fabric Designs. Carsten Ovesen, a Denmark born designer who specializes in furniture design and furniture fabrics, has been residing in Singapore since 1990.",,,,,,,,,
Casa Italy Sofa Manufacturer Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C20/casa_italy_sofa.htm,"Singapore Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers. A reputable sofa manufacturer specializing in high quality leather sofas with innovative design for the local market",,,,,,,,,
Casarredo Abundance Marketing,http://singapore-companies-directory.com/Company_Profiles/C20/casarredo_abundance_marketing.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers. Vast experience in upholstery furniture, manufacturing high quality and affordable sofas to the consumer market",,,,,,,,,
Cathay Interiors Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C22/cathay_interiors.htm,"Singapore Interior Designers, Interior Design Consultants, Home Furnishings, Furniture. A manufacturer of quality custom-designed furniture. Project management, fit out works and occupancy-related services for hotels, financial institutions and major corporations.",,,,,,,,,
CEFLA Asia Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C24/cefla_asia.htm,"Singapore Buying Agents, Product Sourcing, Manufacturers Agents, Manufacturing Representatives, Building Materials, Construction Materials, Furniture, Kitchen Furniture, Bathroom Furniture, Office Furniture, Parquet Laminate Hardwood, Hotel furnishings, Boat furnishings, Solar Panels, Electronics & appliances Automotive products, Aerospace products, Architectural products, Window shutters & blinds Foils & Edgebanding Injection molded parts PVC extrusions, Printing Finishing Drying & Impregnation Chemicals",,,,,,,,,
Cellini Design Center Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C25/cellini_design_center.htm,"Singapore manufacturers of a large range of furniture and accessories to satisfy a wide spectrum of styles, ranging from Italian contemporary to modern classic. Bedroom Furniture, Dining Furniture, Living Furniture, Occasional Furniture, Upholstered Furniture, coffee tables, sofas, armchairs, beds",,,,,,,,,
Central Iron Furnishing Factory Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C26/central_iron_furnishing_factory.htm,"Singapore Manufactures & exporters of Steel Furniture, Steel Beds, Steel Chairs and Steel deck chairs",,,,,,,,,
CH Global Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C29/ch_global.htm,"Singapore Manufactures & trading of rattan & cane products, all kinds of furniture & furnishing, rattan wicker, bamboo, basketry, international trading & manufacturer's representative",,,,,,,,,
Chairmaster Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C30/chairmaster.htm,"Singapore Office Furniture & Office Equipment Wholesalers, Manufacturers, Distributors, Suppliers. Contract Decorating Services, Interior Decorating Services, Home Furnishings, Interior Design Consultants, Interior Designers",,,,,,,,,
Chan Pui Kee & Co,http://singapore-companies-directory.com/Company_Profiles/C32/chan_pui_kee.htm,"Singapore Blackwood furniture specialist, dealer & restorer Antiques, Sculptures, Art Shops",,,,,,,,,
Chaplin Design Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C35/chaplin_design.htm,"Singapore Interior design consultancy firm specialises in space planning and design conceptualisation of offices, labs, retail outlets, institutes, residences Suppliers of Furniture, Accessories, Bedroom Furniture, Dining Furniture, Living Room Furniture, Office Furniture, Interior Decorations",,,,,,,,,
Che Lin Kee Rattan & Cane Manufacturing Company,http://singapore-companies-directory.com/Company_Profiles/C38/che_lin_kee.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Suppliers of Rattan Home Furnishings Rattan Furniture, Reed Furniture, Cane Furniture",,,,,,,,,
Chelinco Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C40/chelinco.htm,"Singapore Rattan Furniture Manufacturer, Trading Company, Suppliers of Rattan Furniture, Cane Furniture, Rattan Chairs, Rattan Tables, Chairs, Tables, Synthetic Cane Furniture, Aluminum Furniture, Cafe Furniture, Outdoor Furniture. Our quality products can be found in renowned establishment like the Shangri-La Hotel, Raffles Hotel, The Sheraton Hotel, Traders Hotel, Tanah Merah Country Club and many others in Singapore and abroad.",,,,,,,,,
Cheng Furniture Company Singapore,http://singapore-companies-directory.com/Company_Profiles/C42/cheng_furniture.htm,"Singapore Building Contractors, Construction Contractors, Renovation Contractors, Interior Decorating Services, Furniture Design, Home Furnishings",,,,,,,,,
Cheong Cheng Renovation & Carpentry Work,http://singapore-companies-directory.com/Company_Profiles/C44/cheong_cheng.htm,"Singapore Interior Designers, Interior Design Consultants, Interior Decoration Contractors, Interior Decorators. Renovation and carpentry work company with more than 30 years experience in furniture and interior decoration services",,,,,,,,,
