name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;Sports Equipment, Sport Supplies,  Sporting Goods;(+65) 6538-6200;(+65) 6538-6400;;;3 ANSON ROAD #27-01 Singapore 150168;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Aldo Brue Asia Pte Ltd;Singapore Footwear Manufacturers, Shoes, Footwear Manufacturers, Wholesalers, Distributors, Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/aldo_brue_asia.htm;Shoes, Footwear Manufacturers,  Wholesalers, Distributors;(+65) 6274-1292;;;;1, Maritime Sq #01-79 HarbourFront Centre Singapore 099253;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Alentino Creation Pte Ltd;Singapore Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/alentino_creation.htm;Shoes, Footwear Manufacturers,  Wholesalers, Distributors;(+65) 6793-5503;(+65) 6536-6629;;;1, Jurong West Central 2 #02-15 Jurong Pt Shopping Centre Singapore 648886;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Allstate (S) Pte Ltd;Singapore Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A81/allstate.htm;Footwear, Shoes Manufacturers, Shoes  Wholesalers;(+65) 6743-1773;(+65) 6743-1750;;;1057, Eunos Ave 3 Singapore 409848;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Alpha Sky Pte Ltd;Singapore Shoe Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A84/alpha_sky.htm;Shoes, Footwear Manufacturers, Footwear  Wholesalers, Footwear Distributors;(+65) 6376-0898;;;;16, Jln Kilang Timor #07-03 Singapore 159308;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Americaya (S) Pte Ltd;Singapore Footwear Company Suppliers of Shoes, Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A94/americaya.htm;Shoes, Shoes Manufacturers, Shoes  Wholesalers, Shoes Distributors, Footwear Manufacturers,  Footwear Wholesalers, Footwear Distributors;(+65) 6298-9433;;;;9, Kallang Pl #06-11 Kallang Basin Ind Est Singapore 339154;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
Avichem International Inc;Singapore Trading Company dealing in bulk commodities such as Cement, Sugar, Steel Scrap, Coal, Chemicals, Leather Shoes, Pharmaceuticals, Herbal Cosmetics;http://singapore-companies-directory.com/Company_Profiles/A170/avichem_international.htm;Cement, Sugar, Steel Scrap, Coal &  Chemicals;(+65) 6545-8229;(+65) 6545-9924;;;Varadarajan Nandakumar  No.961, Upper Changi Road North, Block A, Changi Garden Singapore;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;Varadarajan Nandakumar  No.961, Upper Changi Road North, Block A, Changi
BHG (Singapore) Pte Ltd;"Singapore Department Store Chain with four stores in Bugis, Choa Chu Kang, Bishan & Tampines. Owned by the Beijing Hualian Group; product categories include apparel, beauty, shoes & bags, fashion accessories, health & sports goods";http://singapore-companies-directory.com/Company_Profiles/B42/bhg_singapore.htm;Department Stores, Retailers;(+65) 6223-2222;;career@bhgsingapore.com.sg;;230 VICTORIA STREET #03-01 BUGIS JUNCTION  Singapore 188024;singapore-companies-directory.com;Mens Fasion;Shoes;Online;;
Boby Footwear Pte Ltd;Singapore Shoes Distributors, Footwear Manufacturers, Trading, Manufacture, Retail & Wholesalers of all types of Footwear;http://singapore-companies-directory.com/Company_Profiles/B58/boby_footwear.htm;Shoes Manufacturers, Shoes Wholesalers,  Shoes Distributors, Footwear Manufacturers;(+65) 6469-8977;(+65) 6469-5584;general@bobygroup.com.sg;;2 Pandan Valley #01-200 Acacia Court  Singapore 597626;singapore-companies-directory.com;Mens Fasion;Shoes;Online;Managing Director;Lau Wee Soong
Champion Shoe Company;Singapore Suppliers of Bags, Clothing, Belts, Fashion Accessories, Handbags, Shoes, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/C30/champion_shoe.htm;Bags, Clothing, Belts, Fashion  Accessories, Handbags, Shoes;(+65) 6532-2812;(+65) 6532-2812;;;101 Upper Cross Street, #02-28 People's Park Centre  Singapore 058357;singapore-companies-directory.com;Mens Fasion;Shoes;Offline;;
