name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Achieve Print N Pack Pte Ltd;Singapore Printing Company, Printers, Packaging Printing Services, Printing of Paper Bags, Plastic Carrier Bags, Labels, Cartons, Plastic Boxes, Cardboard Boxes;http://singapore-companies-directory.com/Company_Profiles/A29/achieve_print_pack.htm;Printers, Packaging Printing Services;(+65) 6749-3493;(+65) 6749-3403;;;18, Kaki Bukit Road 3 #02-10 Singapore 415978;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Advance Approach (S) Pte Ltd;Singapore Luggage Manufacturer of Luggage, Suitcases, Travel Bags;http://singapore-companies-directory.com/Company_Profiles/A42/advance_approach.htm;Luggage, Suitcases, Travel Bags;(+65) 6253-2258;(+65) 6253-1139;;;52, Genting Lane Ruby Land Complex Singapore 349560;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Aik Seng Leather Goods;Singapore Leather Company Suppliers of Leather Goods, Leather Products, Leather Bags, Leather Accessories;http://singapore-companies-directory.com/Company_Profiles/A60/aik_seng_leather.htm;Leather Goods, Leather Products, Leather  Accessories;(+65) 6732-4119;;;;14, Scotts Road #02-101 Far East Plaza Singapore 228213;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Aiwah Bag Manufacturer;Singapore Bags Company Suppliers of Carrier Bags, Conference Bags, Pouches, Children Bags, Specialty Bags, Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A65/aiwah_bag_manufacturer.htm;Carrier Bags, Conference Bags, Pouches,  Children Bags, Manufacturers, Wholesalers;(+65) 6282-9555;(+65) 6285-4952;aiwahbag@pacific.net.sg;;3 Irving Rd #05-01 Singapore 369522;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;
Aldiab Trading Co;Singapore Handbags Trading Company, Handbag Repairs, Leather Handbag Exporters;http://singapore-companies-directory.com/Company_Profiles/A72/aldiab_trading.htm;Handbags, Handbag Repairs, Handbag  Exporters;(+65) 6344-7349;;;;44, Changi Rd Singapore 419703;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
All Bags Store;Singapore Leather Bags Shop Suppliers of Leather Goods, Leather Products, Leather Accessories, Leather Bags;http://singapore-companies-directory.com/Company_Profiles/A76/all_bags_store.htm;Leather Goods, Leather Products, Leather  Accessories;(+65) 6269-1923;(+65) 6397-1176;;;1A, Woodlands Centre Rd #01-48 Singapore 731001;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Alley Handbag Industries;Singapore Handbag Manufacturers, Handbag Wholesalers, Distributors, Handbags Wholesalers, Distributors, Fashion Accessories;http://singapore-companies-directory.com/Company_Profiles/A78/alley_handbag_industries.htm;Handbag Manufacturers, Handbag  Wholesalers, Distributors;(+65) 6284-1697;(+65) 6281-2457;;;2A Braddell Rd Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Anvisage Gifts;Singapore Corporate Gifts Suppliers of Leather Products, Leather Bags, Leather Pouches, Leather Computer Accessories;http://singapore-companies-directory.com/Company_Profiles/A112/anvisage_gifts.htm;Corporate Gifts, Leather Products,  Leather Bags, Leather Pouches, Computer Accessories;(+65) 6536-5228;;;;195 Pearl's Hill Terrace #02-55 Singapore 168976;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Art Paper Bag Company;Singapore Packaging Company suppliers of Paper Bags, Packaging, Gift Boxes, Custom-made Paper Bags, Name Cards, Paper Gift Boxes, Plain Paper Bags;http://singapore-companies-directory.com/Company_Profiles/A130/art_paper_bag.htm;Paper Bags, Packaging, Gift Boxes;(+65) 6338-7733;(+65) 6337-0510;;;7 Kallang Pl #02-11 Singapore 339153;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Auling Ventures Singapore Plc;We are a China, Singapore joint venture involved in the development and marketing of tea and coffee filter paper. Suppliers of Heat Seal Tea bags, Filter Papers;http://singapore-companies-directory.com/Company_Profiles/A162/auling_ventures_singapore.htm;Heat Seal Tea bags, Filter Papers;(+65) 9031-1702;;;;10 Anson Way Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Bags Trading;Singapore Trading Company Suppliers of Leather Bags, Leather Handbags, Leather Luggage, Leather Goods, Leather Products, Leather Accessories;http://singapore-companies-directory.com/http://singapore-companies-directory.com/SCD%20New/Company_Profiles/B6/bags_trading.htm;nan;nan;nan;nan;nan;nan;nan;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;nan
Ban Teck Hin Pte Ltd;Singapore Bags Company Suppliers of Bags, Handbags, Luggage, Burlap Bags, Canvas Bags, Cotton Bags;http://singapore-companies-directory.com/Company_Profiles/B13/ban_teck_hin.htm;Bags, Handbags, Luggage;(+65) 6479-3171;(+65) 6475-0874;;;10 Changi Charn Rd  Singapore 159639;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Bee Lian Plastic Industries Pte Ltd;Singapore Plastic Packaging Manufacturers of Plastic Products, Plastic Carrier Bags, Vest Type Carriers, Shoppers Bags, T-Shirts Bags, Punched Hole Carriers, Merchandise Bags, Cascade Bags, - Layflat tubings, Centrefold Sheets;http://singapore-companies-directory.com/Company_Profiles/B26/bee_lian_plastic.htm;Plastic Products, Plastic Carrier Bags,  Plastic Packaging;(+65) 6482-5335;(+65) 6443-3168;bschua@pacific.net.sg;;23 Jalan Lokam Singapore  Singapore 537869;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;
BHG (Singapore) Pte Ltd;"Singapore Department Store Chain with four stores in Bugis, Choa Chu Kang, Bishan & Tampines. Owned by the Beijing Hualian Group; product categories include apparel, beauty, shoes & bags, fashion accessories, health & sports goods";http://singapore-companies-directory.com/Company_Profiles/B42/bhg_singapore.htm;Department Stores, Retailers;(+65) 6223-2222;;career@bhgsingapore.com.sg;;230 VICTORIA STREET #03-01 BUGIS JUNCTION  Singapore 188024;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;
C & K Marketing Pte Ltd;Singapore providers of corporate gifts and souvenirs, Advertising & Promotion Products, Arts & Crafts, Bags, Pouches, Books, Organisers, Business Gifts, Calendars, Car Accessories, Clocks & Watches, Computer & IT Products, Drinkware, Electronic Devices, Festive Gifts Food baskets, Games, Toys, Playing Cards, Inflatables, Golf Products, Healthy Life Products, Housewares, Tools, Jewellery, Keychains, Purses, Photo frames, Recognition Awards, Trophies, Sporting Goods, ravel Accessories, Umbrellas, Wedding Gifts, Writing Instruments;http://singapore-companies-directory.com/Company_Profiles/C1/c_k_marketing.htm;Gifts, Souvenirs, Silk-Screen, Laser  Imprint, Hot-Stamp, Embroidery;(+65) 6741-7797;(+65) 6741-7775;cheng@ckmark.com;;180 Paya Lebar Road #07-06 Yi Guang Factory  Building  Singapore 409032;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;ALAN CHUA
Caline Leather Products Pte Ltd;Singapore Leather Company Specialists in customizing, designing and manufacturing PU and Leather, mainly cow hide, products. Suppliers of Leather Gifts, Leather Bags, Leather Souvenirs, Leather Coin Pouches, Leather Key Holders, Leather Folders, Leather Overnighters;http://singapore-companies-directory.com/Company_Profiles/C9/caline_leather.htm;Leather Gifts, Leather Souvenirs, Coin  Pouches, Key Holders, Folders,  Overnighters;(+65) 6294-6683;(+65) 6295-0761;sales@caline.com.sg;;Block 26 Kallang Place #06-06/07  Singapore 339157;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;SIMON YEO
Celeste Fashion International Pte Ltd;Singapore Fashion Products Company Suppliers of Fashion Fabrics, Fashion Accessories, Leather, Fur, Fashion Dresses, Fashion Blouses Fashion Skirts, Fashion Bags;http://singapore-companies-directory.com/Company_Profiles/C24/celeste_fashion_international.htm;Fashion Fabrics, Fashion Accessories,  Leather, Fur,;;;;;2 Jurong East St 21, #01-115A,  Singapore 689528;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Champion Shoe Company;Singapore Suppliers of Bags, Clothing, Belts, Fashion Accessories, Handbags, Shoes, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/C30/champion_shoe.htm;Bags, Clothing, Belts, Fashion  Accessories, Handbags, Shoes;(+65) 6532-2812;(+65) 6532-2812;;;101 Upper Cross Street, #02-28 People's Park Centre  Singapore 058357;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chan Yew Leather Bags Manufacturers;Singapore Suppliers of Reptile Skin Products, Wholesalers, Manufacturers, Distributors, Crocodile Skin Products, Fashion Services, Leather Goods, Leather Goods Repair, Reptile Skin Products, Snakeskin Products;http://singapore-companies-directory.com/Company_Profiles/C32/chan_yew_leather_bags.htm;Crocodile Skin Bags, Reptile Skin Bags,  Snakeskin Bags;(+65) 6748-9679 (+65) 6744-8832;(+65) 6744-8838 (+65) 6744-8832;;;65 Sims Avenue #07-09 Yi Xiu Fty Building  Singapore 387418;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Charles & Keith (Singapore) Pte Ltd;"Singapore Chain of concept stores that retail shoes and bags; has stores in Singapore, Australia, Japan, Indonesia, India, Thailand, UAE, Brunei Darassalum, Mauritius, Myanmar, Taiwan, Turkey, New Zealand, Greece, Egypt, and Saudi Arabia. Retailers of Footwear, Shoes, Bags, Fashion Accessories";http://singapore-companies-directory.com/Company_Profiles/C36/charles_keith.htm;Retail Chains, Footwear, Shoes, Bags,  Fashion Accessories;(+65) 6221-1814 (+65) 6488-2688;(+65) 6488-1649;customers@charleskeith.com;;165 Tanjong Pagar Road  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;
Cheong Meng Plastic Manufacturers Pte Ltd;Singapore Plastics Company Suppliers of Plastic Bags, Plastics Fabrics, Plastic Films, Plastic Packaging;http://singapore-companies-directory.com/Company_Profiles/C45/cheong_meng_plastic.htm;Plastic Bags, Plastics Fabrics, Plastic  Films,;(+65) 6747-4327;(+65) 6747-5094;;;8 Lor Bakar Batu #02-08  Singapore 348743;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Cheong Seng Transport & Trading Company;Singapore Plastic Trading Company Suppliers of Plastics Machinery, Plastic Materials, Plastic Scrap, Polyethylene (PE) Foam, Plastics Scrap, Used Plastic Machinery;http://singapore-companies-directory.com/Company_Profiles/C45/cheong_seng_transport.htm;Plastics Machinery, Plastic Materials,  Plastic Scrap, Polyethylene (PE) Foam;(+65) 6265-1088 (+65) 6266-3828;(+65) 6266-3834 (+65) 6266-3828;;;85 Second Lok Yang Rd  Singapore 628161;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chien Fatt Polymer Industry Pte Ltd;Singapore Plastics Company Suppliers of Plastics Bags, Plastic Products, Polypropylene Sheets, Plastics Products (Finished) Wholesalers, Plastics Manufacturers, Plastics Distributors, Plastics Suppliers;http://singapore-companies-directory.com/Company_Profiles/C50/chien_fatt_polymer.htm;Plastics Bags, Plastic Products,  Polypropylene Sheets;(+65) 6265-8589;(+65) 6261-6891;;;28 Kian Teck Dr  Singapore 628845;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chin Giap Soon Trading Pte Ltd;Singapore Paper Products Trading Company Suppliers of Paper Bags, Disposable Paper Cups, Paper Cores, Paper Plates, Paper Labels, Paper Towels, Paper Wipes, Disposable Paper Tableware, Paper Cores, Paper Plates, Paper Products, Paper Tags, Paper Towels, Paper Wipes;http://singapore-companies-directory.com/Company_Profiles/C52/chin_giap_soon_trading.htm;Paper Bags, Disposable Paper Cups, Paper  Cores, Paper Plates, Paper Labels, Paper Towels, Paper Wipes;(+65) 6742-2705 (+65) 6297-0075;(+65) 6747-6149 (+65) 6296-4802;;;298 Beach Road, #02-12 Raffles Hospital  Singapore 188770;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chin Hin Plastic Manufacturer;Singapore Plastic Bags Company Suppliers of Polyethylene Bags, Plastic Bags, T-shirt Bags, Shopping Bags, Garbage Bags. Manufacture plastic shopping bags, high density polyethylene bags, garbage bags, bags on roll, fruit bags, T-shirt Bags, Shopping Bags, Garbage Bags, Bag On Rolls, Produce Rolls, T 'shirt Bag On Rolls, Candy Stripe Bags, Garbage Bags, Coreless Kitchen Tidy Bags, Glue Spot Singlet Bags, Easy Open T 'shirt Bags, Cascade Blocked Bags, Vest Type Carrier Bags;http://singapore-companies-directory.com/Company_Profiles/C52/chin_hin_plastic.htm;Polyethylene Bags, Plastic Bags, T-shirt Bags,  Shopping Bags, Garbage Bags;(+65) 6368-4161;(+65) 6367-8599 (+65) 6367-8593;chin@cyberway.com.sg;;17 Sungei Kadut Way  Singapore 728776;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;Manager;Jason Lim Sales
Chin Hong Printing Pte Ltd;Singapore Packaging Printing Company Suppliers of Paper Bags, Printers, Printing Services, Printing Supplies;http://singapore-companies-directory.com/Company_Profiles/C52/chin_hong_printing.htm;Paper Bags, Printers, Printing Services,  Printing Supplies;(+65) 6861-8105;(+65) 6861-1335;;;16 Joo Koon Circle  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chin Tai & Co;Singapore Company Suppliers of Artificial Leather Dealers, Gift Shops, Gifts, Leather Bags, Leather Gift Items, Leather Luggage;http://singapore-companies-directory.com/Company_Profiles/C53/chin_tai.htm;Artificial Leather Dealers, Gift Shops,  Gifts, Leather Bags, Leather Gift Items,  Luggage;(+65) 6482-3174;(+65) 6482-3610;;;Blk 6001 Ang Mo Kio Industrial Park 3 #01-576  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chuan Hiap Hoe & Co;Singapore Bags Company Suppliers of Burlap Bags, Canvas Bags, Cotton Bags Dealers, Packaging Materials, Bags-Burlap, Canvas & Cotton-Dealers;http://singapore-companies-directory.com/Company_Profiles/C69/chuan_hiap_hoe.htm;Burlap Bags, Canvas Bags, Cotton Bags  Dealers, Packaging Materials;(+65) 6762-2512 (+65) 6481-2561;(+65) 6762-2512 (+65) 6481-2561;;;Blk 5031 Ang Mo Kio Ind Pk 2 301-  Singapore 569534;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chuan Hoe Hin & Co;Singapore Packaging Company Suppliers of Bags, Package Materials, Packaging Materials, Paper Bags, Paper Products, Plastic Bags, Plastic Products;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_hoe_hie.htm;Bags, Package Materials, Packaging  Materials,;(+65) 6747-4098;(+65) 6742-3523;;;3018, Bedok Nth St 5  Singapore 486132;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chuan How Hin & Co;Singapore Plastic Packaging Company Suppliers of Transparent Bags, Plastic Package Materials, Plastic Packaging Materials, Plastic Bags, Transparent Packaging Products, Plastic Bags, Plastic Products;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_how_hin.htm;Plastic Bags, Transparent Package  Materials, Packaging Materials;(+65) 6747-4098;(+65) 6742-3529;;;Blk 1017 Eunos Ave 4 #01-08  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chye Lee (Polythene) Enterprise;Singapore Plastics Company Suppliers of Polyethylene Materials, Plastic Products, Polyethylene Products;http://singapore-companies-directory.com/Company_Profiles/C76/chye_lee_polythene_enterprise.htm;Polyethylene Materials, Plastic Products;(+65) 6224-8958;(+65) 6224-8958;;;Blk 53 Tiong Bahru Rd #01-28  Singapore 162053;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
Chye Lian Hin Plastic Industries;Singapore Plastic Bags Manufacturers & exporters of Polyethylene Bags, High Density Polyethylene (HDPE) Bags, Plastic Food Containers, High Density Polyethylene (HDPE): Vest Carrier Bags, Bottom Sealed Plastic Bags with Die Cut Handle, Plastic Bags on Roll, Dust Bin Liner. Polypropylene (PP): Food Grade Disposable Plastic Containers.;http://singapore-companies-directory.com/Company_Profiles/C76/chye_llian_hin_plastic_industries.htm;High Density Polyethylene (HDPE) Bags,  Disposable Plastic Containers;(+65) 6561-3666;(+65) 6561-3668;clh.plastic@pacific.net.sg;;51 Bukit Batok Crescent #04-01 Unity Centre  Singapore 658077;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Online;;Tan Chye Hock
Cintas Enterprises Pte Ltd;Singapore Packaging Company Suppliers of Plastic Bags, Package Materials, Packaging Materials, Paper Merchants, Paper Agents , Paper Products, Plastic Bags, Plastic Products, Polyethylene Bags, Polyethylene Carriers, Polyethylene Sacks, Polyethylene Products, Polypropylene Bags;http://singapore-companies-directory.com/Company_Profiles/C77/cintas_enterprises.htm;Plastic Bags, Package Materials,  Packaging Materials;(+65) 6456-0862;(+65) 6457-5689;;;26 Tagore Lane, Sindo Industrial Estate  Singapore 787482;singapore-companies-directory.com;Other Lifestyle (All categories);Bags and Travel Accessories;Offline;;
