name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Angsana Resorts & Spa;Angsana is a hotel brand that caters to the modern traveler seeking style and authenticity. Comprising contemporary and chic retreats.;http://singapore-companies-directory.com/Company_Profiles/A107/angsana_resorts_spa.htm;Hotels & Resorts, Spas, Wellness Centres;(+65) 6849-5888;(+65) 6462-2463;corporate@angsana.com;;211 Upper Bukit Timah Road Singapore 588182;singapore-companies-directory.com;Travel;Hotels;Online;;
Aqueen Hotels Pte Ltd;Singapore Hotels, A Singapore-owned chain of hotels, offers executive class hospitality to business and leisure travelers, with its comfortably appointed rooms in a choice of four convenient locations near the main business and shopping belts.;http://singapore-companies-directory.com/Company_Profiles/A120/aqueen_hotels.htm;Singapore Hotels;(+65) 6488-4688;;sales@aqueenhotels.com;;Albert Leong  23 Tai Seng Drive Singapore 535224;singapore-companies-directory.com;Travel;Hotels;Online;;Albert Leong 
Ask School Of Management (S) Pte Ltd;Singapore Hotel Training Company providing quality hospitality and hotel education, and it takes great pride in offering an industry based curriculum that is supported by and innovative teaching methods.;http://singapore-companies-directory.com/Company_Profiles/A149/ask_school.htm;Education, Schools;(+65) 6339-9204;;info@askedu.com.sg;;Steven Ang  103 Beach Rd #07-01 Singapore 189704;singapore-companies-directory.com;Travel;Hotels;Online;;Steven Ang 
Balestier Students' Hostel (S) Pte Ltd;Singapore Student Accommodation. A 4-storey building situated at the junction of Boon Teck Road and Balestier Road. It was founded more than 30 years ago and is registered with the Government of Singapore. The Hostel is very spacious, well-equipped and professionally managed to cater to the needs of foreign students from countries in this region.;http://singapore-companies-directory.com/Company_Profiles/B8/balestier_students_hostel.htm;Education, Accommodation;(+65) 6251-8588;(+65) 6352-4668;admin@bshostel.com;;12, Boon Teck Rd Shaw Corner  Singapore 329586;singapore-companies-directory.com;Travel;Hotels;Online;;
Bayview Hotel Singapore;"Singapore Hotel close to Singapore's central business district; has 131 guest rooms with IDD phones, voice mail, TV, minibar, safe & Internet facilities; facilities: sauna, gym, rooftop swimming pool, six function rooms";http://singapore-companies-directory.com/Company_Profiles/B18/bayview_hotel_singapore.htm;Singapore Hotels;(+65) 6337-2882;;;;30 Bencoolen Street  Singapore 189621;singapore-companies-directory.com;Travel;Hotels;Offline;;
Beach Hotel Pte Ltd;Singapore Hotel within walking distance of Suntec City, Raffles City & Bugis Junction. Standard, superior & deluxe rooms, with airconditioning, TV, fridges, IDD phones;http://singapore-companies-directory.com/Company_Profiles/B20/beach_hotel.htm;Singapore Hotels;(+65) 6336-7712;(+65) 6336-7713;sales@beachhotel.com.sg;;95, Beach Rd  Singapore 189699;singapore-companies-directory.com;Travel;Hotels;Online;;JENNIFER TAY
Berjaya Hotel Singapore;"Luxury Singapore Hotel in the heart of Chinatown with the elegance and opulence of the colonial era; has around 50 rooms with individually controlled air-conditioning, minibar. Facilities include Italian-Mediterranean restaurant, business centre";http://singapore-companies-directory.com/Company_Profiles/B34/berjaya_hotel_singapore.htm;Hotels In Singapore;(+65) 6227-7678;(+65) 6227-1232;berhotel@berjayahotel.com.sg;www.berjaya.com.sg;83 Duxton Road  Singapore 089540;singapore-companies-directory.com;Travel;Hotels;Online;;JOCELYN GWEE
Betel Box Backpackers Hostel;"Singapore Hostel offers dormitory accommodation & double rooms; facilities: large & cosy communal areas with kitchen, sound system, library, hot & cold showers, airconditioning, organises tours, entertainment";http://singapore-companies-directory.com/Company_Profiles/B40/betel_box_backpackers.htm;Hostels, Guesthouses, Hotels In Singapore;(+65) 6247-7340;;info@betelbox.com;;200 Joo Chiat Road  Singapore 427471;singapore-companies-directory.com;Travel;Hotels;Online;;
Bintan Lagoon Resort;Bintan Resorts is an idyllic getaway located just a 45 minute catamaran ride away from Singapore. With extensive meeting facilities and a variety of outdoor locations, Bintan Lagoon Resort offers the perfect setting for private parties, corporate meetings, conferences, incentive trips and teambuilding events.;http://singapore-companies-directory.com/Company_Profiles/B46/bintan_lagoon_resort.htm;Hotels, Resorts, Spas, Tourism;(+65) 6750-2280;(+65) 6534-5157;mice@bintanlagoon.com;;600 North Bridge Road #08-08 Parkview Square  Singapore 188778;singapore-companies-directory.com;Travel;Hotels;Online;;
Bintan Resorts International Pte Ltd;Bintan Resorts Indonesia, an ideal twinning destination for a business meeting in one and an idyllic island retreat in the other, without the hassle of additional flights. exclusive top-level management meeting, company event or function, rejuvenating spa treats, challenging golf games and a host of outdoor activities and nature and heritage tours.;http://singapore-companies-directory.com/Company_Profiles/B46/bintan_resort_international.htm;Hotels, Resorts, Spas, Tourism;(+65) 6389-3899;(+65) 6296-5665;bintan@bintan-resorts.com;;991B Alexandra Road #04-08  Singapore 119970;singapore-companies-directory.com;Travel;Hotels;Online;;Jimmy Tan Executive - Destination Marketing
