name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Ah Nam Optical Corporation Pte Ltd;Singapore Opticians, Optometrists, Optical Goods. Trading, retail & wholesale of optical frames & sunglasses;http://singapore-companies-directory.com/Company_Profiles/A55/ah_nam_optical.htm;Opticians, Optometrists, Optical Goods;(+65) 6535-3106;(+65) 6535-7237;;;Chia Geok Lian Sales & Marketing Manager  Blk 531A Upper Cross Street #03-102/108 Hong Lim Complex Singapore 051531;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Offline;Manager;Chia Geok Lian Sales & Marketing
Amo Singapore Pte Ltd;Singapore Medical Optics Company Suppliers of Optical Equipment. We offer the widest range of proven refractive technologies for myopia, hyperopia, astigmatism, presbyopia, cataract, spherical aberration and corneal health.;http://singapore-companies-directory.com/Company_Profiles/A96/amo_singapore.htm;Medical Optics, Optical Equipment;(+65) 6844-8833;(+65) 6844-8884;scott.catlin@amo-inc.com;;150 Beach Road Singapore 189720;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;;
Anco Optics & Contact Lenses;Singapore Opticians, Optometrists, Suppliers of Optical Goods, Contact Lenses;http://singapore-companies-directory.com/Company_Profiles/A100/anco_optics_contact.htm;Opticians, Optometrists, Optical Goods;(+65) 6781-1933;;;;201D, Tampines St 21 #01-1107 Singapore 524201;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Offline;;
Ban Chuan Pte Ltd;Singapore Importers & Exporters of Sunglasses, Reading Glasses, Spectacles;http://singapore-companies-directory.com/Company_Profiles/B10/bab_chuan.htm;Sunglasses, Reading Glasses, Spectacles,  Trading Companies, Importers, Exporters;(+65) 6533-2674;(+65) 6533-2427;banchuan46@gmail.com;;46 North Canal Road  Singapore 059302;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;;Ng Nai Chong Sales Executive
Bausch & Lomb (S) Pte Ltd;Singapore Contact Lens Company Our contact lens offerings span the entire spectrum of wearing modalities and include such well-known brand names as PureVision, SofLens, Boston and Optima. Lens care products, Biotrue and Renu brand of chemical disinfectants for soft contact lenses, Boston line of products for cleaning GP contact lenses. Intraocular lenses and delivery systems featuring the Crystalens, SofPort and Akreos brands of IOLs, Stellaris and Millennium phacoemulsification equipment, surgical instruments, surgical devices;http://singapore-companies-directory.com/Company_Profiles/B18/bausch_lomb.htm;Soft Contact Lenses, Opticians,  Optometrists, Optical Goods Company Profile: Bausch + Lomb is the eye health  company dedicated to Bringing Visionary Ideas to Eye;(+65) 6280-0218;(+65) 6286-0448;safety.asia@bausch.com;;151, Lor Chuan #04-03A New Tech Pk  Singapore 556741;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;;
Carl Zeiss South East Asia;Singapore optical & opto-electronic Company. Consumer optics, ophthalmic products, sports optics, opto-electronics, camera lenses, spectral sensors, Industrial Metrology, Medical Systems, Microscopy;http://singapore-companies-directory.com/Company_Profiles/C17/carl_zeiss_south.htm;Sport Optics, Industrial Metrology,  Medical Systems, Microscopy, Opto-electronics, Camera  Lenses, Optical Systems, Spectral Sensor Systems;(+65) 6741-9600;(+65) 6842-7123;info@zeiss.com.sg;;50 Kaki Bukit Place  Singapore 415926;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;;
Cerium Technology (S) Pte Ltd;Singapore distributor, manufacturer of high-grade Optical Products, Abrasive Pads, Polishing Pads, Surfacing Products, Glazing Products, Optical product machinery, Pad guides;http://singapore-companies-directory.com/Company_Profiles/C28/cerium_technology.htm;Optical Products, Abrasive Pads,  Polishing Pads, Surfacing Products, Glazing Products,  Optical product machinery, Pad guides;(+65) 6430*6768;(+65) 6553-3460;ceriumsingapore@ceriumoptical.com;;7 Temasek Boulevard The Penthouse, #44-01 Suntec  Tower 1  Singapore 038987;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;;
Chai Ming Optical Pte Ltd;Singapore eyewear company designs, manufactures and distributes quality Optical Products, Optical Frames, Optical Lenses, sunglasses, clip-on lenses & ophthalmic frames to consumers via its wide reaching network in East Asia.;http://singapore-companies-directory.com/Company_Profiles/C29/chai_ming_optical.htm;Optical Products, Optical Frames, Optical  Lenses;(+65) 6533-8480;(+65) 6534-4014;chaiming@singnet.com.sg;;50 South Bridge Road #03-00 CMO Building  Singapore 058682;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Online;Secretary;Ho Khek Hon
Ciba Vision Asian Manufacturing And Logistics Pte;Singapore Biotechnology, Pharmaceutical, Research, Optical Products Company manufacturing, repackaging, sales and worldwide distribution of optic products. Biotechnology, Pharmaceutical, Research & Academic Organisations, Pharmaceutical Manufacturing;http://singapore-companies-directory.com/Company_Profiles/C76/ciba_vision_asian_manufacturing_and_logistics.htm;Biotechnology, Pharmaceutical, Research,  Optical Products;(+65) 6511-3888;(+65) 6861-9969;;;133, Tuas Sth Ave 3  Singapore 637550;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Offline;General Manager;Mark Chua
Ciba Vision (Singapore) Pte Ltd;Singapore Manufacturing, trading and distribution of contact lenses and lens care products (LCP), Optical Goods, Contact Lenses, Lens Care Products;http://singapore-companies-directory.com/Company_Profiles/C76/ciba_vision_singapore.htm;Optical Goods, Contact Lenses, Lens Care  Products;(+65) 6732-7188 (+65) 6826-2828;(+65) 6235-2311 (+65) 6235-8790;;;491B River Valley Rd #03-02  Singapore 248373;singapore-companies-directory.com;Other Lifestyle (All categories);Optical Shops (including Sunglasses & contact lenses);Offline;;Valerie Lau Country Head
