name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Alton Flowers N Gifts;Singapore Florists, Singapore Flower Suppliers, Singapore Plant Retailers;http://singapore-companies-directory.com/Company_Profiles/A87/alton_flowers.htm;Florists, Flower Suppliers, Plant  Retailers;(+65) 748-1128;(+65) 748-1128;;;2 Joo Chiat Road #01-111, Joo Chiat Complex, Singapore 420002;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
Angelflorist Services;Singapore Florists' Supplies Company. Offer only the finest floral arrangements and gifts, supported by a dynamic and qualified team of professional Flower Designers and a dedicated group of Customer Service Officers.;http://singapore-companies-directory.com/Company_Profiles/A106/angelflorist_services.htm;Florists;(+65) 6820-3338;;links1@angelflorist.com;;20 ayer rajah crescent, #08-01 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Apple Green Florist;Singapore Florists, Flower Suppliers, Plant Retailers. Suppliers of Floral Arrangements, Hand Bouquets, Corporate Gifts, Baby Gifts;http://singapore-companies-directory.com/Company_Profiles/A116/apple_green_florist.htm;Florists, Flower Suppliers, Plant  Retailers;(+65) 6532-6533;(+65) 6438-2386;sales@applegreen.com.sg;;133 New Bridge Road #01-42 Chinatown Point Singapore 059413;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Asia Flora (S) Pte Ltd;Singapore Florists.You simply won't find a better place to order flowers online for any occasion: birthday roses, get well, gift basket, Love & Romance;http://singapore-companies-directory.com/Company_Profiles/A137/asia_flora.htm;Florists, Plants, Flowers;(+65) 6744-1206;(+65) 6744-1207;info@universeflora.com;;85 Genting Lane Singapore 349569;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
B & N Orchid Nursery;Singapore Orchids Farms, Flower Suppliers, Plant Retailers, Exotic Orchid Species;http://singapore-companies-directory.com/Company_Profiles/B1/b&n_orchid_nursery.htm;Orchids Farms, Flower Suppliers, Plant  Retailers;(+65) 6793-7687;;;;51 (plot LCK 55) Lim Chu Kang Lane 9  Singapore 719531;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
Ban Nee Chen Pte Ltd;Singapore Landscape Designers, Landscaping Contractors, Garden Landscapers, Suppliers of Air Purifiers, Aquarium, BBQ's, Camping Equipment, Chemicals, Christmas Trees, Christmas Lighting, Festive Lighting, Doctor Fish Spa Systems, Floral Gifts, Bouquets, Wreaths, Fresh Flowers, Garden Furniture, Gardening Tools, Home Care, Humidifiers & Dehumidifiers, Indoor & Outdoor Wood Treatment, Mesh, Mosquito Control, Plant Stands, Playgrounds, Pots & Planter Boxes, Rubber Tiles, Tools (Hardware), Slab & Pebbles, Soil & Compost, Solar Lighting, Water Features, Plants;http://singapore-companies-directory.com/Company_Profiles/B12/ban_nee_chen.htm;Landscape Designers, Landscaping  Contractors, Garden Landscapers;(+65) 6345-5515;(+65) 6345-6729;enquiry@banneechen.com.sg;;45 Amber Road  Singapore 439886;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Bedok Garden Landscape Construction Pte Ltd;Singapore Landscaping Company, Landscape Gardeners, Building Contractors, Construction Contractors Suppliers of Nursery Plant Stock, Flowers, Plants;http://singapore-companies-directory.com/Company_Profiles/B25/bedok_garden_landscape.htm;Landscaping, Landscape Gardeners,  Nurseries, Flowers, Plants;(+65) 6246-0511;(+65) 6446-5233;bedok_gdn@pacific.net.sg;;2 Bedok South Road Nursery Plot 1  Singapore 469268;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Benelux Flowers & Food Pte Ltd;"Singapore Importer and exporter of fresh food and fresh flowers with HACCP-SAC2 certification in storing, distribution and packing of fresh fruits and vegetables. Supplies to wholesalers, supermarkets, hotels and catering services. Also exporting to ASEAN countries; Malaysia, Brunei, Indonesia, Myanmar and Thailand.";http://singapore-companies-directory.com/Company_Profiles/B31/benelux_flowers_food.htm;Food, Flower Suppliers, Plant Retailers,  Fruits & Vegetables Wholesalers &  Traders, Fruits & Vegetables Importers & Exporters;(+65) 6779-6890;(+65) 6779-7203;info@beneluxproduce.com;;230A, Pandan Loop  Singapore 128416;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Boenga Flowers & Designs;Singapore Florists, Flower Suppliers, Plant Retailers. Does Flower arrangements for weddings, exhibitions;http://singapore-companies-directory.com/Company_Profiles/B58/boenga_flowers_designs.htm;Florists, Flower Suppliers, Plant  Retailers;(+65) 6423-1400;;info@boenga.net;;40 Harding Road,  Singapore 249548;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Bollywood Veggies Pte Ltd;Singapore Health Food Company, Organic Farm Suppliers of Organic Health Food, Florists, Fruit, Flower Suppliers, Plants, Agricultural Products. Produces vegetables & fruits without chemical fertilisers, pesticides, & growth hormones. Offers tours & horticultural courses. Sells 20 types of bananas, medicinal plants. We grow uncommon fruit trees such as crystal fruit, breadfruit and butterfruit, and medicinal trees such as Horse Radish tree, West Indian Pea Tree, basil and gingers;http://singapore-companies-directory.com/Company_Profiles/B59/bollywood_veggies.htm;Organic Health Food, Florists, Fruit,  Flower Suppliers, Plant Retailers, Agricultural  Products;(+65) 6898-5001;(+65) 6898-2013;bollyveg@singnet.com.sg;;100, Neo Tiew Rd  Singapore 719026;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;Ivy Singh-Lim
Bright Garden;Singapore Plants Trading Company Importers & Exporters of Ornamental Plants & Flowers;http://singapore-companies-directory.com/Company_Profiles/B70/bright_garden.htm;Florists, Flower Suppliers, Plant  Retailers, Fruits, Vegetables;(+65) 6481-2018 (+65) 6481-8766;(+65) 6365-3049;;;CF128, Seletar West Farmway 10  Singapore 002879;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
Candy Floriculture Pte Ltd;Singapore importer, exporter and wholesaler of fresh flowers, foliage, tropical and bonsai plants, Foliage, Plants, Live Christmas trees, tools, Pottery, Glassware, Floral foam, Floral design courses, Plant rental and display, Landscape and design;http://singapore-companies-directory.com/Company_Profiles/C12/candy_floriculture.htm;Florists, Fresh Flowers, Foliage,  Tropical Plants, Bonsai;(+65) 6256-6788;(+65) 6250-7760;sales@candy.com.sg;;567 Thomson Road  Singapore 298183;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;Sharon Goh
Chen Wa Landscape Pte Ltd;Singapore Landscape design, construction & maintenance company activities include building koi ponds & filtration, supplying ornamental plants, selling & renting plants. Construction, Garden Tools, Landscape Contractors, Landscape Designers;http://singapore-companies-directory.com/Company_Profiles/C42/chen_wa_landscape.htm;Construction, Garden Tools, Landscape  Contractors, Landscape Designers;(+65) 6565-8622;(+65) 6565-8587;chenwa@singnet.com.sg;http://www.chenwa.com.sg/;51 Bukit Batok Crescent, #08-45 Unity Centre  Singapore 658077;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Chengtai Nursery;Singapore provider of one-stop landscape services, ranging from waterfall, koi pond, timber design works to beautifully designed gardens, created in tropical, Zen, contemporary theme setting or others. In addition, we have a wide selection of garden ornaments and furniture, exquisite Bonsai range, character Rocks and boulders. Landscaping, Ornamental Plants, Bonsai, Fish Ponds, Trellis, Fencing, Timber Furniture, Wooden Decks;http://singapore-companies-directory.com/Company_Profiles/C44/chengtai_nursery.htm;Landscaping, Ornamental Plants, Bonsai,  Fish Ponds, Trellis, Fencing, Timber Furniture, Wooden Decks;(+65) 6765-3333;(+65) 6763-6337;sales@chengtainursery.com;;51 Sungei Tengah Road  Singapore 698997;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;Jasline Tan
Christanio De Florist & Musical Agency;Singapore Florist that provides flowers for wedding, anniversary, birthday, hand bouquets, flower baskets, get well soon, grand opening, love & romance, new born, table arrangement, office arrangement, condolences, Gifts, Florists, Flower Suppliers, Plant Retailers;http://singapore-companies-directory.com/Company_Profiles/C66/christanio_de_florist_musical_agency.htm;Gifts, Florists, Flower Suppliers, Plant  Retailers;(+65) 6286-0085 (+65) 6282-8701;(+65) 6285-4723;info@christanio.com;;756 Upper Serangoon Road #02-51 Upper Serangoon  Shopping Centre  Singapore 534626;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
Christsoning Florist;Singapore Florists Suppliers of Artificial Flowers, Artificial Plant Components, Flowers, Funeral Directors Supplies, Landscaping Contractors, Wedding Services, Wedding Supplies;http://singapore-companies-directory.com/Company_Profiles/C66/christsoning_florist.htm;Artificial Flowers, Artificial Plant  Components, Flowers, Landscaping Contractors, Wedding  Services, Wedding Supplies;(+65) 6270-9800;(+65) 6270-5664;;;124 Bukit Merah Lane 1, #01-144  Singapore 150124;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
D & J Florist;Singapore Florists, Flower Suppliers, Plant Retailers, Suppliers of Gifts, Bridal Supplies, Artificial Flowers, Plant Components, Plant Accessories, Greeting Cards, Flowers, Landscaping Contractors, Wedding Services;http://singapore-companies-directory.com/Company_Profiles/D1/d_j_florist.htm;Florists, Flower Suppliers, Plant  Retailers, Gifts, Bridal Supplies;(+65) 6294-4087;(+65) 6294-9074;;;464 Crawford Lane, #01-05 Crawford Centre  Singapore 190464;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
Chwee Nursery Pte Ltd;Singapore Garden Centre, Plant Nursery Suppliers of Plants, Flowers. Flower Suppliers, Plant Retailers;http://singapore-companies-directory.com/Company_Profiles/C75/chwee_nursery.htm;Nurseries, Flower Suppliers, Plant  Retailers;(+65) 6481-5703;(+65) 6481-5703;;;Lot 107 9 Seletar West Farmway 7  Singapore 798017;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Offline;;
Chye Heng Orchird Garden;Singapore Nurseries, Singapore Flower Suppliers, Singapore Plant Retailers, Wedding Supplies, Wedding Services;http://singapore-companies-directory.com/Company_Profiles/C75/chye_heng_orchird_garden.htm;Nurseries, Flower Suppliers, Plant  Retailers, Wedding Supplies, Wedding Services;(+65) 6449-0585;(+65) 6449-9585;shane@plants.com.sg;;Lot 2011 Bedok Rd  Singapore 460000;singapore-companies-directory.com;Other Lifestyle (All categories);Floral Shops;Online;;
