name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A Pixels Photography Pte Ltd;Singapore Commercial Photographers, one of the largest photography production team in the region. Provides a One Stop solution for photography needs, pre and post production and digital imaging services to internationally renowned advertising agencies.;http://singapore-companies-directory.com/Company_Profiles/A7/a_pixels_photography.htm;Advertising, Marketing and PR, Commercial Photographers;(+65) 6455-0070;(+65) 6458-5670;hr@apixel.com.sg;;159 Sin Ming Road #05-07A Amtech Building Singapore 575625;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Abase Photography Services;Singapore Commercial Photographers. Award-Winning Corporate (Lifestyle/Portraits/Headshots), Industrial, Architecture, Event, Product, Food, Editorial photography services by Singapore professional commercial photographers;http://singapore-companies-directory.com/Company_Profiles/A15/abase_photography.htm;Photographers;(+65) 6725-8055;(+65) 6725-8055;ken@photographers.sg;http://www.singaporephotography.com;40C Hong Kong Street Singapore 059679;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Adimec Electronic Imaging Pte Ltd;Singapore Manufacturers of Industrial Cameras, Video Cameras, Machine Vision Camera, Medical Cameras, Defense Camera. Adimec designs and manufactures high-performance industrial cameras for Equipment Manufacturers worldwide;http://singapore-companies-directory.com/Company_Profiles/A39/adimec_electronic.htm;Industrial Cameras, Video Cameras,  Machine Vision Camera, Medical Camera, Defense Camera;(+65) 6334-1236;(+65) 6334-1436;SalesAP@adimec.com;;190 Middle Road, #17-06 Fortune Centre Singapore 188979;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Akanga Film Productions;Singapore Film Production Company. Supports all kinds of arts activities, from filmmaking and photography, to theatre and performing arts, and to create a cultural link between Asia and Europe.;http://singapore-companies-directory.com/Company_Profiles/A66/akanga_film_productions.htm;Film Production Companies;(+65) 9623-1168;;franborgia@akangafilm.com;;Serangoon Central Singapore 915502;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;Serangoon Central Singapore
Al Studion Pte Ltd;Singapore Commercial Photographers, Photography Studio Photographers- Commercial, Singapore Photo Studio;http://singapore-companies-directory.com/Company_Profiles/A68/al_studion.htm;Commercial Photographers, Photography  Studio;(+65) 6224-2122;;;;20B Ann Siang Rd Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Alan Photo Trading;Singapore Photography Equipment Company Suppliers of Photographic Equipment, Photography Supplies, Photographic Services, Commercial Photographers, Canon Dslr, Kingston Memory Cards, Olympus Digital Cameras, Photo Printers;http://singapore-companies-directory.com/Company_Profiles/A70/alan_photo_trading.htm;Photographic Equipment, Photography  Supplies, Photographic Services;(+65) 6336-0922;(+65) 6338-0269;alanfoto@singnet.com.sg;;Sim Lim Square, 1 Rochor Canal Road #01-38 Singapore 188504;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;Sim Lim Square,
Albert Photo & Departmental Centre Pte Ltd;Singapore Photographic Studio, Photographic Supplies, Photographic Colour Prints & Transparencies;http://singapore-companies-directory.com/Company_Profiles/A71/albert_photo_departmental.htm;Photographic Studio, Photographic  Supplies;(+65) 6235-2815;;;;B1-15 Orchard Towers Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;B1-15
Album Stories;Singapore Publishing Company, Photographic Services Suppliers of Photo Albums, Wedding Albums, Photo Books, Coffee Table Books, Wedding Flush Mount Albums, Photographic Prints and Photo Enlargements;http://singapore-companies-directory.com/Company_Profiles/A71/album_stories.htm;Publishing, Photographic Services, Photo  Albums, Wedding Albums;(+65) 6337-1080;(+65) 6338-0377;sales@albumstories.com;;111 North Bridge Rd #01-09/10 Peninsular Plaza Singapore 179098;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Alex Kaikeong Studio;Singapore Aerial Photographers, Singapore Aerial Photography Studio;http://singapore-companies-directory.com/Company_Profiles/A73/alex_kaikeong_studio.htm;Aerial Photographers, Aerial Photography;(+65) 6222-3467;(+65) 6226-3838;;;315 Outram Rd #05-10 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Alex Photo;Singapore Photo Studio Supplying Photographic Equipment, Photography Supplies, Photographic Services;http://singapore-companies-directory.com/Company_Profiles/A73/alex_photo.htm;Photographic Equipment, Photography  Supplies, Photographic Services;(+65) 6334-0998;;;;111, North Bridge Rd #02-40 Peninsula Plaza Singapore 179098;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Alt.type Pte Ltd;Singapore Photo Library, Graphic Designers, Stock Asian Photographs, Asian Images, Asian Food Photos, Asian Fashion Photography;http://singapore-companies-directory.com/Company_Profiles/A86/alt_type.htm;nan;nan;nan;nan;nan;nan;nan;Other Lifestyle (All categories);Photoshoots;Offline;;nan
Alta Consultants;Singapore Digital Imaging Equipment Company Suppliers of Digital Imaging Equipment, Digital Imaging Supplies;http://singapore-companies-directory.com/Company_Profiles/A86/alta_consultants.htm;nan;nan;nan;nan;nan;nan;nan;Other Lifestyle (All categories);Photoshoots;Offline;;nan
Anggun Andaman;Singapore Wedding Services Company, Bridal Shops, Wedding Catering, Wedding Decorations, Event Photography;http://singapore-companies-directory.com/Company_Profiles/A107/anggun_andaman.htm;Bridal Shops, Wedding Catering,  Bridalwear;(+65) 6334-4045;;;;768 North Bridge Rd Singapore 198736;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Anymotion Pte Ltd;Singapore Movie Equipment Company Suppliers of Recording Studios Equipment, Film Equipment, Motion Control, Highspeed Camera & Unilux Lights, Special effects and film equipment rental, studio rental, professional film crew, production support;http://singapore-companies-directory.com/Company_Profiles/A112/anymotion.htm;Recording Studios, Film Equipment, Motion  Control, Highspeed Camera & Unilux Lights;(+65) 6749-4269;(+65) 6742-3882;anymotion@pacific.net.sg;;80 Genting Lane, #05-09A, Ruby Industrial Complex - Genting Blk Singapore 349565;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Asia Images Group Pte Ltd;Asia Images Group is a full service photo agency based in Singapore. Photo Agency, Photo Archives, Photo Libraries, Photo Studio Rental;http://singapore-companies-directory.com/Company_Profiles/A138/asia_images_group.htm;Photo Agency, Photo Archives, Photo  Libraries, Photo Studio Rental;(+65) 6288-2119;(+65) 6288-2117;info@asia-images.com;;15 Shaw Road #08-02 Teo Building Singapore 367953;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Bats Productions;Singapore Commercial Photographers, Film Makers, Photographic Equipment, Photography Supplies, Photographic Services;http://singapore-companies-directory.com/Company_Profiles/B17/bats_productions.htm;Commercial Photographers, Film Makers;(+65) 6225-4824 (+65) 6227-0877;(+65) 6227-0877 (+65) 6270-8687;;;120, Lower Delta Road #04-02 Cendex Centre  Singapore 169208;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Ben Quick Print Services;Singapore Photo Finishing Services, Photography Supplies, Photographic Services, Printers, Printing Services, Printing Supplies;http://singapore-companies-directory.com/Company_Profiles/B30/ben_quick_print.htm;Photo Finishing Services;(+65) 6327-1373;;;;80, Anson Rd #02-01 I B M Towers  Singapore 079907;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Offline;;
Boon & Co Pte Ltd;Singapore Electronics Retailers & Electronics Wholesalers of Electronics Equipment, Electrical Appliances, Cameras, Photographic Equipment, Computers, Electrical Equipment;http://singapore-companies-directory.com/Company_Profiles/B61/boon.htm;Electronics, Electrical Appliances,  Cameras, Photographic Equipment, Computers;(+65) 6534-3030;(+65) 6533-0308;boonco@pacific.net.sg;;No. 5 Pereira Road #01-02 Asiawide Industrial  Building  Singapore 368025;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;Managing Director;Patrick Tay
Bronco Media House;Singapore Video Production Company, Video Production Services. A customer focused boutique production facility that provides digtial video, animation and digital photography services.;http://singapore-companies-directory.com/Company_Profiles/B73/bronco_media_house.htm;Video Production Services, DVD-VCD  Recording Services, Video Production  Services;(+65) 6338-7248;(+65) 6338-7184;info@broncomedia.com;;47, Beach Rd Kheng Chiu Building  Singapore 189683;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Camera Rental Centre;Singapore Suppliers of Photographic Equipment, Projectors, DSLR, lenses, HD Cameras, Video cameras. Canon Digital SLR's and Lenses, Nikon Digital SLR's and Lenses, Photography Studio for Shoots and Meetings;http://singapore-companies-directory.com/Company_Profiles/C11/camera_rental_centre.htm;Photography, Photographic Equipment, DSLR,  lenses, HD Cameras, Video Cameras;(+65) 6536-9878;;kenny@camerarental.biz;;32 A/B South Bridge Road  Singapore 058667;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Casio Singapore Pte Ltd;Singapore Electronic Equipment Company Suppliers of Digital Cameras, Watches, Electronic Musical Instruments, Calculators, Label Printers, Cash Registers, Projectors, Handheld Terminals, Electronics Suppliers;http://singapore-companies-directory.com/Company_Profiles/C21/casio_singapore.htm;Digital Cameras, Watches, Electronic  Musical Instruments, Calculators, Label Printers, Cash  Registers, Projectors, Handheld Terminals;(+65) 6481-8891 (+65) 6481-9953;(+65) 6338-3232;info@casio.com.sg;http://www.casio-intl.com;10 Ang Mio Kio Street 65 #02-08 Techpoint  Singapore 569059;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
Cathay Photo Store (Pte) Ltd;Singapore Camera Store Suppliers of Digital Imaging Equipment & Supplies Compact Cameras, SLRs, Medium & Large Format Cameras, Digital Camera Backs, Camcorders, Tripods, Flashes, Lenses, Filters, Binoculars, Studio, Darkroom Equipments, Printers, Films, Projectors, Bags, Colour Management Solutions, Dry Cabinets and Photographic Accessories;http://singapore-companies-directory.com/Company_Profiles/C22/cathay_photo_store.htm;Digital Imaging Equipment & Supplies,  Photographic Goods;(+65) 6337-4274 (+65) 6225-3788;(+65) 6339-2807;email@cathayphoto.com.sg;;#01-11/14 Peninsula Plaza  Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Photoshoots;Online;;
