name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A & A Kitchen Equipment Pte Ltd;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/A1/a&a_kitchen_equipment.htm;Kitchen  Equipment, Kitchen Supplies, Kitchen Cabinets;(+65) 6873-0300;(+65) 6873-0400;;;194 Pandan Loop #07-05 Pantech Ind Complex Singapore 128383;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
A T A Marketing Pte Ltd;Singapore Kitchen Equipment Wholesaler and Retailer of Refrigeration Equipment, Domestic Kitchen Refrigerators Refrigeration Supplies - Commercial Refrigerating Equipment -Commercial Refrigeration Parts, Industrial Refrigeration Equipment;http://singapore-companies-directory.com/Company_Profiles/A8/ata_marketing.htm;Kitchen  Equipment, Refrigeration Equipment;(+65) 6345-3318;(+65) 6344-5971;;;52 Joo Chiat Pl Singapore;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
Adremat Pte Ltd;Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils;http://singapore-companies-directory.com/Company_Profiles/A41/adremat.htm;Photo Frames, Metal Vases, Candles with  Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oil;(+65) 6385-7238;(+65) 6745-7333;;;Ricky Teo  5 Buangkok Green, #04-06 Singapore 539748;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;Ricky Teo  5 Buangkok Green, #04-06 Singapore 539748
Advanced Kitchen Equipment Pte Ltd;Singapore Hotel Equipment, Hotel Supplies Company Suppliers of Commercial Kitchen Equipment, Commercial Kitchen Supplies;http://singapore-companies-directory.com/Company_Profiles/A44/advanced_kitchen.htm;Hotel Equipment, Hotel Supplies;(+65) 6741-8602;(+65) 6741-9717;;;80 Genting Lane #05-02 Singapore 389908;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
Alco Corporation Pte Ltd;Singapore Furniture Company Suppliers of Kitchen Furniture, Office Furniture, Trading Companies, Furniture Importers, Furniture Exporters;http://singapore-companies-directory.com/Company_Profiles/A72/alco_corporation.htm;Kitchen Furniture, Office Furniture,  Trading Companies, Importers, Exporters;(+65) 6252-9211;(+65) 6252-9200;lyne@alco-corp.com;;Lyne Tan  15 Sungei Kadut Way Singapore 728775;singapore-companies-directory.com;Furniture;Kitchen & Dining;Online;;Lyne Tan  15 Sungei Kadut Way Singapore 728775
Ali Spa;Singapore Kitchen Equipment Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets, Kitchen Equipment & Supplies - Commercial Kitchen Equipment;http://singapore-companies-directory.com/Company_Profiles/A74/ali_spa.htm;Kitchen Equipment, Kitchen Supplies,  Kitchen Cabinets;(+65) 6581-0048;;;;205, Balestier Rd #05-02 Ruby Plaza Singapore 329682;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
Allied Catering Equipment;Singapore Kitchen Equipment Company Suppliers of Refrigeration Equipment, Catering Equipment, Snack Equipment, Bakery Equipment, Pizza Equipment, Kitchen Equipment & Supplies - Commercial, Caterers Equipment & Supplies;http://singapore-companies-directory.com/Company_Profiles/A80/allied_catering_equipment.htm;Refrigeration Equipment, Catering  Equipment, Snack Equipment, Bakery Equipment, Pizza  Equipment;(+65) 6479-1385;(+65) 6479-7876;;;Blk 15 Lor 8 Toa Payoh #03-02 Singapore 319262;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;Blk 15 Lor 8 Toa Payoh #03-02 Singapore 319262
Allwell Enterprise Pte Ltd;Singapore Kitchenware Company Suppliers of Kitchen Equipment, Kitchen Supplies, Kitchen Cabinets;http://singapore-companies-directory.com/Company_Profiles/A82/allweell_enterprise.htm;Kitchen Equipment, Kitchen Supplies,  Kitchen Cabinets;(+65) 6556-2152;;;;5022, Ang Mo Kio Ind Pk 2 Singapore 569525;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
Annex Automation;Singapore Suppliers of Weight Scales, Weighing Balances, Weighing Scales, Weighing Balances, Scales Repair, Scales Calibration;http://singapore-companies-directory.com/Company_Profiles/A109/annex_automation.htm;Weight Scales, Weighing Balances;(+65) 6741-6558;(+65) 6741-7796;;;180 Paya Lebar Rd #03-01 Yi Guang Factory Building Singapore 409032;singapore-companies-directory.com;Furniture;Kitchen & Dining;Offline;;
Annex Microsystems;Singapore Suppliers of Weighing Scales, Weighing Balances, Scales Repair, Scales Calibration, Bench Platform Weighing Counting Scales, Load cells, Weights Indicators;http://singapore-companies-directory.com/Company_Profiles/A110/annex_microsystems.htm;Weighing Scales, Weighing Balances;(+65) 6744-4866;(+65) 6745-2061;sales@annexmicrosystems.com;;65 Sims Ave #08-09 Postal Code Singapore 387418;singapore-companies-directory.com;Furniture;Kitchen & Dining;Online;;
