name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A & P Maintenance Services Pte Ltd;Singapore Janitorial Services, Janitors Supplies, Cleaning Company, Housekeeping, Cleansing Company Profile: Cleaning company, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A2/a&p_maintenance_services.htm;Janitorial  Services, Janitors Supplies, Cleaning Company, Housekeeping,  Cleansing;(+65) 6747-3538;(+65) 6744-3108;christabel@ap-group.com.sg;;Christabel Wee Secretary  50 Genting Lane #04-01 Cideco Industrial Complex Singapore 349558;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;Christabel Wee Secretary 
Absolute Maintenance Services Pte Ltd;Singapore Janitorial Services, Housekeeping, Cleansing, Cleaning Services, Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A20/absolute_maintenance.htm;Janitorial Services, Housekeeping,  Cleansing, Cleaning Services, Conservancy Service;(+65) 6742-0308;(+65) 6742-3680;abs@absolute-ms.com.sg;;37 Lorong 23 Geylang #08-03 Yu Li Industrial Building Singapore 388371;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Acteff Cleaning Specialists Pte Ltd;Singapore Janitorial Services Company Suppliers of Janitors Supplies, Housekeeping, Cleaning Services, Janitor Services, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A32/acteff_cleaning_specialists.htm;Janitorial Services, Janitors Supplies,  Housekeeping, Cleaning Services;(+65) 6747-7778;(+65) 6749-1753;anp@ap-group.com.sg;;50 Genting Lane #04-01 Cideco Industrial Complex Singapore 349558;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Aik Chuan Construction (Pte) Ltd;Singapore Building Contractors, Concrete Repairs, Janitorial Services, Housekeeping, Cleansing, Desilting & Conservancy Service, Construction Contractors;http://singapore-companies-directory.com/Company_Profiles/A58/aik_chuan_construction.htm;Concrete Repairs, Janitorial Services,;(+65) 6505-6022;(+65) 6505-6066;contact@evanlim.com;;11 Mandai Estate Singapore 729908;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Aj Jetting Pte Ltd;Singapore Janitorial Services, Cleaning Services, Housekeeping, Cleansing, Desilting & Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A65/aj_jetting.htm;Janitorial Services, Cleaning Services;(+65) 6396-8935;(+65) 6396-8936;ajjetting@gmail.com;;56 Upper Weld Road Singapore 207411;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Al Eng. & Construction Service;Singapore Building Contractors, Construction Contractors, Janitorial Services, Janitors Supplies, Housekeeping, Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/A68/al_design_renovation.htm;Building Contractors, Construction  Contractors;(+65) 6392-2041;(+65) 6392-2041;rajaziee@hotmail.com;;1 Sophia Road #03-K44 Peace Centre Singapore 228149;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Aledo Investment Pte Ltd;Fertilizers Manufacturers, Agricultural Supplies, Agricultural Chemicals, Fertilizers Wholesalers, Fertilizers Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/aledo_investment.htm;Fertilizers Manufacturers, Wholesalers,  Distributors;(+65) 6665-2157;;;;12 International Business Pk Singapore;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Offline;;
Alto Danmark A/S;Singapore Cleaning Equipment Manufacturers, Wholesalers, Distributors, Janitorial Services, Cleaning Services;http://singapore-companies-directory.com/Company_Profiles/A87/alto_donmark.htm;Cleaning Equipment Manufacturers,  Wholesalers, Distributors;(+65) 6836-6455;(+65) 6836-6462;;;271 Bt Timah Rd #04-11 Singapore;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Offline;;
Anergy Building Services Pte Ltd;Singapore Janitorial Services, Janitors Supplies, Cleaning Contractors, Contract Cleaning, General House Cleaning, Painting, Carpets Cleaning, Housekeeping, Cleansing, Desilting & Conservancy Service;http://singapore-companies-directory.com/Company_Profiles/A102/anergy_building.htm;Janitorial Services, Janitors Supplies,  Cleaning Contractors;(+65) 6738-4989;(+65) 6738-1231;sales@anergy.com.sg;;1003 Bukit Merah Central #01-06 Technopreneur Centre Singapore 159836;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
Ao Servicepro Pte Ltd;Singapore Landscape Gardeners, Landscaping, Housekeeping, Cleansing, Desilting & Conservancy Services;http://singapore-companies-directory.com/Company_Profiles/A112/ao_servicepro.htm;Landscape Gardeners;(+65) 6287-0177;(+65) 6287-3177;sales@aoservices.com.sg;;58 Lorong 1, Realty Park Singapore 536967;singapore-companies-directory.com;Furniture;Laundry & Cleaning Equipment;Online;;
