name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Aik Hin Hardware Company;Singapore Hardware Company Suppliers of Hardware, Keys & Locks, Fasteners;http://singapore-companies-directory.com/Company_Profiles/A58/aik_hin_hardware.htm;Hardware, Keys & Locks, Fasteners;(+65) 6841-2706;;;;478, Macpherson Rd Singapore 368192;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;
Aik Lee Industries Supply Pte Ltd;Singapore Industrial Supplies Company Suppliers of Hardware, Keys & Locks, Fasteners. Leading exporters, distributors and suppliers with distributing rights to numerous premium products and brands that include VIRO Refuse Chute, ALDEK FRP Grating. RAMSET Products (Ramset Mechanical and Chemical Anchors, Ramset Rotary Hammers, Ramset TrakMaster Automatic Fastening Systems, HELLER drill Bits, Talbor Hand Tools, BOSCH Power Tools, LPS Chemicals, Chemical Aerosols, SAKURA Solid Pait & Paint Markers;http://singapore-companies-directory.com/Company_Profiles/A58/aik_lee_industries.htm;Hardware, Keys & Locks, Fasteners;(+65) 6862-5391;(+65) 6862-2588;sales@aiklee.com.sg;;Tan Kai Beng  8, Tuas Ave 10 Singapore 639132;singapore-companies-directory.com;Furniture;DIY Hardware;Online;;Tan Kai Beng  8, Tuas Ave
Aik Soon Hardware Pte Ltd;Singapore Hardware Suppliers of Hardware, Keys & Locks, Fasteners. Our products complies with BS, ANSI, JIS, DIN & API standards. We are EPPU registered supplier to the Singapore Government.;http://singapore-companies-directory.com/Company_Profiles/A60/aik_soon_hardware.htm;Hardware, Keys & Locks, Fasteners;(+65) 6292-1155;(+65) 6298-6401;aik_soon@pacific.net.sg;;C.C. Quek  803, King George's Ave #02-146 Singapore 200803;singapore-companies-directory.com;Furniture;DIY Hardware;Online;;C.C. Quek  803, King George's Ave
Ajax Sinmal Co;Singapore Hardware Supplies Company Suppliers of Bolts & Nuts, Fasteners, Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A65/ajax_sinmal.htm;Bolts & Nuts, Fasteners, Manufacturers,  Wholesalers, Distributors;(+65) 6382-1686;(+65) 6382-3923;;;12B Yio Chu Kang Rd S Singapore 545525;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;
Alicon Engineering And Supply;Singapore Marine Hardware Company Suppliers of Locks, Hardware, Digital Door Locks, Ship's Door Locks & Ship's Hardware, Door Handles;http://singapore-companies-directory.com/Company_Profiles/A75/alicon_engineering.htm;Locks, Hardware, Digital Door Locks;(+65) 6256-3601;(+65) 6253-6667;;;Yew Seng Tan  393 Balestier Road , Singapore 329798;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;Yew Seng Tan 
All-Wares Supply;Singapore Hardware Company Suppliers of Keys & Locks, Fasteners Hardware Wholesalers, Hardware Distributors;http://singapore-companies-directory.com/Company_Profiles/A77/all_wares_supply.htm;Hardware, Keys & Locks, Fasteners;(+65) 6291-1981;(+65) 6296-0013;allwares@cybrway.com.sg;;25 up Weld Rd Singapore 608579;singapore-companies-directory.com;Furniture;DIY Hardware;Online;;
Ang Hoe Seng Hardware;Singapore Hardware Supplies Company Suppliers of Hardware, Fasteners, Nuts, Bolts;http://singapore-companies-directory.com/Company_Profiles/A103/ang_hoe_seng.htm;Hardware, Fasteners, Nuts, Bolts;(+65) 6743-1114;;;;Blk 3027 Ubi Rd 1 #01-102 Singapore;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;
Aoba Security Technology Pte Ltd;Singapore Lock Systems, Security Systems. AOBA is the sole manufacturer of a revolutionary lock system which allows for reprogramming of any security locks. Product range consists of cam locks, padlocks, office furniture locks, rim locks, cylinders for different types of mortise locks, and other high security products.;http://singapore-companies-directory.com/Company_Profiles/A112/aoba_security.htm;Lock Systems, Security Systems;(+65) 6365-2688;(+65) 6365-5956;enquiry@aoba-st.com;;19 Senoko Avenue Singapore 758308;singapore-companies-directory.com;Furniture;DIY Hardware;Online;;
Aureus Pte Ltd;Singapore Trading Company Suppliers of Clothes, Computers, Bitumen, Electronics, Hardware;http://singapore-companies-directory.com/Company_Profiles/A162/aureus.htm;Trading Companies, Clothes, Computers,  Bitumen, Electronics, Hardware;(+65) 9008-8051;(+65) 6584-3848;;;Khaira Jasbinder  Kaki Bukit Place Singapore 510189;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;Khaira Jasbinder  Kaki Bukit Place Singapore
AWS Bloss Marketing;Singapore Hardware Company Suppliers of Furniture Hardware, Wardrobe Accessories, Cabinet Handles, Castor Wheels, Furniture Legs;http://singapore-companies-directory.com/Company_Profiles/A174/aws_bloss_marketing.htm;Furniture Hardware, Wardrobe Accessories,  Cabinet Handles, Castor Wheels, Furniture Legs;(+65) 6298-2098;;;;50 Serangoon Nth Ave 4 #03-08 Singapore 555856;singapore-companies-directory.com;Furniture;DIY Hardware;Offline;;
