name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A Lee International Pte Ltd;Singapore manufacturer of T-Shirts, Fashion Jewelry, Silver Jewelry & Amber Jewelry, Semi-precious Stones Jewelry. The company makes personalized t-shirts with own factory support.;http://singapore-companies-directory.com/Company_Profiles/A6/a_lee_international.htm;T-Shirts, Fashion Jewelry, Silver &  Amber, Amber Jewelry;(+65) 6766-0500;(+65) 6766-64588;;;Albert Lee  Gangsa Road Singapore 670163;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;Albert Lee  Gangsa Road Singapore
Aceplas Pte Ltd;Singapore Trading Companies, Importers, Exporters. Manufacturer providing direct sales with premium services for all your needs in Cleanroom and ESD safe Packaging products and Clean room Garments. We are also a distributor for Cleanroom materials, ESD Workstations, Laboratory Flooring, ESD Flooring and Equipment.;http://singapore-companies-directory.com/Company_Profiles/A27/aceplas.htm;Trading Companies, Importers, Exporters;(+65) 6259-0069;;sales@aceplas.com.sg;;13, Lor 8 Toa Payoh Braddell Tech Singapore 319261;singapore-companies-directory.com;Mens Fasion;Clothes;Online;;
Actually Pte Ltd;Singapore Boutiques, Fashion Retailers, Fashion Wholesalers, Fashion Manufacturers. An independent Singapore retail store, currently operating 3 concept outlets.;http://singapore-companies-directory.com/Company_Profiles/A34/actually.htm;Boutiques, Fashion Retailers, Fashion  Wholesalers, Fashion Manufacturers;(+65) 6336-7298;;actuallyshop@gmail.com;;29A, Seah St Singapore 188385;singapore-companies-directory.com;Mens Fasion;Clothes;Online;;
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;Sports Equipment, Sport Supplies,  Sporting Goods;(+65) 6538-6200;(+65) 6538-6400;;;3 ANSON ROAD #27-01 Singapore 150168;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Adults Only Private Limited;Singapore Lingerie Company Suppliers of Sexy, Lingerie, Sexy Underwear, Adult Garments, Sleepwear, Playwear;http://singapore-companies-directory.com/Company_Profiles/A41/adults_only_private.htm;Lingerie, Sexy Underwear;(+65) 6219-4528;;;;38, Woodlands Industrial Park E1 #03-16 Singapore 757700;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Advance Apparel Pte Ltd;Singapore Apparel Manufacturer of Dresses, Clothes, Dress Manufacturers, Garment Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A42/advance_apparel.htm;Dresses, Clothes, Dress Manufacturers,  Garment Manufacturers;(+65) 6298-6667;(+65) 6298-0078;;;9, Kallang Pl Kallang Basin Industrial Estate #04-02/4 Singapore 339154;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Advance Development Pte Ltd;Singapore Garments Manufacturer of Clothes, Garments, Garments Manufacturers, Garments Wholesalers, Garments Retailers;http://singapore-companies-directory.com/Company_Profiles/A42/advance_development.htm;Clothes, Garments, Manufacturers,  Wholesalers, Retailers;(+65) 6283-6811;;;;19, Burn Rd Advance Building Singapore 369974;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Advanced Textiles International Pte Ltd;Singapore Garments Company Manufacturers of Tee Shirts Wholesalers, T-Shirt Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A45/advanced_textiles.htm;Tee Shirts Wholesalers, T-Shirt  Manufacturers;(+65) 6733-7022;(+65) 6733-6267;;;20, Bideford Rd Singapore 229921;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Agas Trading Pte Ltd;Singapore Garments Trading Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/A52/agas_trading.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6288-8771;(+65) 6283-7328;;;80, Playfair Rd Kapo Fty BldgNilBlk B Singapore 367998;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
AGE Singapore Pte Ltd;Singapore Trading Company Suppliers of Canned food, olive oil, sugar, denim-woven-knitted garments, socks, home textile, Trading Company. Local offices in Turkey, Latvia and Brazil specialized in bulk commodities and olive oil, textile - denim garments, woven garments, knitted garments, socks, home textiles.;http://singapore-companies-directory.com/Company_Profiles/A52/age_singapore.htm;Canned food, olive oil, sugar,  denim-woven-knitted garments, socks, home textile, Trading  Company;(+65) 8113-6404;(+65) 6346-5920;;;Ayca Arkan Saral  111, North Bridge Road #21-02 Peninsula Plaza Singapore 179098;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;Ayca Arkan Saral  111, North Bridge Road
Ageless Creation;Singapore Garments Company Suppliers of Women's Underwear, Lingerie;http://singapore-companies-directory.com/Company_Profiles/A52/ageless_creation.htm;Women's Underwear, Lingerie;(+65) 6469-8109;;;;170, Up Bt Timah Rd Bt Timah Shopping Centre Singapore 588179;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
AJ's Collection Llp;Singapore Fashion Shop, Boutiques, Fashion Retailers, Fashion Wholesalers, Fashion Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A65/ajs_collection.htm;Boutiques, Fashion Retailers, Fashion  Wholesalers, Fashion Manufacturers;(+65) 6438-8350;(+65) 6438-8350;;;32, New Market Rd #03-1068 People's Park Singapore 050032;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Akbar & Anand Pte Ltd;Singapore Clothing Manufacturers Suppliers of Clothing, Clothes, Garments, Manufacturers, Garments Wholesalers, Garments Retailers;http://singapore-companies-directory.com/Company_Profiles/A66/akbar_anand.htm;Clothing, Clothes, Garments,  Manufacturers, Wholesalers, Retailers;(+65) 6292-5554;;;;234 Serangoon Rd Singapore 218083;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Akzent Bremer (S) Pte Ltd;Singapore Garment Manufacturing Company, Tee Shirts Wholesalers, T-Shirt Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A68/akzent_bremer.htm;Tee Shirts Wholesalers, T-Shirt  Manufacturers;(+65) 6323-0390;(+65) 6323-0740;;;80A/82A, Tg Pagar Rd Singapore 088501;singapore-companies-directory.com;Mens Fasion;Clothes;Offline;;
Al Bismi Centre Pte Ltd;Singapore Garments Company, Boutiques, Fashion Retailers, Fashion Wholesalers, Fashion Manufacturers;http://singapore-companies-directory.com/Company_Profiles/A68/al_bismi_centre.htm;nan;nan;nan;nan;nan;nan;nan;Mens Fasion;Clothes;Offline;;nan
Al-Ghufran Store & Garment;Singapore Garment Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/A69/al_ghufran_store.htm;nan;nan;nan;nan;nan;nan;nan;Mens Fasion;Clothes;Offline;;nan
