name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Advanced Active Associates;Singapore Aquariums Company Suppliers of Aquarium Manufacturers, Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A43/advanced_active_associates.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6276-8842;(+65) 6276-8842;;;131 Jln Bt Merah #01-1571 Singapore 160131;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
All Breeds Pets;Singapore Pet Shop Suppliers of Pet Supplies, Aquarium Manufacturers, Aquarium Equipment, Aquarium Supplies. All Breeds Pets is your one-stop pet shop located near Holland Village. We ourselves are pet lovers and would only bring the best of pet foods, pet supplies, dog treats, aquarium equipment;http://singapore-companies-directory.com/Company_Profiles/A76/all_breeds_pets.htm;Pet Supplies, Aquarium Manufacturers,  Aquarium Equipment, Aquarium Supplies;(+65) 6344-1148;(+65) 6344-1148;;;44 Jalan Merah Saga #01-42/44 Singapore 278116;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Allied Agritrade International;Singapore Trading Company Suppliers of Agricultural Products, Pet Food, Fish meal, Poultry Feeds, Wheat Husk Pellets, Calf Mate Pellets, KL Super Prima Poultry Feeds, Misuma Aquatic Feeds;http://singapore-companies-directory.com/Company_Profiles/A80/allied_agritrade_international.htm;Agricultural Products, Pet Food, Fish  meal;000;;;;Ben Soh  Blk 27 Tuas Ave 13 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;Ben Soh 
Alpha Pets;Singapore Pets Supply Company Suppliers of Pet Shops, Pet Supplies, Pet Products, Dog Foods, Cat Food Manufacturers, Pet Food Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A84/alpha_pet.htm;Pet Shops, Pet Supplies, Pet Products;(+65) 6244-9868;(+65) 6244-9029;;;347, Bedok Rd Singapore 469534;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Alpha Pet Health Pte Ltd;Singapore Pet Supplies Company Suppliers of Dog Foods, Cat Food Manufacturers, Pet Food Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A84/alpha_pet_health.htm;Dog Foods, Cat Food Manufacturers, Pet  Food Wholesalers, Distributors;(+65) 6278-1911;(+65) 6276-1317;;;30 Alexandra Lane #03-02 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Amy Academy Of Animal Arts;Singapore Pet Shops, Singapore Pet Supplies Company, Pet Products;http://singapore-companies-directory.com/Company_Profiles/A98/amy_academy_of_animal.htm;Pet Shops, Pet Supplies, Pet Products;(+65) 6733-0017;;;;2, Hoot Kiam Rd Singapore 249390;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aqua Fauna Fish Industries Pte Ltd;Singapore Aquarium Manufacturers, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A119/aqua_fauna_fish.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6397-0555;(+65) 6397-0880;;;170 Lim Chu Kang Lane 6F Singapore 2471;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aqua Gading Aquarium;Singapore Aquarium Manufacturers, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A119/aqua_gading_aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6583-2368;(+65) 6583-2368;;;Lot 33 Pasir Ris F'way 3 Singapore 510000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;Lot
Aqua Spot Neoprene Products Manufacturer;Singapore Aquarium Manufacturers, Suppliers of Neoprene Sports Equipment, Sport Supplies, Sporting Goods;http://singapore-companies-directory.com/Company_Profiles/A119/aqua_spot_neoprene.htm;Sports Equipment, Sport Supplies,  Sporting Goods;(+65) 6276-7917;;;;203A, Henderson Rd Henderson Ind Pk Singapore 159547;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquacultural F A M E (S) Pte Ltd;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A119/aquacultural.htm;Tropical Fish, Aquarium Fish;(+65) 6481-1266;(+65) 6482-0598;;;15, Seletar West F'way Singapore 798123;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquamarin Aquatic Pets;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A119/aquamarin_aquatic.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6344-7277;(+65) 6344-7277;;;301 Tg Katong Rd Singapore 437084;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquanayural;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquanayural.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6746-9881;(+65) 6746-9881;;;8 Eunos Cres #01-2683 Singapore 400008;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquapet Centre;Singapore Pet Shop Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquapet_centre.htm;Pet Shops, Pet Supplies, Pet Products;(+65) 6466-7175;;;;1, Jln Anak Bukit Bt Timah Plaza Singapore 588996;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquaria Art;Singapore Aquarium Company, Suppliers of Aquariums, Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A120/aquaria_art.htm;Aquariums, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6841-8961;(+65) 6841-9097;;;97 Geylang Rd Singapore 389207;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquaria Exotica;Singapore Aquarium Company, Suppliers of Aquariums, Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A120/aquaria_exotica.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6362-8608;(+65) 6362-8608;;;305 Woodlands St 31 #01-87 Singapore 730305;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquarium 112;Singapore Aquarium Company, Suppliers of Aquariums, Aquarium Equipment, Aquarium Supplies, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6276-9248;(+65) 6276-9248;;;112 Bt Purmei Rd #01-215 Singapore 090112;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquarium City;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_city.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6289-0473;(+65) 6289-0473;;;146 Potong Pasir Ave 1 #01-111/113 Singapore 350146;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquarium Golden Million;Singapore Importer of ornamental fishes Supplier of ornamental fishes for export Breeding & supplier of molly fishes;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_golden_million.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6793-7422;(+65) 6793-7608;;;Ong Choon Lye Director  18 Lim Chu Kang Lane 9 Singapore 710000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;Director;Ong Choon Lye
Aquarium Harmony;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_harmony.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6793-7137;;;;37 Mural F'way Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquarium Iwarna Pte Ltd;Singapore Aquarium Company, Suppliers of Aquariums, Aquarium Equipment, Ornamental Fish, Importers & Exporters. Man-made reefing scene. With state-of-the-art equipments, prudent maintenance and meticulous management, we endeavour to create successful man-made reef environments for delicate reef creatures.;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_iwarna.htm;Aquariums, Aquarium Equipment, Ornamental  Fish, Importers & Exporters;(+65) 6583-3536;(+65) 6583-3036;iwarna@gmail.com;;133, Pasir Ris Dr 12 Singapore 510000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Online;;
Aquarium Liberty (Pte) Ltd;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_liberty.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6481-8421;(+65) 6482-0677;;;10 Seletar West F'way 1 Singapore 798121;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquarium Nautilus;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquarium_nautilus.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6791-6887;(+65) 6791-9161;;;Lot - Neo Tiew Rd Singapore 710000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;Lot - Neo Tiew
Aquastar Aquarium;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquastar_aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6583-8313;(+65) 6583-8313;;;625 Elias Rd #01-328 Elias Mall Singapore 510625;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatechnic Pte Ltd;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatechnic.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6348-0048;(+65) 6348-1735;;;44 Kallang Pl #01-02 Singapore 339172;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatic Connection Aquarium;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatic_concection_aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6842-8164;(+65) 6842-8164;;;53 Sims Pl #01-168 Singapore 380053;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatic Concepts & Solutions Pte Ltd;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatic_concepts.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6459-9883;(+65) 6459-9883;;;301 Up Thomson Rd #02-07 Thomson Plaza Singapore 574408;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatic Marine System;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatic_marine_system.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6753-3807;(+65) 6753-3807;;;925 Yishun Central 1 #01-223 Singapore 760925;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatic Synergy;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatic_synergy.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6294-2210;(+65) 6294-2210;;;219, Jln Besar Singapore 208900;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquatic World;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquatic_world.htm;Tropical Fish, Aquarium Fish;(+65) 6287-5211;(+65) 6287-5211;;;146, Potong Pasir Ave 1 #01-111/113 Singapore 350146;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Aquaunique Centre;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquaunique_centre.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6793-7071;(+65) 6793-7098;;;Lot 28/29 Murai F'way Singapore 700000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;Lot 28/29 Murai F'way Singapore
Aquaworld Tropical Fish Pte Ltd;Singapore Aquarium Company, Import & export of ornamental fishes, marine fishes and aquatic plants;http://singapore-companies-directory.com/Company_Profiles/A120/aquaunique_centre.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6793-7071;(+65) 6793-7098;;;Lot 28/29 Murai F'way Singapore 700000;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;Lot 28/29 Murai F'way Singapore
Aquomeadows Pte Ltd;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A120/aquomeadows.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6762-9582;(+65) 6762-9582;;;67 Sg Tengah Rd Singapore 699008;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Arising Aquarium;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A126/arising_aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6853-5243;(+65) 6853-5243;;;338 Ang Mo Kio Ave 1 #01-1613 Singapore 560338;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Ark Aquatic Enterprise;Singapore Aquarium Company, Suppliers of Aquarium Equipment, Aquarium Supplies, Pet Supplies, Tropical Fish, Aquarium Fish;http://singapore-companies-directory.com/Company_Profiles/A127/ark_aquatic_enterprise.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6564-5055;(+65) 6564-5055;;;526 Jurong West St 52 #01-323 Singapore 640526;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Atlantis Aquatic Lifestyle Pte Ltd;Aquarium Manufacturers, Aquarium Equipment, Aquarium Supplies, Pet Supplies, Interior Designers;http://singapore-companies-directory.com/Company_Profiles/A158/atlantis_aquatic.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies, Interior  Designers;(+65) 6338-7878;(+65) 6569-0378;atlantis@pacific.net.sg;;2 Jurong East Street 21 #03-38 IMM Building Singapore 609601;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Online;;
Atlas Aquarium (S) Pte Ltd;Singapore Tropical Fish Exporters of Marine Fish, Pond Plants, Aquatic Plants, Gold Fish, Tropical Fish, Stone Fish, Black Telescope, Red Crystal Shrimp, Koi Swordtail, Rock Shrimp, Autum Angel, Albino Daimond Angel, Marble Sailfin Molly, Red Oranda, Silver Hatchet;http://singapore-companies-directory.com/Company_Profiles/A158/atlas_aquarium.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6481-8882;(+65) 6481-3012;info@atlasaqm.net;;19, Seletar West Farmway 1 Singapore 798124;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Online;;
Benji Pet Kennel;Singapore Pet Store & Kennel offers a variety of pet products, pet grooming services. Canned Cat Food, Dry Cat Food, Cat Treats, Pet Dental Care Products, Canned Dog Food, Dry Dog Food, Dog Treats, Ear Care, Eye Care, Grooming Products, Pet Hygiene Products, Pet Medications, Pet Beds, Pet Toys, Professional Pet Products, Pet Shampoo, Pet Conditioners, Pet Supplements, Pet Vitamins;http://singapore-companies-directory.com/Company_Profiles/B32/benji_kennel.htm;Pet Services, Pet Supplies, Pet Products;(+65) 6342-3383;(+65) 6342-3313;;;318 Telok Kurau Road  Singapore 423866;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
C & B Aquarium (Pte) Ltd;Singapore Ornamental Fish Importers, Exporters. Suppliers of Aquariums, Aquarium Equipment, Pet Products, Pet Supplies;http://singapore-companies-directory.com/Company_Profiles/C1/c_b_aquarium.htm;Ornamental Fish Importers, Exporters,  Aquariums, Aquarium Equipment, Pet  Products, Pet Supplies;(+65) 6481-0690;(+65) 6481-4629;;;21 Seletar West Farmway 1  Singapore 798125;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
CBKoi.com;Singapore Koi Carp Breeders and Suppliers of ornamental fish. Our farm spreading over 1.8 million sq meters in land area is producing an average of 10 to 15 million fry yearly. Currently we have 50 mudponds sizes ranging from smallest at 1500m to largest at 8500m in surface area for stocking and growing of our CBKoi.;http://singapore-companies-directory.com/Company_Profiles/C22/cbkoi_com.htm;Aquarium Equipment, Pet Products, Pet  Supplies, Aquarium Fish Shops;(+65) 6481-0690;(+65) 6481-0690;andychia@cbkoi.com;;21 Seletar West Farmway 1  Singapore 798125;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Online;;
Century Petz Llp;Singapore Pet Services, Pet Products, Dog Grooming, Cat Grooming, Pet Shops, Pet Supplies, pet sitting services, pet taxi, pet cremation, Canine Dry Food, Feline Dry Food, Feline Cat Litter, Pet Shampoos & Conditioners, Ear & Eye, Pet Dental Hygiene, First Aid, Flea Powder, Tick Powder, Pet Supplements, Pet Accessories, Pet Crates, Pet Treats;http://singapore-companies-directory.com/Company_Profiles/C28/century_petz.htm;Dog Grooming, Cat Grooming, Pet Shops,  Pet Supplies, Pet Services, Pet  Products;(+65) 6100-7389;(+65) 6673-4793;petzevolution@singnet.com.sg;;Blk 960 Jurong West St 92 #01-164  Singapore 640960;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Online;;
Chuan Pets Trading;Singapore Pet Company Suppliers of Aquariums, Aquarium Equipment, Pet Products, Pet Supplies, Aquarium Fish Shops, Aquarium Supplies, Aquarium Tanks, Bird Supplies, Birds, Fish Farm Equipment, Fishing Equipment, Pet Food, Pet Requisites, Pet Services;http://singapore-companies-directory.com/Company_Profiles/C71/chuan_pets_trading.htm;Aquariums, Aquarium Equipment, Pet  Products, Pet Supplies, Aquarium Fish Shops;(+65) 6456-2567;(+65) 6456-2567;;;114 Ang Mo Kio Avenue 4, #01-353  Singapore 560114;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Chuan Pets Trading;Singapore Pet Company Suppliers of Aquariums, Aquarium Equipment, Pet Products, Pet Supplies, Aquarium Fish Shops, Aquarium Supplies, Aquarium Tanks, Bird Supplies, Birds, Fish Farm Equipment, Fishing Equipment, Pet Food, Pet Requisites, Pet Services;http://singapore-companies-directory.com/Company_Profiles/C71/chuan_pets_trading.htm;Aquariums, Aquarium Equipment, Pet  Products, Pet Supplies, Aquarium Fish Shops;(+65) 6456-2567;(+65) 6456-2567;;;114 Ang Mo Kio Avenue 4, #01-353  Singapore 560114;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Chuan Yek Hin Pet Shop;Singapore Pet Company Suppliers of Aquarium Supplies, Aquarium Tanks, Bird Supplies, Birds, Fish Farm Equipment, Fishing Equipment, Pet Food, Pet Requisites, Pet Services;http://singapore-companies-directory.com/Company_Profiles/C71/chuan_yek_hin_shop.htm;Aquarium Manufacturers, Aquarium  Equipment, Aquarium Supplies, Pet Supplies;(+65) 6255-0845;(+65) 6284-6763;;;126 Joo Seng Road, #06-14 Goldpine Industrial  Building  Singapore 368355;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
Oasis Aquarium;Singapore Aquariums Company Suppliers of Aquariums, Aquarium Equipment, Pet Products, Pet Supplies, Aquarium Fish Shops, Aquarium Supplies;http://singapore-companies-directory.com/Company_Profiles/O1/oasis_aquarium.htm;Aquariums, Aquarium Equipment, Pet  Products, Pet Supplies, Aquarium Fish Shops;(+65) 67760166;(+65) 67745469;;;354 Clementi Avenue 2, #01-233  Singapore 120354;singapore-companies-directory.com;Other Lifestyle (All categories);Pet;Offline;;
