name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Adremat Pte Ltd;Singapore Giftware Manufacturer and Exporter of Photo Frames, Metal Vases, Candles with Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oils;http://singapore-companies-directory.com/Company_Profiles/A41/adremat.htm;Photo Frames, Metal Vases, Candles with  Ceramic Holders, Clocks, Kitchen Appliances, Plant & Animal Oil;(+65) 6385-7238;(+65) 6745-7333;;;Ricky Teo  5 Buangkok Green, #04-06 Singapore 539748;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Offline;;Ricky Teo 
Aky Marketing;Singapore Printing Company, Printers, Ceramics Printing, Glass, Printing, Metal Printing, Plastic Printing. Printers of Ceramics, Glass, Metal, Plastic;http://singapore-companies-directory.com/Company_Profiles/A68/aky_marketing.htm;Printers, Ceramics Printing,  GlassPrinting, Metal Printing, Plastic Printing;(+65) 9687-7748;;jason@akyweb.com;;No 105 The Octagen #13-02 Singapore;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;No
Ansari & Associates;Singapore international export company specialized in Home and Hotel furniture, Furnishings. Suppliers of: Hotel Furniture, Home Furniture, Wooden Doors, frames, LCD TV, DVD Players, Porcelain, Ceramics (table wares), PVC windows and doors, Laundry Systems and Mini Bars;http://singapore-companies-directory.com/Company_Profiles/A110/ansari_associates.htm;Wooden Furniture, Hotel Furniture;(+65) 9850-2979;;enquiry@ansari.com.sg;;Tamim Ansari  317B Anchorvale Road, # 06-240 Singapore 542317;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;Tamim Ansari  317B Anchorvale Road,
Appropriate Holdings Pte Ltd;Singapore Management Consultants, Green Environment Technology, Ceramics Engineering. We are a privately held Management Consultancy and Investment Holding company specialising in very niche Research and Development in the area of Ceramics Technology as well as Green Environment Technology.;http://singapore-companies-directory.com/Company_Profiles/A118/appropriate_holdings.htm;Management Consultants, Green Environment  Technology, Ceramics Engineering;(+65) 6469-5466;(+65) 6469-5512;christina@appropriate.com.sg;;Christina  No. 1, Clementi Loop #03-07 Clementi West Logis Park Singapore 129808;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;Christina  No. 1, Clementi Loop
Asia Ancient;Singapore Antiques Company Suppliers of Antiques, Stone Statues, Ceramics, Antiques, Sandstone Statues, Antique Ceramics;http://singapore-companies-directory.com/Company_Profiles/A200/asia_ancient.htm;Antiques, Stone Statues, Ceramics;(+65) 6734-0318;(+65) 6734-0318;;;19 Tanglin Rd #03-28 Tanglin Shopping Centre Singapore 247909;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Offline;;
Asia Dynasty Pte Ltd;Singapore Ceramic Tile Company Suppliers of Ceramic Tiles, Crystal Glass, Marble Tiles. A Singapore Company. We are a trustworthy, prominent supplier and manufacturer of a wide and varied range of good quality decorative tiles in Crystal Glass, Ceramic and marble. In the last two years we have also developed our own marble products.;http://singapore-companies-directory.com/Company_Profiles/A201/asia_dynasty.htm;Ceramic Tiles, Crystal Glass, Marble;(+65) 6896-8525;(+65) 6896-6462;dla@asiadynasty.com.sg;;No.8 Boon Lay Way @Tradehub 21, #01-13 Singapore 207629;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;No.8 Boon Lay Way @Tradehub 21,
Builders Shop;Singapore Building Materials Company Suppliers of Flooring, Building Supplies, Granite Tiles, Marble Tiles, Porcelain Tiles, Ceramic Tiles. Building Supplies Importers, Building Supplies Retailers, Building Supplies Distributors, Building Supplies Suppliers;http://singapore-companies-directory.com/Company_Profiles/B76/builders_shop.htm;Flooring, Building Supplies, Granite  Tiles, Marble Tiles, Porcelain Tiles, Ceramic Tiles;(+65) 6545-5225;(+65) 6545-5665;info@buildersshop.com.sg;;11 Changi South Street  Singapore 486122;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;
Ceramic House;Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level;http://singapore-companies-directory.com/Company_Profiles/C28/ceramic_house.htm;Pottery Studio, Pottery Courses;(+65) 6784-0024;(+65) 6784-0024;ceramic_house@yahoo.com.sg;;Blk 9004 Tampines St 93 #02-102  Singapore 528838;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Online;;
Ceramics Gallery Pte Ltd;Singapore Tiles Distributor, Tiles Wholesalers, Suppliers of Ceramic Tiles, Wall Tiles, Quartz Tiles, Building Materials, Construction Materials;http://singapore-companies-directory.com/Company_Profiles/C28/ceramics_gallery.htm;Ceramic Tiles, Wall Tiles, Quartz Tiles,  Building Materials, Construction Materials;(+65) 6742-2848;(+65) 6742-2848;;;No. 1 Kakit Bukit Road # 01-09 Enterprise One  Singapore 415934;singapore-companies-directory.com;Other Lifestyle (All categories);Potteries;Offline;;
China Union Co Pte Ltd;Singapore Retailers, Wholesalers of crockery, kitchenware, porcelain ware;http://singapore-companies-directory.com/Company_Profiles/C55/china_union.htm;nan;nan;nan;nan;nan;nan;nan;Other Lifestyle (All categories);Potteries;Offline;;nan
