name,profile,url,categories,mobile,fax,email,website,address,data_source,category,sub-category,online,designation,poc
Aamor Pte Ltd,"Singapore Bathroom Fittings Supplier of Bathtubs, Whirlpools, Jacuzzis, Toilets, Wash Basins, Mixers, Taps, Faucets, Ceramic Sanitary Ware",http://singapore-companies-directory.com/Company_Profiles/A14/aamor.htm,"Sanitaryware, Bathroom Fittings, Bathtubs, Whirlpools,  Toilets, Wash Basins, Mixers, Taps, Faucets",(+65) 6878-0200,E-mail:,,,,singapore-companies-directory.com,Furniture,Bath,Online,,120 Lower Delta Rd #01-13 Singapore 169208
Advanced Electronic Products Pte Ltd,"Singapore Electrical Equipment Company Suppliers of Telecommunication: Cat 5e, Cat 6, Cat 7 LAN Cable, Coaxial Cable, HDMI, USB Cable, Patch Cord, Patch Panel, Keystone Jack, Fiber Optic, 19 Cabinet Series, Outdoor LED Lighting, Solar Panels, LAN Cables, HDMI Cables, Fiber Optic Cables, Coaxial Cables, Mount Boxes, Hand Tools, LED Faucet Taps, LED Faucet Shower Heads",http://singapore-companies-directory.com/Company_Profiles/A44/advanced_electronic_products.htm,"Wires & Cables, Electrical & Electronics,  Fibre Optics",(+65) 6795-2668,"(+65) 6795-2663  E-mail: ,andrew@advancedep.com",andrew@advancedep.com,,,singapore-companies-directory.com,Furniture,Bath,Online,,Andrew Lai  48 Toh Guan Road East #02-140 Enterprise Hub Singapore 608586
Aos Building Materials,"Singapore Building Supplies Company Suppliers of Sanitaryware, Bathroom Accessories, Bathroom Fittings, Bathroom Accessories, Sanitary Ware, Water Heaters, Steam Baths",http://singapore-companies-directory.com/Company_Profiles/A113/aos_building_materials.htm,"Sanitaryware, Bathroom  Accessories,  Bathroom Fittings",(+65) 6288-0600,E-mail:,,,,singapore-companies-directory.com,Furniture,Bath,Online,,457 Macpherson Rd Singapore 368175
Aqualite Trading Pte Ltd,"Singapore Building Materials Company, Suppliers of Bathroom Fittings, Bathroom Accessories, Building Materials, Construction Materials",http://singapore-companies-directory.com/Company_Profiles/A119/aqualite_trading.htm,"Bathroom Fittings, Bathroom Accessories",(+65) 9682-0660,"E-mail: ,claudia@aqualite.com.sg",claudia@aqualite.com.sg,,,singapore-companies-directory.com,Furniture,Bath,Online,,Claudia  Blk 302 Ubi AVe 1 #01-13 Singapore 400302
Asia Excel Marketing,"Singapore Bathroom Fittings Company Suppliers of Electric Equipment Services, Electric Appliances, Sanitaryware, Kitchen Appliances, Bath & Toilet Appliances, Gas Appliances, Plumbing Products, Water Heaters",http://singapore-companies-directory.com/Company_Profiles/A137/asia_excel_marketing.htm,"Bathroom Fittings, Electric Equipment  Services, Electric Appliances, Sanitaryware, Kitchen  Appliances",(+65) 66+65-0107,"(+65) 6287-9287  E-mail: ,sales@asiaexcel.com.sg",sales@asiaexcel.com.sg,,,singapore-companies-directory.com,Furniture,Bath,Online,,2 Jurong East St 21 #04-32D1 IMM BUILDING Singapore 609601
Atom International (S) Pte Ltd,"Singapore Building Materials Supply Company Suppliers of Sanitary Products, Building Materials, Construction Materials",http://singapore-companies-directory.com/Company_Profiles/A159/atom_international.htm,"Sanitary Products, Building Materials,  Construction Materials",(+65) 6316-1274,"(+65) 6316-1275  E-mail: ,michael@atom.international.com",michael@atom.international.com,,,singapore-companies-directory.com,Furniture,Bath,Online,,Michael  30 Jurong Port Road Jalan Buroh Warehouse Complex Singapore 619103
Bath Essential,"Singapore Bathroom Fittings Manufacturer of hydrotherapy and spa solutions such as Steam Shower Cabins, Sauna Cabins, Hydrotherapy, Spa Solution, electronic-controlled steam shower cabins, sauna cabins, hydro-massage baths, general bath tubs, shower panels and other spa equipment, bathroom accessories, designer tap fittings & sanitaryware",http://singapore-companies-directory.com/Company_Profiles/B17/bath_essential.htm,"Steam Shower Cabins, Sauna Cabins,  Hydrotherapy, Spa Solutions",(+65) 6353-0282,,,,13 Braddell Tech Toa Payoh Lorong 8  Singapore 319261,singapore-companies-directory.com,Furniture,Bath,Online,,
BathWorld,"Singapore Bathroom Fittings Suppliers of Bathroom Fixtures & Bathroom Accessories, Bathtubs, Basins, Kitchen Sinks, Bidets, Urinal Bowls, Water Closets, Shower Fittings, Taps, Mixers",http://singapore-companies-directory.com/Company_Profiles/B17/bathworld.htm,"Bathtubs, Basins, Kitchen Sinks, Bidets,  Urinal Bowls, Water Closets, Shower Fittings, Taps, Mixers",(+65) 6355-0055,,sales@bathworld.net,,530 Balestier Road  Singapore 329857,singapore-companies-directory.com,Furniture,Bath,Online,,
Bretz & Co Pte Ltd,"Singapore Retailers & wholesalers of Plumbing Products, Hardware, Bathroom Accessories, Kitchen Units, Security Products, sanitaryware, bathroom faucets & accessories, modular bathroom furniture, kitchen sinks, door handles, locksets, window ironmongery",http://singapore-companies-directory.com/Company_Profiles/B69/bretz.htm,"Plumbing Products, Hardware, Bathroom  Accessories, Kitchen Units, Security Products",(+65) 6336-9926,,info@bretzco.com,,9 Penang Rd  Singapore 238459,singapore-companies-directory.com,Furniture,Bath,Online,,
Chuan Heng Building Products Pte Ltd,"Singapore Company Suppliers of Building Materials, Construction Materials, Bathroom Fittings, Accessories, Bathroom Doors, Bathroom Doors, Bathroom Fittings, Bathroom Accessories, Bathroom Sinks, Bathrooms, Baths, Commercial Kitchen Equipment, Dispensing Systems, Domestic Appliances, Domestic Refrigerators, Domestic Stoves",http://singapore-companies-directory.com/Company_Profiles/C69/chuan_heng_building_products.htm,"Building Materials, Construction  Materials, Bathroom Fittings, Accessories",(+65) 6294-2397,(+65) 6293-1891,,,130 Jalan Besar  Singapore 208848,singapore-companies-directory.com,Furniture,Bath,Online,,
Chuan-Fa Trading Pte Ltd,"Singapore Building Materials Company. Trading, retail & wholesale of building materials, hardware, sanitary ware, Building Materials, Construction Materials, Architectural Glass, Glass, Glass Blocks or Bricks, Glass Working Equipment, Glass Working Tools, Structural Glass",http://singapore-companies-directory.com/Company_Profiles/C71/chuan_fa_trading.htm,"Architectural Glass, Building Materials,  Construction Materials",(+65) 6743-5449,(+65) 6743-5421,chuanfa@pacific.net.sg,,554B MacPherson Road  Singapore 368230,singapore-companies-directory.com,Furniture,Bath,Online,Managing Director,Ong Mah Tiong
