name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
A & J Child Care Centre;Singapore Child Care Centre, Singapore Nurseries, Schools, Education Facilities;http://singapore-companies-directory.com/Company_Profiles/A2/a&j_child_care_centre.htm;Child Care  Centres, Nurseries, Schools, Education Facilities;(+65) 6287-3364;;;;434 Hougang Ave 8 #01-904 Singapore 530434;singapore-companies-directory.com;Education;Nursery;Offline;;
Anglo-Asian Learning Centre;Singapore Child Care Centre, Nurseries, Schools, Education Facilities, Singapore Nursery School;http://singapore-companies-directory.com/Company_Profiles/A107/anglo_asian_learning_centre.htm;Child Care Centres, Nurseries, Schools,  Education Facilities;(+65) 6762-9500;;;;8, Chu Lin Rd Bamboo Grove Park Singapore 669898;singapore-companies-directory.com;Education;Nursery;Offline;;
Antioch Edu-Works Centre;Singapore Education Company Suppliers of courses at various centers all over the island. These centers include certain PCF Education Centers, Childcare Centers, Private Preschools and Childcare Development Centers;http://singapore-companies-directory.com/Company_Profiles/A111/antioch_edo_works.htm;Arts, Education & Training, Schools;(+65) 6781-1979;(+65) 6789-5833;victorchew2004@yahoo.com.sg;;Victor Chew  Block 488B #B1-147, Tampines Street 45 Singapore 521488;singapore-companies-directory.com;Education;Nursery;Online;;Victor Chew 
Association for Early Childhood Educators;AECES promotes professional development through accredited professional development programmes, lifelong learning workshops and courses, practicum supervision, mentorship, research;http://singapore-companies-directory.com/Company_Profiles/A153/association_for_early.htm;Associations & Organizations;(+65) 6281-4989;(+65) 6281-4328;;;18 Hougang Ave 3 #01-159 Singapore 530018;singapore-companies-directory.com;Education;Nursery;Offline;;
Babies Inc Montessori Pte Ltd;Singapore Nursery School offers Montessori certified teachers, A nurturing atmosphere, A challenging core curriculum, Mandarin Language study, Music and Movement Sessions, Art Sessions, Gym Sessions, Physical Education, Horse riding, Capoeira, Yoga sessions, Field trips;http://singapore-companies-directory.com/Company_Profiles/B5/babies_inc_montessori.htm;Child Care Centres, Nurseries, Schools,  Education Facilities;(+65) 6467-7600;;enquiries@babiesinc.com.sg;;8, Cherry Ave  Singapore 279862;singapore-companies-directory.com;Education;Nursery;Online;;
Barker Road Methodist Church Kindergarten;"Singapore Kindergarten offers bilingual International Baccalaureate-inspired inquiry-based curriculum; in partnership with Methodist Church in Singapore & ACS family of schools";http://singapore-companies-directory.com/Company_Profiles/B15/barker_road_methodist.htm;Early Childhood Nursery School;(+65) 6255-8430;;;;70 Barker Road  Singapore 309936;singapore-companies-directory.com;Education;Nursery;Offline;;
BestCare Montessori Kindergarten & Child Development Centre;Singapore Early Childhood Nursery, Early childhood centre in Kallang Community Centre, offering Montessori curriculum to students in nursery 1 & 2 and Kindergarten 1 & 2;http://singapore-companies-directory.com/Company_Profiles/B38/bestcare_montessori_kindergarten.htm;Early Childhood Nursery;(+65) 6299-0818;;;;45 Boon Keng Road  Singapore;singapore-companies-directory.com;Education;Nursery;Offline;;
Bethesda (Ang Mo Kio) Kindergarten;Singapore Christian Kindergarten providing a holistic education built on Christian principles. Offers Chinese lessons, Chinese word rapid recognition, music and movement, outdoor play, & Bible story sessions;http://singapore-companies-directory.com/Company_Profiles/B40/bethesda_ang_mo_kio.htm;Kindergartens, Nurseries, Nursery Schools;(+65) 6453-6134;;bethkindamk@gmail.com;;601, Ang Mo Kio Ave 4  Singapore 569898;singapore-companies-directory.com;Education;Nursery;Online;;
Brainy Child Montessori Learning Centre;"Singapore Children's Development Schools, Education Facilities, Early Childhood Centre. Montessori learning centre at Orchard Plaza; caters to children between the age of 18 months to 12 years";http://singapore-companies-directory.com/Company_Profiles/B67/brainy-child_montessori.htm;Children's Development Schools, Education  Facilities, Early Childhood;(+65) 6733-7669;;;;150, Orchard Rd #05-21/22/23 Orchard Plaza Singapore 238841;singapore-companies-directory.com;Education;Nursery;Offline;;
Buttercups Montessori Kindergarten Pte Ltd;"Singapore Kindergarten, Nursery School catering to children below 6 years; students grouped into Play Club (2 years) and Montessori Preschool (3-6 years); also offers Montessori Enrichment classes (4-6 years)";http://singapore-companies-directory.com/Company_Profiles/B81/buttercups_montessori.htm;Kindergartens, Nurseries, Nursery Schools;(+65) 6462-4838;;;;37, Grove Lane  Singapore 279029;singapore-companies-directory.com;Education;Nursery;Offline;;
