name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Al-Ghufran Store & Garment;Singapore Garment Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/A69/al_ghufran_store.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6745-0045;;;;1, Joo Chiat Rd #03-1061 Joo Chiat Complex Singapore 420001;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
Allan Chong Fashion Trading Company;Singapore Children Wear Company Suppliers of Children's Clothes, Infants Clothes, Children's & Infants' Wear Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A77/allan_chong_fashion.htm;Children's Clothes, Infants Clothes,  Manufacturers, Wholesalers, Distributors;(+65) 6744-3298;;;;288A Mac Pherson Rd Singapore;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
Chickeeduck Retail (Singapore) Pte Ltd;Singapore Clothing Products Company Suppliers of Children's Clothing, Children's Wear, Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/C50/chickeeduck_retail.htm;Childrens Clothing, Children's Wear,  Children's Clothes, Infant Wear, Baby Clothes;(+65) 6738-9103;(+65) 6744-8146;;;583 Orchard Road, #03-03 the Forum  Singapore 238884;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
ChildrenToys;Singapore Toy Company Suppliers of Educational Toys, Kid's Games, Motorised Electronic Toys. Singapore agents, distributors resellers for American toy company ROKENBOK, dealing with self assemble motorised electronic toys which is both a collectible, limited edition. We have various model to choose from junior sets to building sets.;http://singapore-companies-directory.com/Company_Profiles/C51/childrentoys.htm;Educational Toys, Kid's Games, Motorised  Electronic Toys;(+65) 6753-3917;(+65) 6399-3699;admin@childrentoys.sg;;20 Maxwell Road #09-17  Singapore 069113;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Online;;
Chin Mah Trading Company;Singapore Children's & Infants' Wear-Wholesalers, Manufacturers, Distributors, Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/C53/chin_mah_trading.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6566-3525;(+65) 6566-3525;;;Blk 271 Bt Batok East Ave 4 #01-158  Singapore;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
Chino Pte Ltd;Singapore Clothing Wholesalers Company Suppliers of Baby Clothing, Baby Products, Childrens Clothing, Ladieswear, Menswear;http://singapore-companies-directory.com/Company_Profiles/C56/chino.htm;Baby Clothing, Baby Products, Childrens  Clothing, Ladieswear, Menswear;(+65) 6737-4288 (+65) 6737-4388;(+65) 6737-4394 (+65) 6737-4388;chino_pl@pacific.net.sg;;451 Pasir Ris Drive 6, #06-186  Singapore;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Online;;
Chuan Bee Hoe Kee Co;Singapore Furniture Manufacturing Company Furniture Stores, Furniture Dealers. Suppliers of Chairs, Childrens Furniture;http://singapore-companies-directory.com/Company_Profiles/C69/chuan_bee_hoe_kee.htm;Chairs, Furniture Manufacturers,  Furniture Stores, Furniture Dealers;(+65) 6747-1968;(+65) 6747-1968;;;2 Geylang Square, #01-213a #02-14  Singapore 389169;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
Chuans Trader Enterprise;Singapore Clothes Trading Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/C72/chuans_trader_enterprise.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6534-3185;(+65) 6535-0538;;;Blk 34 Up Cross St #03-134  Singapore;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
Ciel Bleu International;Singapore Kid's Clothes Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes, Belts, Dresses, Pants, Polo Shirts, Shoes, Shorts, T Shirts;http://singapore-companies-directory.com/Company_Profiles/C77/ciel_bleu_international.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6438-3825;(+65) 6438-3825;;;1, Raffles Pl #05-01 OUB Centre  Singapore 048616;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
D & D Marketing;Singapore Baby Products Company Suppliers of Baby Care Aids, Baby Diaper or Training Pants, Baby Toiletries, Baby Toys, Child Products, Babycare Products, Childcare Products, Childrens Clothing;http://singapore-companies-directory.com/Company_Profiles/D1/dd_marketing.htm;Baby Care Aids, Baby Diaper or Training  Pants, Baby Toiletries;(+65) 6841-5908;(+65) 6841-2318;;;627a Aljunied Road, #09-12 Biztech Centre  Singapore 389842;singapore-companies-directory.com;Kids/Toddlers;Indoor and outdoor equipment, Fashion (Clothes, belts and shoes);Offline;;
