name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;Sports Equipment, Sport Supplies,  Sporting Goods;(+65) 6538-6200;(+65) 6538-6400;;;3 ANSON ROAD #27-01 Singapore 150168;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
Arms Enterprise (Singapore) Pte Ltd;Singapore Garments, Sportswear Manufacturers, Suppliers of golfing apparels & t-shirts, company T-shirts and uniform apparels. Made from various kinds of quality textile materials, our fabric range includes 100% cotton, cotton-polyester mixed as well as anti-static & anti-flaming textile materials.;http://singapore-companies-directory.com/Company_Profiles/A128/arms_enterprise.htm;Garments, Sportswear, Golfing Apparels,  Golf T shirts;(+65) 6861-0256;;sales@revo.com.sg;;271 Kakit Bukit Avenue 1 Singapore 416070;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Online;;
Banroy Sportswear Trading Pte Ltd;Singapore Sports Clothes Trading Company Suppliers of Sportswear, Sports Equipment, Sport Supplies, Sporting Goods;http://singapore-companies-directory.com/Company_Profiles/B14/banroy_sportswear_trading.htm;Sportswear, Sports Equipment, Sport  Supplies, Sporting Goods;(+65) 6337-9228;(+65) 6745-5670;;;3, Coleman St Peninsula Hotel  Singapore 179804;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
Bob's Golf;Singapore Golf Shop Suppliers of Golf Equipment, Golfing Supplies, Golf Sports Goods;http://singapore-companies-directory.com/Company_Profiles/B58/bob's_goft.htm;Golf Equipment, Golfing Supplies;(+65) 6297-6171;;;;227, Rangoon Rd Golf Equipment, Golfing Supplies  Singapore 218462;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
Bodynits International Pte Ltd;"Singapore Sportswear Company, Garments, Textiles, Clothing, Fashion Wholesalers, Fashion Garments. Specialises in the production of active lifestyle apparel for stretch knitted and technical fabrics; manufactures from 3 different locations and ships products worldwide; clients include Adidas, Champion, Fila, Nike and Puma";http://singapore-companies-directory.com/Company_Profiles/B58/bodynits_international.htm;Sportswear, Garments, Textiles, Clothing,  Fashion Wholesalers, Fashion Garments  Manufacturers;(+65) 6545-5885;(+65) 6545-5361;enquiries@bodynits.com;;12, Changi Sth Lane  Singapore 486353;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Online;;
Cannasia Pte Ltd;Singapore Bicycle distributor of road bikes, triathlon bikes, mountain bikes, bike components, bike apparel for men;http://singapore-companies-directory.com/Company_Profiles/C13/cannasia.htm;Bicycles, Bicycle Parts, Bike Accessories;(+65) 6441-4772;(+65) 6441-4772;;;101 Frankel Avenue  Singapore 458224;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
G S Gill (Pte) Ltd;Singapore Sports Goods Company Suppliers of Golf Equipment, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/G1/g_s_gill.htm;Golf Equipment, Golfing Supplies, Golf  Sports Goods, Sports Equipment;(+65) 67335555;(+65) 67335575;;;554 Havelock Road, #06-00 Ganges Centre  Singapore 169639;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
H & P Marketing;Singapore Sport Supplies Company Suppliers of Sports Equipment, Sporting Goods, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/H1/h_&_p_marketing.htm;Sports Equipment, Sport Supplies,  Sporting Goods;(+65) 6323-3027;(+65) 6323-3027;;;20 Maxwell Road, #12-02a Maxwell House  Singapore 069113;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
Chung Hsing Sports Company;Singapore Sports Clothing Company Suppliers of Silk Screen Printing, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services, Sports T Shirts, Sports Sweatshirts;http://singapore-companies-directory.com/Company_Profiles/C73/chung_hsing_sports.htm;Sports Equipment, Sport Supplies,  Sporting Goods, Clothing, Clothes, Garments, Manufacturers,;(+65) 6291-2891;(+65) 6293-3053;;;1 Rochor Road, #02-524  Singapore 790001;singapore-companies-directory.com;Active Lifestyle;Men & Women activewear;Offline;;
Splash & Fun;Singapore Suppliers of Sports Equipment, Sport Supplies, Swimming Equipment, Swimming Supplies, Sportswear, Diving Equipment;http://singaporecompanieslist.blogspot.com/2013/02/splash-fun-singapore-sports-equipment.html;nan;nan;nan;nan;nan;nan;nan;Active Lifestyle;Men & Women activewear;Offline;;nan
