name;profile;url;categories;mobile;fax;email;website;address;data_source;category;sub-category;online;designation;poc
Adrian Babe Online;Singapore Baby Products Company Suppliers of Nursery Bedding, Crib Quilts, Pottery Barn Kids Bedding, Ocean Critters, Entire Crib Quilt Sets;http://singapore-companies-directory.com/Company_Profiles/A41/adrian_babe_online.htm;Baby Products, Bedding, Crib Quilts;(+65) 852-6114;;;;325-A Changi South Avenue 2 Singapore 486594;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
Al-Ghufran Store & Garment;Singapore Garment Company Suppliers of Children's Clothes, Infant Wear, Baby Clothes;http://singapore-companies-directory.com/Company_Profiles/A69/al_ghufran_store.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6745-0045;;;;1, Joo Chiat Rd #03-1061 Joo Chiat Complex Singapore 420001;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
Alico Enterprise;Singapore Baby Products Company, Baby Accessory Manufacturers, Baby Products, Wholesalers, Baby Products Distributors;http://singapore-companies-directory.com/Company_Profiles/A75/alico_enterprise.htm;Baby Accessory Manufacturers, Baby  Products, Wholesalers, Baby Products Distributors;(+65) 6339-9978;;;;190 Middle Rd # 12-01 Singapore;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
ALJ Singapore Pte Ltd;Singapore Trading Company Suppliers of Toys, Baby Products, Chilli Sauces, Stationery, Display Rack, Carrier Bags, Sweet & Sour Chilli Sauce (Thai Style) Vegetarian Chilli Sauce, Extra Hot Chilli Sauce;http://singapore-companies-directory.com/Company_Profiles/A75/alj_singapore.htm;Toys, Baby Products, Chilli Sauces,  Stationery, Display Rack, Carrier Bag;(+65) 6280-1633;;;;Shirley Leong  512, Chai Chee Lane Singapore;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;Shirley Leong  512, Chai Chee Lane Singapore
Allan Chong Fashion Trading Company;Singapore Children Wear Company Suppliers of Children's Clothes, Infants Clothes, Children's & Infants' Wear Manufacturers, Wholesalers, Distributors;http://singapore-companies-directory.com/Company_Profiles/A77/allan_chong_fashion.htm;Children's Clothes, Infants Clothes,  Manufacturers, Wholesalers, Distributors;(+65) 6744-3298;;;;288A Mac Pherson Rd Singapore;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
Aprisin Singapore Pte Ltd;Singapore Baby Products Company Suppliers of Baby Products, Baby Carriages, Baby Strollers, Aprica Strollers, Graco Strollers, Baby Strollers and Playpens, Little Tikes Strollers;http://singapore-companies-directory.com/Company_Profiles/A118/aprisin_singapore.htm;Baby Products, Baby Carriages, Baby  Strollers;(+65) 6336-8311;;;;50 Tagore Lane #B1-02 Singapore 787494;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
Ark World (S) Pte Ltd;Singapore Toy Company Suppliers of Plush Toys, Stuffed Toys, Benko Plush toys, Molder Works, Yeah Kou Vele Animal Plush toys, Spok Toys, Le Zee Toys, soap bags, Vele Animal Plush toys, Benko Plush toys, Benko Plush toys;http://singapore-companies-directory.com/Company_Profiles/A127/ark_world.htm;Plush Toys, Stuffed Toys;(+65) 6314-3967;;;;Timothy Tan  6 Raffles Boulevard, #03-256 Singapore 039594;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;Timothy Tan 
Artha Cozy Baby;Singapore Baby Products Company Supplies suppliers of Baby Products, Nursery Bedding, New Lambs & Ivy Baby Picasso Sage Baby 14-Piece Crib Nursery New Lambs & Ivy Baby 23-Piece Crib Nursery Set New Cotton Tale Tiny Tango 14-Piece Baby Bedding Sets;http://singapore-companies-directory.com/Company_Profiles/A131/artha_cozy_baby.htm;Baby Products, Bedding;(+65) 9906-7497;;;;Upper Changi Rd East Singapore 467354;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;Upper Changi
Baby Concept Pte Ltd;Online store, distributor, & retailer of award-winning educational & developmental baby products, books, music, Your Baby Can Read, Rock n Learn, & Baby Einstein VCDs & DVDs, toys, feeding, gift, & skin care products, baby accessories from USA;http://singapore-companies-directory.com/Company_Profiles/B5/baby_concept.htm;Baby Products, Children's Clothes, Infant  Wear, Baby Clothes;(+65) 6274-1335 (+65) 6271-0823;;info@babyconcept.com.sg;;100E, Pasir Panjang Rd Century Warehouse  Singapore 118521;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Online;;
Baby D C;Singapore Baby Clothes Company Suppliers of Baby Products, Children's Clothes, Infant Wear, Babies Clothes;http://singapore-companies-directory.com/Company_Profiles/B5/baby_dc.htm;Children's Clothes, Infant Wear, Baby  Clothes;(+65) 6337-8380;;;;261, Waterloo St #04-35 Waterloo Centre Singapore 180261;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
Baby Jumper Gym;"Singapore Development centre for babies & children; provides an environment & training that stimulates a child's brain as much as possible, covering all aspects of mental and physical skills, through fun-filled methods like games and music";http://singapore-companies-directory.com/Company_Profiles/B5/baby_jumper_gym.htm;Children's Education, Baby Services;6563-0716;;hello@bjg.com.sg;;2 Bukit Batok West Avenue 7  Singapore 659003;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Online;;
BabyBreeze Pte Ltd;Singapore Agency offering parent & childbirth education, yoga classes, massage, breastfeeding workshops, post-natal pilates, babysitting, TENS machine rental, first aid, home birth, water birth, nanny service, baby & maternity products to couples;http://singapore-companies-directory.com/Company_Profiles/B5/babybreeze.htm;Childbirth Education, Yoga Classes,  Massage, Breastfeeding Workshops  Parenting Classes;(+65) 6397-6716;;;;10 Sinaran Drive  Singapore 307506;singapore-companies-directory.com;Baby and Mother;Nursing and Feeding;Offline;;
